file,method,params,startLineno,endLineno,affectedLineno,affectedOffsets,affectedVar,affectedTypes
boto\auth.py,add_auth,"self, http_request, **kwargs",201,213,212,7341-7342,s,"str,tuple"
boto\auth.py,_calc_signature,"self, params, verb, path, server_name",900,921,915,36356-36370,string_to_sign,"str,tuple"
boto\auth.py,determine_region_name,"self, host",430,445,445,16750-16761,region_name,"str,list,None"
boto\auth.py,determine_service_name,"self, host",447,453,453,17011-17023,service_name,"str,list,None"
boto\auth.py,credential_scope,"self, http_request",455,470,464,17602-17614,service_name,"str,list"
boto\auth.py,credential_scope,"self, http_request",455,470,465,17651-17662,region_name,"str,list"
boto\auth.py,credential_scope,"self, http_request",455,470,467,17700-17711,region_name,"str,list"
boto\auth.py,credential_scope,"self, http_request",455,470,468,17748-17760,service_name,"str,list"
boto\auth.py,add_auth,"self, http_request, **kwargs",201,213,213,7448-7449,s,"str,tuple"
boto\auth.py,headers_to_sign,"self, http_request",318,333,326,11958-11975,host_header_value,"str,tuple,?"
boto\auth.py,headers_to_sign,"self, http_request",597,611,603,23777-23794,host_header_value,"str,tuple"
boto\auth.py,_calc_signature,"self, params, verb, path, server_name",900,921,916,36424-36438,string_to_sign,"str,tuple"
boto\auth.py,_calc_signature,"self, params, verb, path, server_name",900,921,917,36461-36475,string_to_sign,"str,tuple"
boto\auth.py,add_auth,"self, http_request, **kwargs",141,159,154,5091-5105,string_to_sign,"str,tuple"
boto\auth.py,add_auth,"self, http_request, **kwargs",141,159,155,5144-5158,string_to_sign,"str,tuple"
boto\auth.py,add_auth,"self, http_request, **kwargs",141,159,158,5329-5333,auth,"str,tuple"
boto\auth.py,add_auth,"self, http_request, **kwargs",141,159,159,5371-5375,auth,"str,tuple"
boto\connection.py,_mexe,"self, request, sender=None, override_num_retries=None, retry_handler=None",886,1033,963,40229-40232,msg,"str,int"
boto\connection.py,server_name,"self, port=None",644,662,662,26509-26523,signature_host,"str,tuple,?"
boto\connection.py,prefix_proxy_to_path,"self, path, host=None",853,855,855,35164-35168,path,"str,tuple"
boto\connection.py,build_base_http_request,"self, method, path, auth_path, params=None, headers=None, data='', host=None",1035,1060,1060,45372-45376,path,"str,tuple"
boto\connection.py,__init__,"self, method, protocol, host, port, path, auth_path, params, headers, body",305,358,345,12494-12498,path,"str,tuple"
boto\connection.py,__init__,"self, method, protocol, host, port, path, auth_path, params, headers, body",305,358,347,12555-12559,path,"str,tuple"
boto\connection.py,__init__,"self, method, protocol, host, port, path, auth_path, params, headers, body",305,358,348,12586-12595,auth_path,"str,tuple"
boto\connection.py,_mexe,"self, request, sender=None, override_num_retries=None, retry_handler=None",886,1033,898,36784-36788,path,"str,tuple"
boto\connection.py,new_http_connection,"self, host, port, is_secure",723,778,729,29060-29064,host,"str,tuple,?"
boto\connection.py,new_http_connection,"self, host, port, is_secure",723,778,738,29400-29404,host,"str,list"
boto\connection.py,skip_proxy,"self, host",707,721,714,28577-28581,host,"str,list"
boto\connection.py,skip_proxy,"self, host",707,721,715,28602-28606,host,"str,list"
boto\connection.py,skip_proxy,"self, host",707,721,718,28696-28704,hostonly,"str,list"
boto\connection.py,skip_proxy,"self, host",707,721,718,28723-28727,host,"str,list"
