commit,author,date,title,faultID,file
9c2fc7e,Ed Morley,2017-05-25 13:25:14,Fix generate_url() AttributeError when using anonymous connections,1540,boto/s3/connection.py
9c2fc7e,Ed Morley,2017-05-25 13:25:14,Fix generate_url() AttributeError when using anonymous connections,1540,tests/unit/s3/test_connection.py
4af5a60,JordonPhillips,2017-02-20 17:09:24,Add boto.vendored.regions to setup.py,3681,setup.py
a530200,Felix Yan,2014-10-22 00:55:07,"glacier: forcing vault_name to be str, fixes #2603",2603,boto/glacier/layer1.py
5092c6d,James Saryerwinnie,2016-04-04 13:46:35,Merge branch 'pslawski-unicode-parse-qs' into develop,2844
c21aa54,James Saryerwinnie,2016-04-04 12:33:39,Merge branch 'ninchat-config-fix' into develop,3474
1570934,Timo Savola,2016-02-18 16:04:46,Config: Don't inherit from ConfigParser,3474,boto/pyami/config.py
987d647,Lars Butler,2015-06-12 12:16:23,Fix misnamed Stack.stack_name_reason attribute,3227,boto/cloudformation/stack.py
987d647,Lars Butler,2015-06-12 12:16:23,Fix misnamed Stack.stack_name_reason attribute,3227,tests/unit/cloudformation/test_connection.py
3fb87b1,James Saryerwinnie,2016-02-24 14:33:12,Merge pull request #3153 from peterneyens/s3-signed-response-headers-fix,3119
6b8cee9,James Saryerwinnie,2016-02-19 14:18:36,Add better error messages when we can't retrieve creds,3378,boto/exception.py
6b8cee9,James Saryerwinnie,2016-02-19 14:18:36,Add better error messages when we can't retrieve creds,3378,boto/provider.py
6b8cee9,James Saryerwinnie,2016-02-19 14:18:36,Add better error messages when we can't retrieve creds,3378,boto/utils.py
6b8cee9,James Saryerwinnie,2016-02-19 14:18:36,Add better error messages when we can't retrieve creds,3378,tests/unit/provider/test_provider.py
4fd1c21,James Saryerwinnie,2016-02-11 15:06:28,Merge branch 'ocadotechnology-wip-3341' into develop,3341
cdd7b14,Michael Dowling,2016-02-04 16:09:03,De-quoting multipart uploads and versioned objects,2948,boto/s3/bucketlistresultset.py
cdd7b14,Michael Dowling,2016-02-04 16:09:03,De-quoting multipart uploads and versioned objects,2948,tests/unit/s3/test_bucketlistresultset.py
17253aa,Feroze Daud,2016-01-27 13:46:20,fix documentation for get_shard_iterator,3478,boto/kinesis/layer1.py
5b2f552,James Saryerwinnie,2015-12-22 16:01:44,Merge branch 'py3-unit-tests' into develop,3441
5645b4f,kbalaji,2015-11-19 15:05:45,Fix for listing EMR steps based on cluster_states filter,3389,boto/emr/connection.py
5645b4f,kbalaji,2015-11-19 15:05:45,Fix for listing EMR steps based on cluster_states filter,3389,tests/unit/emr/test_connection.py
3de863a,Mike Bryant,2015-09-15 11:27:32,Use skip_proxy in build_base_http_request. Fixes #3341,3341,boto/connection.py
3de863a,Mike Bryant,2015-09-15 11:27:32,Use skip_proxy in build_base_http_request. Fixes #3341,3341,tests/unit/test_connection.py
3d167b8,Kyle Knapp,2015-08-20 10:40:54,Merge pull request #3308 from stevenbrichards/develop,3264
b98fcd2,Steven Richards,2015-08-19 22:23:05,Fix 3264: Add documentation for query_auth,3264,boto/s3/key.py
d15f6f1,Ray Luo,2015-08-19 10:44:28,Merge pull request #3278 from gburiola/develop,3277
ed6bd8e,Adrian Bridgett,2015-08-13 14:30:09,add missing add_change call,3299
64e5441,SeongSooCho,2015-08-04 19:53:31,add missing 'ap-northeast-1' region for lambda,3292
a47a688,Luis Buriola,2015-07-21 15:31:31,add cloudtrail support to us-gov-west-1 [issue #3277],3277
