file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
boto\mturk\question.py,get_as_xml,36,46,,,,,,"988341827b3ef6a4ccc780010457e4c91b0bae39, 0c7ea43f8be13078ad6efc29fde6cb4e28a1b98a, 258f13fdb138f527c84d770abe4217d21fe244e7, 911aaf9cc4e160fffece47e471e9f24b4db152b4, b1333c9dddc515d4d95e6ce0bb217398b2d9d127, 150e4835fb9a2d48be6dcb866ed75776118eaf42, 637988b5cfcd1832a390e214a9d09580174e25e1, 637988b5cfcd1832a390e214a9d09580174e25e1, 637988b5cfcd1832a390e214a9d09580174e25e1, bd36f964834b77a6ca66eddf56b7a7a23c085230, a486eebac0f6b87f4695e596c30fd97191620ffd",45,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[Any]"")"
boto\mturk\question.py,get_as_xml,357,364,,,,,,"988341827b3ef6a4ccc780010457e4c91b0bae39, 0c7ea43f8be13078ad6efc29fde6cb4e28a1b98a, 258f13fdb138f527c84d770abe4217d21fe244e7, 911aaf9cc4e160fffece47e471e9f24b4db152b4, b1333c9dddc515d4d95e6ce0bb217398b2d9d127, 150e4835fb9a2d48be6dcb866ed75776118eaf42, 637988b5cfcd1832a390e214a9d09580174e25e1, 637988b5cfcd1832a390e214a9d09580174e25e1, 637988b5cfcd1832a390e214a9d09580174e25e1, bd36f964834b77a6ca66eddf56b7a7a23c085230, a486eebac0f6b87f4695e596c30fd97191620ffd",363,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[Any]"")"
boto\plugin.py,_import_module,69,78,,,,,,,75,argument," Argument 2 to ""load_module"" has incompatible type ""str""; expected ""IO[Any]"""
boto\glacier\utils.py,minimum_part_size,34,71,,,,,,"468c7530bf0d63b489fa9b17b2962f2a25f36ec1, 1702bcfe0790d3494a961d709ef5bdab2c7920c2",66,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
boto\dynamodb\batch.py,to_dict,58,80,,,,,,"33f9d64f759a3714065a0b65e02f9d648821ef08, aa0ddf36d9254b785feeb3f8a376b7251fc90190",77,assignment," Incompatible types in assignment (expression has type ""bool"", target has type ""List[Any]"")"
boto\dynamodb\batch.py,to_dict,58,80,,,,,,"33f9d64f759a3714065a0b65e02f9d648821ef08, aa0ddf36d9254b785feeb3f8a376b7251fc90190",79,assignment," Incompatible types in assignment (expression has type ""bool"", target has type ""List[Any]"")"
boto\glacier\vault.py,retrieve_inventory,301,354,,,,,,"74c677170c0c6ae63e255a11fd1daa1537f52ebc, 540d85a9ed86562241fc7e81f9624134dd0a3065, 33de2902f9d509f7dc06c501c43b82e4ef892419",351,assignment," Incompatible types in assignment (expression has type ""Dict[str, Any]"", target has type ""str"")"
boto\s3\key.py,_normalize_metadata,1842,1851,,,,,,,1848,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", variable has type ""Set[Any]"")"
boto\sts\connection.py,__init__,69,107,,,,,,"1a515991fa6978d4ce98b191f2f8a1c5e4ed4283, a60ee4c0e56745c9a8c1755fdacc3a6d7b9fb2f5, 944dc8abfaebce4d5935830c543b42159cb18855, 39a997fcd9eabc7b8114e2b5359669c16af4874a, ed1f4032d9eeb552c562621c650ce09e3b15a0d5, eaf58f31b10a824d5e41f50f55c7a85133983883, bf2a303f073c517068e433b5a2fe40dde588614b",95,assignment," Incompatible types in assignment (expression has type ""Provider"", variable has type ""str"")"
boto\sdb\db\manager\sdbmanager.py,encode_float,219,248,,,,,,,235,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
boto\sdb\db\manager\sdbmanager.py,encode_float,219,248,,,,,,,246,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
boto\sdb\db\manager\sdbmanager.py,load_object,485,497,,,,,,"96cd2800b6db067e503ef499486adf50ee9ca928, 7498959a838544016899599028e6d3458b190998, a53eda541cd5dc9fa497a594b48ff93f44dbecd0",496,argument," Argument 1 to ""exception"" of ""Logger"" has incompatible type ""Exception""; expected ""str"""
boto\sdb\db\model.py,__init__,153,171,,,,,,"96cd2800b6db067e503ef499486adf50ee9ca928, d3303b78a01530addcc84053a82c772669e1d0e2, aeba91005580e25b86b22670c7e4c9a4435a68d1, 3fc97a23989ad21cc19c37a5d822fbe48e07ac78, 69c84f9f368062068231e8f0d63890a5e8c066a3, 0c09e29041f43f5de22a750b581e1692a7b454d2, f191f5f5f799a50f051378bb078557e3044a3cc7, dfc80ab98c179a98822f84c4b6b1262b9fac9d06, 8e6b917f0c8d8dc72921add81614f059754cd56f, 2bbd21b9d5b7e2dc98ecded6acfaff2158d0fbe7, 71f46363e5b6b33794810abcae3b0d4991d56eb8, ae7d7d5db79e9fe9dbaa581a7ab66e78241d21e6",171,argument," Argument 1 to ""exception"" of ""Logger"" has incompatible type ""Exception""; expected ""str"""
boto\mashups\server.py,start,212,245,,,,,,"96cd2800b6db067e503ef499486adf50ee9ca928, e990fd4b94ee3c09bc74dd107ded80142ffb68c6, e2108db77f8dce268d5346f636f9a4a10185480f, b00054d64cca7de49af2c71b088801ccc037bb80, 1e45c97ed3a32c53f78f158ebc227c80e07c58b0, 3348954f1e0a36e1fc54740bdbdf6e34475f44bd, dc444c07978628103947eaaa2a61e09aecef6a77, ed163966a7345f6a93b09142a8a0d953a2703e4d, eeb367a9c98a337ab17b3537e6b47063a45859ee",233,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""StringIO"")"
boto\pyami\launch_ami.py,main,74,174,,,,,,"96cd2800b6db067e503ef499486adf50ee9ca928, 8a20b99847374d184996be6531ddb670530a2334, edcfd838f197b9f559dfda60f17190eb4f6f170f, 87f07902997a0fae82a2054e17fbbcbc5430b2be, e2c4a63cd917d7e5631e193d30996a3d5bfb422d, 2f4475631dcb18e6988697a8939b105d21503fec, 04cfd9698d346aa683c4834e2f8e26cc1051b661",135,argument," Argument 1 to ""find_module"" has incompatible type ""object""; expected ""str"""
boto\pyami\launch_ami.py,main,74,174,,,,,,"96cd2800b6db067e503ef499486adf50ee9ca928, 8a20b99847374d184996be6531ddb670530a2334, edcfd838f197b9f559dfda60f17190eb4f6f170f, 87f07902997a0fae82a2054e17fbbcbc5430b2be, e2c4a63cd917d7e5631e193d30996a3d5bfb422d, 2f4475631dcb18e6988697a8939b105d21503fec, 04cfd9698d346aa683c4834e2f8e26cc1051b661",142,assignment," Incompatible types in assignment (expression has type ""List[<nothing>]"", variable has type ""Tuple[str, str, Tuple[IO[Any], str, int]]"")"
boto\services\message.py,for_key,29,57,,,,,,ef6b55172e550a1a0ff692d39a194b129404c73e,41,assignment," Incompatible types in assignment (expression has type ""struct_time"", variable has type ""Tuple[Any, Any]"")"
boto\services\message.py,for_key,29,57,,,,,,ef6b55172e550a1a0ff692d39a194b129404c73e,43,assignment," Incompatible types in assignment (expression has type ""struct_time"", variable has type ""Tuple[Any, Any]"")"
boto\services\message.py,for_key,29,57,,,,,,ef6b55172e550a1a0ff692d39a194b129404c73e,45,assignment," Incompatible types in assignment (expression has type ""struct_time"", variable has type ""Tuple[Any, Any]"")"
boto\swf\layer1_decisions.py,schedule_activity_task,16,73,,,,,,d5602f7299a919eceded11ba6da438543609c6db,53,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", target has type ""str"")"
boto\swf\layer1_decisions.py,request_cancel_activity_task,75,88,,,,,,d5602f7299a919eceded11ba6da438543609c6db,86,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", target has type ""str"")"
boto\swf\layer1_decisions.py,record_marker,90,103,,,,,,d5602f7299a919eceded11ba6da438543609c6db,99,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", target has type ""str"")"
boto\swf\layer1_decisions.py,complete_workflow_execution,105,115,,,,,,d5602f7299a919eceded11ba6da438543609c6db,112,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", target has type ""str"")"
boto\swf\layer1_decisions.py,fail_workflow_execution,117,129,,,,,,d5602f7299a919eceded11ba6da438543609c6db,124,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", target has type ""str"")"
boto\swf\layer1_decisions.py,cancel_workflow_executions,131,141,,,,,,d5602f7299a919eceded11ba6da438543609c6db,138,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", target has type ""str"")"
boto\swf\layer1_decisions.py,continue_as_new_workflow_execution,143,173,,,,,,"badccd3ca1d13cf0631413a708e32b2fd48f32dc, d5602f7299a919eceded11ba6da438543609c6db",158,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", target has type ""str"")"
boto\swf\layer1_decisions.py,start_timer,175,191,,,,,,d5602f7299a919eceded11ba6da438543609c6db,186,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", target has type ""str"")"
boto\swf\layer1_decisions.py,cancel_timer,193,202,,,,,,d5602f7299a919eceded11ba6da438543609c6db,200,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", target has type ""str"")"
boto\swf\layer1_decisions.py,signal_external_workflow_execution,204,226,,,,,,d5602f7299a919eceded11ba6da438543609c6db,217,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", target has type ""str"")"
boto\swf\layer1_decisions.py,request_cancel_external_workflow_execution,228,246,,,,,,d5602f7299a919eceded11ba6da438543609c6db,240,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", target has type ""str"")"
boto\swf\layer1_decisions.py,start_child_workflow_execution,248,287,,,,,,d5602f7299a919eceded11ba6da438543609c6db,267,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", target has type ""str"")"
tests\db\test_password.py,test_custom_password_class,52,85,,,,,,,67,assignment," Incompatible types in assignment (expression has type ""Type[MyPassword]"", base class ""Property"" defined the type as ""Type[str]"")"
tests\integration\kinesis\test_kinesis.py,test_kinesis,38,108,,,,,,"9e310ac859af0252f1dd6cf76b91846e1ac61d4f, 3aac3fc4679f80f711423ad02a8fe3503404a6c7, 6e5ed17803e14fa2513bdd12923218f45cbbd92a, 3382b4d5fa3dc11a0c1091dfeef98b5251c204f9, 40baa716a667abc4ea037197131aced07b8dc54e, e83dc95598f33485be34a7cc1dd0d6aa0adf0c6b",107,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""Dict[str, str]"")"
tests\integration\s3\mock_storage_service.py,list,304,327,,,,,,96cd2800b6db067e503ef499486adf50ee9ca928,323,assignment," Incompatible types in assignment (expression has type ""MockKey"", variable has type ""Prefix"")"
tests\integration\s3\test_multidelete.py,test_delete_unknown_version,81,86,,,,,,,83,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""None"")"
tests\integration\sqs\test_connection.py,test_1_basic,41,153,,,,,,"3ba6731858d6e37ea48f8dbf22b12626ecfbdb58, 96cd2800b6db067e503ef499486adf50ee9ca928, fc240b01872091a7006497d8490df2e7076c4ba8",145,assignment," Incompatible types in assignment (expression has type ""Dict[str, str]"", variable has type ""str"")"
tests\mturk\selenium_support.py,has_selenium,12,32,,,,,,8ab34764814fc62981300bcf2d5f2dfc16febc99,25,assignment," Incompatible types in assignment (expression has type ""SeleniumFailed"", variable has type ""bool"")"
tests\mturk\selenium_support.py,has_selenium,12,32,,,,,,8ab34764814fc62981300bcf2d5f2dfc16febc99,28,assignment," Incompatible types in assignment (expression has type ""SeleniumFailed"", variable has type ""bool"")"
tests\unit\ec2\test_connection.py,_get_snapshots,984,1018,,,,,,"eb4c6e374a4bf7ca860709628709b8071cce5553, 3ebb667b8bbdffe80a54f14825a021364f4d9617",1015,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""None"")"
tests\unit\ec2\test_volume.py,test_startElement_with_name_attachmentSet_returns_AttachmentSet,64,71,,,,,,,69,assignment," Incompatible types in assignment (expression has type ""AttachmentSet"", variable has type ""None"")"
tests\unit\ec2\test_volume.py,test_snapshots_returns_snapshots,191,200,,,,,,,193,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""None"")"
tests\unit\ec2\test_volume.py,test_snapshots_returns_snapshots,191,200,,,,,,,195,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""None"")"
tests\unit\provider\test_provider.py,test_refresh_credentials,346,378,,,,,,"d84606e17f495c1b4840497199acdddd15af5515, aecda818a530af4c82f66362d0bfba2ca0846eb7",369,assignment," Incompatible types in assignment (expression has type ""datetime"", variable has type ""None"")"
tests\unit\rds\test_connection.py,test_create_db_instance_param_group_instance,307,346,,,,,,06592b9d2c7f9c1c7c96b51ff688bde0a9c0542d,310,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""None"")"
tests\unit\sts\test_credentials.py,test_to_dict,13,37,,,,,,,27,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""None"")"
tests\unit\sts\test_credentials.py,test_to_dict,13,37,,,,,,,28,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""None"")"
tests\unit\sts\test_credentials.py,test_to_dict,13,37,,,,,,,29,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""None"")"
tests\unit\sts\test_credentials.py,test_to_dict,13,37,,,,,,,30,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""None"")"
tests\unit\sts\test_credentials.py,test_to_dict,13,37,,,,,,,31,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""None"")"
boto\auth.py,add_auth,201,213,,,,,,"c777d8d9ace22999a09076fcd358c73d6669b6f0, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, b7a8b1900c3d7fe00085dacd4203f185d8b09bf4, ceb07b063028df47892810ee378704f4081ed33f, 4ddc48b712dbda523142e2f6fbd2e8931746e269, ba0ac4939709523f90e70a5f6032a4f134313b08, edad6fe6fe3961e8c1504c6ca8b3e5069853349e, 3437d7e9e42179f67e6e39da4be69d229f0ee47a, 3437d7e9e42179f67e6e39da4be69d229f0ee47a, 535a4e56aca8d77101deb86cd7bce06cc9667db0, 535a4e56aca8d77101deb86cd7bce06cc9667db0, 535a4e56aca8d77101deb86cd7bce06cc9667db0, fb902dd293da576e54956e14c4f2ad06d2ebe33f, 35c93a15c8403910ac9b8cf55bad84fb44e981a7, 9bfdd45c9f4c8643fc1144af2695001711dfded5, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 9af879e63bd043b296f02ad134db3351c065bf10, 0878631c3475c0d9b15f2d2443beb4c473f9811c, aa90c55c2188d9d09ca28f747dd418b00cb6e5d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, fbf3a53f5ba6a1443bd2cbbc4e7e6822da4130cc, ee4b90ee7cd122870f8c99df22c48d6f76392edd",212,reference,s,"str,tuple"
boto\auth.py,_calc_signature,900,921,,,,,,"79cb1f9ecd1037b83141dd5402b5258a09431836, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, 03875265745d94655b175385d90f29bbebff6259, 03875265745d94655b175385d90f29bbebff6259, 03875265745d94655b175385d90f29bbebff6259, f28b593e92a87bd66ddb5ecd3e2afdc5798733fc, 2d9ecafbfe7b5ef094dc71f2091058f36cbb5b6a",915,reference,string_to_sign,"str,tuple"
boto\auth.py,determine_region_name,430,445,,,,,,66bcb1d4bc18d4c45b4ccd37e87ed3edbc74ffda,445,reference,region_name,"str,list,None"
boto\auth.py,determine_service_name,447,453,,,,,,"66bcb1d4bc18d4c45b4ccd37e87ed3edbc74ffda, b905f652c9728bb437959ebfb83dcae82bf16e36",453,reference,service_name,"str,list,None"
boto\auth.py,credential_scope,455,470,,,,,,"542a3011503cadecbad5125ca941cf8723bdcfe1, da6d38180402d9b340d2a27781581de2717d74a4",464,reference,service_name,"str,list"
boto\auth.py,credential_scope,455,470,,,,,,"542a3011503cadecbad5125ca941cf8723bdcfe1, da6d38180402d9b340d2a27781581de2717d74a4",465,reference,region_name,"str,list"
boto\auth.py,credential_scope,455,470,,,,,,"542a3011503cadecbad5125ca941cf8723bdcfe1, da6d38180402d9b340d2a27781581de2717d74a4",467,reference,region_name,"str,list"
boto\auth.py,credential_scope,455,470,,,,,,"542a3011503cadecbad5125ca941cf8723bdcfe1, da6d38180402d9b340d2a27781581de2717d74a4",468,reference,service_name,"str,list"
boto\auth.py,add_auth,201,213,,,,,,"c777d8d9ace22999a09076fcd358c73d6669b6f0, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, b7a8b1900c3d7fe00085dacd4203f185d8b09bf4, ceb07b063028df47892810ee378704f4081ed33f, 4ddc48b712dbda523142e2f6fbd2e8931746e269, ba0ac4939709523f90e70a5f6032a4f134313b08, edad6fe6fe3961e8c1504c6ca8b3e5069853349e, 3437d7e9e42179f67e6e39da4be69d229f0ee47a, 3437d7e9e42179f67e6e39da4be69d229f0ee47a, 535a4e56aca8d77101deb86cd7bce06cc9667db0, 535a4e56aca8d77101deb86cd7bce06cc9667db0, 535a4e56aca8d77101deb86cd7bce06cc9667db0, fb902dd293da576e54956e14c4f2ad06d2ebe33f, 35c93a15c8403910ac9b8cf55bad84fb44e981a7, 9bfdd45c9f4c8643fc1144af2695001711dfded5, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 9af879e63bd043b296f02ad134db3351c065bf10, 0878631c3475c0d9b15f2d2443beb4c473f9811c, aa90c55c2188d9d09ca28f747dd418b00cb6e5d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, fbf3a53f5ba6a1443bd2cbbc4e7e6822da4130cc, ee4b90ee7cd122870f8c99df22c48d6f76392edd",213,reference,s,"str,tuple"
boto\auth.py,headers_to_sign,318,333,,,,,,"ab32d5723647937f69360805013662785f585460, b161f611081e9dc4369d53cc12957137fe6a9579, 28e34e13fae49879d49cb77841cf28560fb5a7f6, cfaba398263fde5740e95b9d6e395daeab6fee39",326,reference,host_header_value,"str,tuple,?"
boto\auth.py,headers_to_sign,597,611,,,,,,"ab32d5723647937f69360805013662785f585460, b161f611081e9dc4369d53cc12957137fe6a9579, 28e34e13fae49879d49cb77841cf28560fb5a7f6, cfaba398263fde5740e95b9d6e395daeab6fee39",603,reference,host_header_value,"str,tuple"
boto\auth.py,_calc_signature,900,921,,,,,,"79cb1f9ecd1037b83141dd5402b5258a09431836, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, 03875265745d94655b175385d90f29bbebff6259, 03875265745d94655b175385d90f29bbebff6259, 03875265745d94655b175385d90f29bbebff6259, f28b593e92a87bd66ddb5ecd3e2afdc5798733fc, 2d9ecafbfe7b5ef094dc71f2091058f36cbb5b6a",916,reference,string_to_sign,"str,tuple"
boto\auth.py,_calc_signature,900,921,,,,,,"79cb1f9ecd1037b83141dd5402b5258a09431836, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, 03875265745d94655b175385d90f29bbebff6259, 03875265745d94655b175385d90f29bbebff6259, 03875265745d94655b175385d90f29bbebff6259, f28b593e92a87bd66ddb5ecd3e2afdc5798733fc, 2d9ecafbfe7b5ef094dc71f2091058f36cbb5b6a",917,reference,string_to_sign,"str,tuple"
boto\auth.py,add_auth,141,159,,,,,,"c777d8d9ace22999a09076fcd358c73d6669b6f0, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, b7a8b1900c3d7fe00085dacd4203f185d8b09bf4, ceb07b063028df47892810ee378704f4081ed33f, 4ddc48b712dbda523142e2f6fbd2e8931746e269, ba0ac4939709523f90e70a5f6032a4f134313b08, edad6fe6fe3961e8c1504c6ca8b3e5069853349e, 3437d7e9e42179f67e6e39da4be69d229f0ee47a, 3437d7e9e42179f67e6e39da4be69d229f0ee47a, 535a4e56aca8d77101deb86cd7bce06cc9667db0, 535a4e56aca8d77101deb86cd7bce06cc9667db0, 535a4e56aca8d77101deb86cd7bce06cc9667db0, fb902dd293da576e54956e14c4f2ad06d2ebe33f, 35c93a15c8403910ac9b8cf55bad84fb44e981a7, 9bfdd45c9f4c8643fc1144af2695001711dfded5, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 9af879e63bd043b296f02ad134db3351c065bf10, 0878631c3475c0d9b15f2d2443beb4c473f9811c, aa90c55c2188d9d09ca28f747dd418b00cb6e5d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, fbf3a53f5ba6a1443bd2cbbc4e7e6822da4130cc, ee4b90ee7cd122870f8c99df22c48d6f76392edd",154,reference,string_to_sign,"str,tuple"
boto\auth.py,add_auth,141,159,,,,,,"c777d8d9ace22999a09076fcd358c73d6669b6f0, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, b7a8b1900c3d7fe00085dacd4203f185d8b09bf4, ceb07b063028df47892810ee378704f4081ed33f, 4ddc48b712dbda523142e2f6fbd2e8931746e269, ba0ac4939709523f90e70a5f6032a4f134313b08, edad6fe6fe3961e8c1504c6ca8b3e5069853349e, 3437d7e9e42179f67e6e39da4be69d229f0ee47a, 3437d7e9e42179f67e6e39da4be69d229f0ee47a, 535a4e56aca8d77101deb86cd7bce06cc9667db0, 535a4e56aca8d77101deb86cd7bce06cc9667db0, 535a4e56aca8d77101deb86cd7bce06cc9667db0, fb902dd293da576e54956e14c4f2ad06d2ebe33f, 35c93a15c8403910ac9b8cf55bad84fb44e981a7, 9bfdd45c9f4c8643fc1144af2695001711dfded5, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 9af879e63bd043b296f02ad134db3351c065bf10, 0878631c3475c0d9b15f2d2443beb4c473f9811c, aa90c55c2188d9d09ca28f747dd418b00cb6e5d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, fbf3a53f5ba6a1443bd2cbbc4e7e6822da4130cc, ee4b90ee7cd122870f8c99df22c48d6f76392edd",155,reference,string_to_sign,"str,tuple"
boto\auth.py,add_auth,141,159,,,,,,"c777d8d9ace22999a09076fcd358c73d6669b6f0, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, 96cd2800b6db067e503ef499486adf50ee9ca928, b7a8b1900c3d7fe00085dacd4203f185d8b09bf4, ceb07b063028df47892810ee378704f4081ed33f, 4ddc48b712dbda523142e2f6fbd2e8931746e269, ba0ac4939709523f90e70a5f6032a4f134313b08, edad6fe6fe3961e8c1504c6ca8b3e5069853349e, 3437d7e9e42179f67e6e39da4be69d229f0ee47a, 3437d7e9e42179f67e6e39da4be69d229f0ee47a, 535a4e56aca8d77101deb86cd7bce06cc9667db0, 535a4e56aca8d77101deb86cd7bce06cc9667db0, 535a4e56aca8d77101deb86cd7bce06cc9667db0, fb902dd293da576e54956e14c4f2ad06d2ebe33f, 35c93a15c8403910ac9b8cf55bad84fb44e981a7, 9bfdd45c9f4c8643fc1144af2695001711dfded5, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 5f204d18b71cea50c17ab8be19bdfe11798239cf, 9af879e63bd043b296f02ad134db3351c065bf10, 0878631c3475c0d9b15f2d2443beb4c473f9811c, aa90c55c2188d9d09ca28f747dd418b00cb6e5d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, e53373907797e54c9ccd160292ac8ef81df0f9d5, fbf3a53f5ba6a1443bd2cbbc4e7e6822da4130cc, ee4b90ee7cd122870f8c99df22c48d6f76392edd",158,reference,auth,"str,tuple"
