file,method,params,startlineno,endlineno
setup.py,readme,,44,46
boto\auth.py,__init__,"self, host, config, provider",67,71
boto\auth.py,update_provider,"self, provider",73,81
boto\auth.py,algorithm,self,83,87
boto\auth.py,_get_hmac,self,89,95
boto\auth.py,sign_string,"self, string_to_sign",97,100
boto\auth.py,__getstate__,self,102,106
boto\auth.py,__setstate__,"self, dct",108,110
boto\auth.py,__init__,"self, host, config, provider",120,121
boto\auth.py,add_auth,"self, http_request, **kwargs",123,124
boto\auth.py,__init__,"self, host, config, provider",132,135
boto\auth.py,update_provider,"self, provider",137,139
boto\auth.py,add_auth,"self, http_request, **kwargs",141,159
boto\auth.py,__init__,"self, host, config, provider",168,171
boto\auth.py,update_provider,"self, provider",173,175
boto\auth.py,add_auth,"self, http_request, **kwargs",177,189
boto\auth.py,__init__,"self, host, config, provider",197,199
boto\auth.py,add_auth,"self, http_request, **kwargs",201,213
boto\auth.py,__init__,"self, host, config, provider",223,225
boto\auth.py,headers_to_sign,"self, http_request",227,237
boto\auth.py,canonical_headers,"self, headers_to_sign",239,248
boto\auth.py,string_to_sign,"self, http_request",250,264
boto\auth.py,add_auth,"self, req, **kwargs",266,288
boto\auth.py,__init__,"self, host, config, provider, service_name=None, region_name=None",298,306
boto\auth.py,_sign,"self, key, msg, hex=False",308,316
boto\auth.py,headers_to_sign,"self, http_request",318,333
boto\auth.py,host_header,"self, host, http_request",335,340
boto\auth.py,query_string,"self, http_request",342,349
boto\auth.py,canonical_query_string,"self, http_request",351,361
boto\auth.py,canonical_headers,"self, headers_to_sign",363,380
boto\auth.py,signed_headers,"self, headers_to_sign",382,385
boto\auth.py,canonical_uri,"self, http_request",387,396
boto\auth.py,payload,"self, http_request",398,407
boto\auth.py,canonical_request,"self, http_request",409,417
boto\auth.py,scope,"self, http_request",419,425
boto\auth.py,split_host_parts,"self, host",427,428
boto\auth.py,determine_region_name,"self, host",430,445
boto\auth.py,determine_service_name,"self, host",447,453
boto\auth.py,credential_scope,"self, http_request",455,470
boto\auth.py,string_to_sign,"self, http_request, canonical_request",472,482
boto\auth.py,signature,"self, http_request, string_to_sign",484,491
boto\auth.py,add_auth,"self, req, **kwargs",493,548
boto\auth.py,__init__,"self, *args, **kwargs",557,561
boto\auth.py,clean_region_name,"self, region_name",563,567
boto\auth.py,canonical_uri,"self, http_request",569,577
boto\auth.py,canonical_query_string,"self, http_request",579,588
boto\auth.py,host_header,"self, host, http_request",590,595
boto\auth.py,headers_to_sign,"self, http_request",597,611
boto\auth.py,determine_region_name,"self, host",613,656
boto\auth.py,determine_service_name,"self, host",658,662
boto\auth.py,mangle_path_and_params,"self, req",664,704
boto\auth.py,payload,"self, http_request",706,710
boto\auth.py,add_auth,"self, req, **kwargs",712,721
boto\auth.py,presign,"self, req, expires, iso_date=None",723,773
boto\auth.py,_escape_value,"self, value",786,791
boto\auth.py,_build_query_string,"self, params",793,800
boto\auth.py,add_auth,"self, http_request, **kwargs",802,811
boto\auth.py,add_auth,"self, http_request, **kwargs",821,841
boto\auth.py,_calc_signature,"self, params, *args",850,862
boto\auth.py,__init__,"self, *args, **kw",873,876
boto\auth.py,_calc_signature,"self, params, *args",878,890
boto\auth.py,_calc_signature,"self, params, verb, path, server_name",900,921
boto\auth.py,add_auth,"self, req, **kwargs",932,949
boto\auth.py,get_auth_handler,"host, config, provider, requested_capability=None",952,999
boto\auth.py,detect_potential_sigv4,func,1002,1020
boto\auth.py,_wrapper,self,1003,1019
boto\auth.py,detect_potential_s3sigv4,func,1023,1040
boto\auth.py,_wrapper,self,1024,1039
boto\auth_handler.py,__init__,"self, host, config, provider",37,52
boto\auth_handler.py,add_auth,"self, http_request",54,60
boto\connection.py,__init__,self,122,123
boto\connection.py,size,self,125,131
boto\connection.py,put,"self, conn",133,138
boto\connection.py,get,self,140,158
boto\connection.py,_conn_ready,"self, conn",160,181
boto\connection.py,clean,self,183,190
boto\connection.py,_pair_stale,"self, pair",192,199
boto\connection.py,__init__,self,231,240
boto\connection.py,__getstate__,self,242,246
boto\connection.py,__setstate__,"self, dct",248,249
boto\connection.py,size,self,251,255
boto\connection.py,get_http_connection,"self, host, port, is_secure",257,269
boto\connection.py,put_http_connection,"self, host, port, is_secure, conn",271,280
boto\connection.py,clean,self,282,300
boto\connection.py,__init__,"self, method, protocol, host, port, path, auth_path, params, headers, body",305,358
boto\connection.py,__str__,self,360,364
boto\connection.py,authorize,"self, connection, **kwargs",366,384
boto\connection.py,__init__,"self, *args, **kwargs",389,391
boto\connection.py,read,"self, amt=None",393,413
boto\connection.py,__init__,"self, host, aws_access_key_id=None, aws_secret_access_key=None, is_secure=True, port=None, proxy=None, proxy_port=None, proxy_user=None, proxy_pass=None, debug='0', https_connection_factory=None, path='/', provider='aws', security_token=None, suppress_consec_slashes=True, validate_certs=True, profile_name=None",417,572
boto\connection.py,__repr__,self,574,575
boto\connection.py,_required_auth_capability,self,577,578
boto\connection.py,_get_auth_service_name,self,580,581
boto\connection.py,_set_auth_service_name,"self, value",586,587
boto\connection.py,_get_auth_region_name,self,590,591
boto\connection.py,_set_auth_region_name,"self, value",593,594
boto\connection.py,connection,self,597,598
boto\connection.py,aws_access_key_id,self,601,602
boto\connection.py,aws_secret_access_key,self,607,608
boto\connection.py,profile_name,self,613,614
boto\connection.py,get_path,"self, path='/'",617,642
boto\connection.py,server_name,"self, port=None",644,662
boto\connection.py,handle_proxy,"self, proxy, proxy_port, proxy_user, proxy_pass",664,698
boto\connection.py,get_http_connection,"self, host, port, is_secure",700,705
boto\connection.py,skip_proxy,"self, host",707,721
boto\connection.py,new_http_connection,"self, host, port, is_secure",723,778
boto\connection.py,put_http_connection,"self, host, port, is_secure, connection",780,781
boto\connection.py,proxy_ssl,"self, host=None, port=None",783,851
boto\connection.py,prefix_proxy_to_path,"self, path, host=None",853,855
boto\connection.py,get_proxy_auth_header,self,857,859
boto\connection.py,get_proxy_url_with_auth,self,862,874
boto\connection.py,set_host_header,"self, request",876,881
boto\connection.py,set_request_hook,"self, hook",883,884
boto\connection.py,_mexe,"self, request, sender=None, override_num_retries=None, retry_handler=None",886,1033
boto\connection.py,build_base_http_request,"self, method, path, auth_path, params=None, headers=None, data='', host=None",1035,1060
boto\connection.py,make_request,"self, method, path, headers=None, data='', host=None, auth_path=None, sender=None, override_num_retries=None, params=None, retry_handler=None",1062,1071
boto\connection.py,close,self,1073,1078
boto\connection.py,__init__,"self, aws_access_key_id=None, aws_secret_access_key=None, is_secure=True, port=None, proxy=None, proxy_port=None, proxy_user=None, proxy_pass=None, host=None, debug='0', https_connection_factory=None, path='/', security_token=None, validate_certs=True, profile_name=None, provider='aws'",1086,1100
boto\connection.py,_required_auth_capability,self,1102,1103
boto\connection.py,get_utf8_value,"self, value",1105,1106
boto\connection.py,make_request,"self, action, params=None, path='/', verb='GET'",1108,1116
boto\connection.py,build_list_params,"self, params, items, label",1118,1122
boto\connection.py,build_complex_list_params,"self, params, items, label, names",1124,1162
boto\connection.py,get_list,"self, action, params, markers, path='/', parent=None, verb='GET'",1166,1186
boto\connection.py,get_object,"self, action, params, cls, path='/', parent=None, verb='GET'",1188,1208
boto\connection.py,get_status,"self, action, params, path='/', parent=None, verb='GET'",1210,1227
boto\exception.py,__init__,"self, reason, *args",41,43
boto\exception.py,__repr__,self,45,46
boto\exception.py,__str__,self,48,49
boto\exception.py,__init__,"self, status, reason, body=None, *args",78,135
boto\exception.py,__getattr__,"self, name",137,142
boto\exception.py,__setattr__,"self, name, value",144,148
boto\exception.py,__repr__,self,150,152
boto\exception.py,__str__,self,154,156
boto\exception.py,startElement,"self, name, attrs, connection",158,159
boto\exception.py,endElement,"self, name, value, connection",161,170
boto\exception.py,_cleanupParsedProperties,self,172,176
boto\exception.py,__init__,"self, parent=None",180,185
boto\exception.py,startElement,"self, name, attrs, connection",187,188
boto\exception.py,endElement,"self, name, value, connection",190,196
boto\exception.py,__init__,"self, status, reason, body=None",203,205
boto\exception.py,endElement,"self, name, value, connection",207,211
boto\exception.py,__init__,"self, status, reason, body=None",253,256
boto\exception.py,startElement,"self, name, attrs, connection",258,259
boto\exception.py,endElement,"self, name, value, connection",261,267
boto\exception.py,_cleanupParsedProperties,self,269,272
boto\exception.py,__init__,"self, reason, message",279,281
boto\exception.py,__repr__,self,283,284
boto\exception.py,__str__,self,286,287
boto\exception.py,__init__,"self, status, reason, body=None",294,296
boto\exception.py,startElement,"self, name, attrs, connection",298,300
boto\exception.py,endElement,"self, name, value, connection",302,307
boto\exception.py,_cleanupParsedProperties,self,309,312
boto\exception.py,__init__,"self, status, reason, body=None",333,340
boto\exception.py,startElement,"self, name, attrs, connection",342,347
