commit,author,date,title,faultID,file
90ca9cc,Pierce Lopez,2017-02-03 20:34:36,changelog: fixed #1555,1555
0cd1929,Pierce Lopez,2017-04-24 18:23:50,tests: update contrib.files.contains() case_sensitive test fixtures,1559,tests/test_contrib.py
f6d1898,Jeff Forcier,2017-04-24 14:28:52,Changelog closes #1065,1065
d79508a,Jeff Forcier,2017-04-24 14:26:54,Side-port of #1065,1065
10f77b1,Jeff Forcier,2017-03-01 16:12:32,"Changelog re #1526, re #1527, re #1571",1526
d066f97,Pierce Lopez,2016-10-06 20:58:37,changelog entry for issue 1514,1514
b5d2711,Pierce Lopez,2016-10-06 20:23:03,avoid use of str.format() in network.py,1514,fabric/network.py
1bb422f,Jeff Forcier,2016-08-22 15:49:38,Fix #1470 and add changelog,1470,fabric/operations.py
1bb422f,Jeff Forcier,2016-08-22 15:49:38,Fix #1470 and add changelog,1470,fabric/sftp.py
0164dc6,Jeff Forcier,2016-08-22 15:30:38,Tests added re #1470,1470,tests/test_operations.py
c8fe081,Jeff Forcier,2016-08-22 11:39:17,Tweak fix (and fix test so it really tests) re #1458,1458,fabric/network.py
c8fe081,Jeff Forcier,2016-08-22 11:39:17,Tweak fix (and fix test so it really tests) re #1458,1458,tests/test_network.py
2aa3f79,Jeff Forcier,2016-08-22 11:08:53,Expand/clarify/acknowledge changelog re #1458,1458
74b1d0a,Jeff Forcier,2016-07-22 15:34:27,Changelog closes #1491,1491
ad9bcb6,Jeff Forcier,2016-07-22 15:29:20,Implement sudo_password/s re #1491,1491,fabric/auth.py
ad9bcb6,Jeff Forcier,2016-07-22 15:29:20,Implement sudo_password/s re #1491,1491,fabric/io.py
ad9bcb6,Jeff Forcier,2016-07-22 15:29:20,Implement sudo_password/s re #1491,1491,fabric/main.py
ad9bcb6,Jeff Forcier,2016-07-22 15:29:20,Implement sudo_password/s re #1491,1491,fabric/state.py
1b0f5a9,Jeff Forcier,2016-07-22 14:56:36,DDD re #1491,1491
5bf8a35,Jeff Forcier,2016-04-08 20:13:20,Changelog re #800,800
2db971a,Jeff Forcier,2016-04-08 19:25:37,Implement use of RingBuffer for stdout/err capture buffer.,800,fabric/operations.py
1f20939,Jeff Forcier,2016-04-08 15:27:16,"Changelog re #932, closes #932",932
63a58f0,Jeff Forcier,2016-04-07 15:03:47,Changelog re #1389,1389
d62f92f,Jeff Forcier,2016-04-06 20:58:02,"Tidy up previous cherry-pick + add changelog, re #1372",1372,tests/test_main.py
4e1fd83,c12067,2015-09-03 10:25:22,fix and test for issue 1365: exception subclasses should not be recognized as fabric commands,1365,fabric/main.py
4e1fd83,c12067,2015-09-03 10:25:22,fix and test for issue 1365: exception subclasses should not be recognized as fabric commands,1365,tests/support/exceptions_fabfile.py
4e1fd83,c12067,2015-09-03 10:25:22,fix and test for issue 1365: exception subclasses should not be recognized as fabric commands,1365,tests/test_main.py
e2ca3fd,Bradley Spink,2015-08-05 23:36:17,Fixes #1348: add more robust handling for % format chars in remote path when using sftp get(),1348,fabric/sftp.py
e2ca3fd,Bradley Spink,2015-08-05 23:36:17,Fixes #1348: add more robust handling for % format chars in remote path when using sftp get(),1348,tests/test_operations.py
d59ce13,Jeff Forcier,2015-12-06 22:23:06,Explicitly document rsync_project's use of Fabric cxn params,576,fabric/contrib/project.py
ac4762f,Harald Weppner,2015-11-13 00:11:50,"Revert ""fix escape sequences in open_shell""",1398,fabric/io.py
8efbff1,Harald Weppner,2015-11-12 23:34:07,fix escape sequences in open_shell,1398,fabric/io.py
3510fed,Jeff Forcier,2015-03-09 13:39:42,Changelog fixes #1286 (cherry-picked),1286
ad2f60b,Samuel Marks,2015-03-04 10:21:36,Added changelog for #1273,1273
8762cca,Curtis Mattoon,2014-12-20 23:38:22,Fixes #1135. Command prefix is applied before shell_env. Reverses the order in which `shell_env` and `prefix` are applied to a command.,1135,fabric/operations.py
7150caf,Jeff Forcier,2014-12-19 14:51:11,Changelog re #1201,1201
cf81c8b,Jeff Forcier,2014-12-19 14:49:43,Skip globbing for single-file get() targets.,1201,fabric/operations.py
