file,pattern,lineno
fabric\context_managers.py,delsubscript,153
fabric\context_managers.py,delsubscript,157
fabric\decorators.py,hasattr,138
fabric\decorators.py,getattr,157
fabric\docs.py,getattr,54
fabric\docs.py,delattr,57
fabric\io.py,getattr,41
fabric\io.py,getattr,46
fabric\io.py,delsubscript,158
fabric\io.py,delsubscript,181
fabric\main.py,delsubscript,163
fabric\main.py,delsubscript,168
fabric\main.py,delsubscript,172
fabric\main.py,hasattr,381
fabric\main.py,hasattr,476
fabric\main.py,getattr,620
fabric\network.py,delsubscript,669
fabric\operations.py,hasattr,126
fabric\operations.py,getattr,132
fabric\operations.py,hasattr,347
fabric\operations.py,hasattr,532
fabric\sftp.py,getattr,25
fabric\sftp.py,getattr,38
fabric\state.py,delsubscript,401
fabric\tasks.py,getattr,117
fabric\tasks.py,getattr,118
fabric\tasks.py,getattr,135
fabric\tasks.py,hasattr,160
fabric\tasks.py,hasattr,165
fabric\tasks.py,hasattr,167
fabric\tasks.py,getattr,177
fabric\tasks.py,getattr,197
fabric\tasks.py,getattr,198
fabric\tasks.py,hasattr,218
fabric\tasks.py,getattr,344
fabric\tasks.py,getattr,345
fabric\task_utils.py,getattr,26
fabric\utils.py,hasattr,12
fabric\utils.py,getattr,23
fabric\utils.py,hasattr,100
fabric\utils.py,hasattr,266
fabric\utils.py,hasattr,348
fabric\utils.py,delsubscript,384
fabric\utils.py,delsubscript,390
fabric\contrib\project.py,hasattr,108
integration\utils.py,delsubscript,10
tests\mock_streams.py,hasattr,23
tests\mock_streams.py,delattribute,81
tests\Python26SocketServer.py,hasattr,145
tests\Python26SocketServer.py,hasattr,592
tests\server.py,getattr,325
tests\test_decorators.py,hasattr,149
tests\test_decorators.py,hasattr,151
tests\test_decorators.py,delattribute,209
tests\test_decorators.py,hasattr,242
tests\test_decorators.py,hasattr,256
tests\test_main.py,delsubscript,451
tests\test_main.py,delattribute,579
tests\test_main.py,delattribute,628
tests\test_main.py,delattribute,640
tests\test_main.py,delattribute,667
tests\test_network.py,delattribute,48
tests\test_network.py,delattribute,71
tests\test_network.py,delattribute,125
tests\test_network.py,delattribute,143
tests\test_network.py,delsubscript,195
tests\test_operations.py,delattribute,247
tests\test_operations.py,delattribute,1090
tests\test_server.py,delattribute,98
tests\test_tasks.py,delsubscript,221
tests\test_utils.py,delattribute,40
tests\test_utils.py,delattribute,55
