commit,author,date,title,faultID,file
66f2ec9,Jeff Forcier,2017-08-25 14:40:05,"Implement #1475, session-level timeouts",1475,fabric/state.py
f675cd1,Jeff Forcier,2017-04-24 16:08:59,"Changelog closes #1542, closes #1543",1542
02c2b58,Charlie Stanley,2016-12-17 03:58:41,Fixes #1542 raise NetworkError on ChannelException,1542,fabric/network.py
02c2b58,Charlie Stanley,2016-12-17 03:58:41,Fixes #1542 raise NetworkError on ChannelException,1542,tests/test_network.py
90ca9cc,Pierce Lopez,2017-02-03 20:34:36,changelog: fixed #1555,1555
fe592d7,Jeff Forcier,2017-04-24 15:43:18,"Changelog closes #1427, closes #1428",1427
4e663ff,Ray Chen,2016-01-27 18:08:23,Fabfile discovery: loading package with *.pyc only,1427,fabric/main.py
0cd1929,Pierce Lopez,2017-04-24 18:23:50,tests: update contrib.files.contains() case_sensitive test fixtures,1596,tests/test_contrib.py
f6d1898,Jeff Forcier,2017-04-24 14:28:52,Changelog closes #1065,1065
d79508a,Jeff Forcier,2017-04-24 14:26:54,Side-port of #1065,1065
8a80542,Jeff Forcier,2017-04-24 14:07:27,Changelog closes #1590,1590
22943eb,Jeff Forcier,2017-04-24 13:18:54,Changelog closes #1416,1416
61680c4,Gavin Bisesi,2016-01-07 10:48:04,Fix #1270 - Prevent installation on python3,1270,setup.py
68828f7,Pierce Lopez,2017-04-03 19:27:19,changelog entry for #1574 / #1576,1574
10f77b1,Jeff Forcier,2017-03-01 16:12:32,"Changelog re #1526, re #1527, re #1571",1526
3accd19,Pierce Lopez,2017-03-01 14:21:44,contrib.sed(): avoid shell for uname,1571,fabric/contrib/files.py
d066f97,Pierce Lopez,2016-10-06 20:58:37,changelog entry for issue 1514,1514
b5d2711,Pierce Lopez,2016-10-06 20:23:03,avoid use of str.format() in network.py,1518,fabric/network.py
319db0a,Jeff Forcier,2016-12-09 12:03:49,Paramiko 2.0 should be fine by now yey,1461,setup.py
1bb422f,Jeff Forcier,2016-08-22 15:49:38,Fix #1470 and add changelog,1470,fabric/operations.py
1bb422f,Jeff Forcier,2016-08-22 15:49:38,Fix #1470 and add changelog,1470,fabric/sftp.py
0164dc6,Jeff Forcier,2016-08-22 15:30:38,Tests added re #1470,1470,tests/test_operations.py
09a1945,Jeff Forcier,2016-08-22 14:54:46,"Changelog, lang/org tweak re #1483, closes #1483",1483
6e7c938,Jeff Forcier,2016-08-22 14:12:46,Changeog re #1495,1495
