file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1187,assignment," Incompatible types in assignment (expression has type ""BinaryIO"", variable has type ""int"")"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1188,assignment," Incompatible types in assignment (expression has type ""BinaryIO"", variable has type ""int"")"
fabric\main.py,load_tasks_from_module,182,197,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,189,assignment," Incompatible types in assignment (expression has type ""List[Tuple[str, Any]]"", variable has type ""Dict[str, Any]"")"
fabric\main.py,load_tasks_from_module,182,197,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,192,assignment," Incompatible types in assignment (expression has type ""List[Tuple[str, Any]]"", variable has type ""Dict[str, Any]"")"
tests\mock_streams.py,mock_streams,33,83,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,68,assignment," Incompatible types in assignment (expression has type ""StringIO[str]"", variable has type ""CarbonCopy"")"
tests\server.py,_socket_info,154,175,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,173,assignment," Incompatible types in assignment (expression has type ""Tuple[int, int, int, str, Tuple[Any, ...]]"", variable has type ""int"")"
fabric\auth.py,get_password,6,10,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,10,reference,host_string,"str,tuple,tuple"
fabric\auth.py,set_password,13,17,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,17,reference,host_string,"str,tuple,tuple"
fabric\decorators.py,_list_annotating_decorator,49,63,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,62,reference,inner_decorator,"function,WrappedCallableTask"
fabric\decorators.py,runs_once,122,143,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,143,reference,decorated,"function,WrappedCallableTask"
fabric\decorators.py,runs_once,122,143,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,138,reference,decorated,"function,WrappedCallableTask"
fabric\decorators.py,runs_once,122,143,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,139,reference,decorated,"function,WrappedCallableTask"
fabric\decorators.py,runs_once,122,143,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,140,reference,decorated,"function,WrappedCallableTask"
fabric\io.py,loop,61,172,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,152,reference,capture,"str,list"
fabric\io.py,loop,61,172,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,154,reference,_buffer,"list,str"
fabric\io.py,__init__,36,50,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,50,reference,prefix,"str,tuple"
fabric\io.py,loop,61,172,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,81,reference,prefix,"str,tuple"
fabric\io.py,loop,61,172,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,152,reference,fragment,"str,list"
fabric\io.py,loop,61,172,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,154,reference,fragment,"str,list"
fabric\io.py,_get_prompt_response,215,223,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,221,reference,capture,"str,list"
fabric\io.py,_endswith,21,24,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,22,reference,char_list,"str,list"
fabric\io.py,_endswith,21,24,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,24,reference,tail,"str,list"
fabric\io.py,loop,61,172,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,158,reference,capture,"str,list"
fabric\io.py,loop,61,172,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,161,reference,capture,"str,list"
fabric\io.py,loop,61,172,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,162,reference,capture,"str,list"
fabric\io.py,loop,61,172,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,163,reference,capture,"str,list"
fabric\io.py,input_loop,226,243,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,233,reference,have_char,"list,bool,?"
