file,pattern,lineno
setupbase.py,hasattr,431
docs\source\conf.py,delname,268,iprelease
IPython\__init__.py,delname,34,v
IPython\core\alias.py,delsubscript,243
IPython\core\builtin_trap.py,delsubscript,88
IPython\core\builtin_trap.py,delsubscript,96
IPython\core\compilerop.py,getattr,47
IPython\core\compilerop.py,hasattr,86
IPython\core\compilerop.py,hasattr,88
IPython\core\completer.py,hasattr,392
IPython\core\completer.py,getattr,414
IPython\core\completer.py,getattr,476
IPython\core\completer.py,getattr,835
IPython\core\completer.py,getattr,837
IPython\core\completer.py,getattr,838
IPython\core\completer.py,hasattr,840
IPython\core\completer.py,getattr,843
IPython\core\completerlib.py,getattr,152
IPython\core\completerlib.py,getattr,164
IPython\core\completerlib.py,hasattr,166
IPython\core\completerlib.py,hasattr,169
IPython\core\completerlib.py,getattr,173
IPython\core\debugger.py,hasattr,47
IPython\core\debugger.py,hasattr,316
IPython\core\debugger.py,hasattr,494
IPython\core\displayhook.py,delsubscript,81
IPython\core\displayhook.py,delsubscript,278
IPython\core\displaypub.py,delsubscript,116
IPython\core\excolors.py,getattr,138
IPython\core\extensions.py,hasattr,132
IPython\core\extensions.py,hasattr,137
IPython\core\formatters.py,getattr,265
IPython\core\formatters.py,getattr,266
IPython\core\formatters.py,getattr,272
IPython\core\formatters.py,getattr,552
IPython\core\formatters.py,getattr,553
IPython\core\inputsplitter.py,getattr,156
IPython\core\inputsplitter.py,hasattr,379
IPython\core\interactiveshell.py,getattr,858
IPython\core\interactiveshell.py,getattr,889
IPython\core\interactiveshell.py,delsubscript,932
IPython\core\interactiveshell.py,hasattr,1038
IPython\core\interactiveshell.py,delsubscript,1300
IPython\core\interactiveshell.py,delsubscript,1336
IPython\core\interactiveshell.py,delsubscript,1349
IPython\core\interactiveshell.py,getattr,1353
IPython\core\interactiveshell.py,delsubscript,1376
IPython\core\interactiveshell.py,delsubscript,1441
IPython\core\interactiveshell.py,getattr,1504
IPython\core\interactiveshell.py,getattr,1562
IPython\core\interactiveshell.py,getattr,1582
IPython\core\interactiveshell.py,getattr,1594
