file,lineno,_lineno,kind,message
setup.py,251,4,assignment," Incompatible types in assignment (expression has type ""Dict[str, Any]"", target has type ""bool"")"
IPython\external\qt_loaders.py,111,4,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""Dict[str, str]"")"
IPython\external\qt_loaders.py,116,14,argument," Argument 1 to ""__import__"" has incompatible type ""Dict[str, str]""; expected ""str"""
IPython\lib\deepreload.py,201,16,argument," Argument 2 to ""load_module"" has incompatible type ""str""; expected ""IO[Any]"""
IPython\lib\deepreload.py,311,15,argument," Argument 2 to ""load_module"" has incompatible type ""str""; expected ""IO[Any]"""
IPython\utils\text.py,472,20,argument," Argument 1 to ""len"" has incompatible type ""Match[Any]""; expected ""Sized"""
IPython\utils\dir2.py,57,4,assignment," Incompatible types in assignment (expression has type ""List[str]"", variable has type ""Set[str]"")"
IPython\core\magic_arguments.py,242,4,assignment," Incompatible types in assignment (expression has type ""str"", base class ""ArgMethodWrapper"" defined the type as ""None"")"
IPython\core\magic_arguments.py,250,4,assignment," Incompatible types in assignment (expression has type ""str"", base class ""ArgMethodWrapper"" defined the type as ""None"")"
IPython\core\formatters.py,765,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[bytes], Type[str]]"", base class ""BaseFormatter"" defined the type as ""Tuple[Type[str]]"")"
IPython\core\formatters.py,783,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[bytes], Type[str]]"", base class ""BaseFormatter"" defined the type as ""Tuple[Type[str]]"")"
IPython\core\formatters.py,815,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[List[Any]], Type[Dict[Any, Any]]]"", base class ""BaseFormatter"" defined the type as ""Tuple[Type[str]]"")"
IPython\core\formatters.py,874,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[bytes], Type[str]]"", base class ""BaseFormatter"" defined the type as ""Tuple[Type[str]]"")"
IPython\core\formatters.py,889,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[None], Type[bool]]"", base class ""BaseFormatter"" defined the type as ""Tuple[Type[str]]"")"
IPython\testing\tools.py,176,8,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
IPython\lib\display.py,184,19,assignment," Incompatible types in assignment (expression has type ""str"", variable has type Module)"
IPython\core\history.py,849,12,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
IPython\core\history.py,852,12,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
IPython\core\history.py,856,12,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
IPython\core\history.py,860,12,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
IPython\core\history.py,863,8,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
IPython\core\history.py,864,8,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
IPython\core\magic.py,634,28,argument," Argument 3 to ""getopt"" has incompatible type ""Tuple[Any, ...]""; expected ""List[str]"""
IPython\core\magic.py,651,24,assignment," Incompatible types in assignment (expression has type ""str"", target has type ""List[Any]"")"
