file,method,params,startLineno,endLineno,affectedLineno,affectedOffsets,affectedVar,affectedTypes
setupbase.py,make_man_update_target,manpage,224,246,246,8199-8205,gz_cmd,"str,dict"
docs\gh-pages.py,sh,cmd,39,41,41,1381-1384,cmd,"str,tuple"
docs\sphinxext\apigen.py,generate_api_doc,"self, uri",239,295,270,10450-10452,ad,"str,int"
docs\sphinxext\apigen.py,generate_api_doc,"self, uri",239,295,272,10532-10534,ad,"str,int"
docs\sphinxext\apigen.py,generate_api_doc,"self, uri",239,295,273,10581-10583,ad,"str,int"
docs\sphinxext\apigen.py,generate_api_doc,"self, uri",239,295,277,10758-10760,ad,"str,int"
docs\sphinxext\apigen.py,generate_api_doc,"self, uri",239,295,281,10899-10901,ad,"str,int"
docs\sphinxext\apigen.py,generate_api_doc,"self, uri",239,295,283,11024-11026,ad,"str,int"
docs\sphinxext\apigen.py,generate_api_doc,"self, uri",239,295,286,11139-11141,ad,"str,int"
docs\sphinxext\apigen.py,generate_api_doc,"self, uri",239,295,290,11323-11325,ad,"str,int"
docs\sphinxext\apigen.py,generate_api_doc,"self, uri",239,295,294,11534-11536,ad,"str,int"
docs\sphinxext\apigen.py,generate_api_doc,"self, uri",239,295,295,11604-11606,ad,"str,int"
docs\sphinxext\apigen.py,write_modules_api,"self, modules, outdir",384,398,389,15002-15009,api_str,"str,int"
docs\sphinxext\apigen.py,write_modules_api,"self, modules, outdir",384,398,395,15244-15251,api_str,"str,int"
IPython\core\alias.py,__call__,"self, rest=''",166,187,187,7603-7606,cmd,"str,tuple,tuple"
IPython\core\completer.py,file_matches,"self, text",667,748,705,24377-24388,open_quotes,"str,bool"
IPython\core\completer.py,file_matches,"self, text",667,748,706,24444-24455,open_quotes,"str,bool"
IPython\core\completer.py,file_matches,"self, text",667,748,713,24639-24650,open_quotes,"str,bool"
IPython\core\completer.py,file_matches,"self, text",667,748,735,25571-25582,open_quotes,"str,bool"
IPython\core\completerlib.py,try_import,"mod, only_modules=False",157,179,169,5714-5723,m_is_init,"bool,int"
IPython\core\completerlib.py,try_import,"mod, only_modules=False",157,179,174,5912-5921,m_is_init,"bool,int"
IPython\core\crashhandler.py,make_report,"self, traceback",182,201,185,6764-6775,section_sep,"str,int"
IPython\core\crashhandler.py,make_report,"self, traceback",182,201,193,6991-6998,sec_sep,"str,int"
IPython\core\crashhandler.py,make_report,"self, traceback",182,201,199,7212-7219,sec_sep,"str,int"
IPython\core\debugger.py,print_list_lines,"self, filename, first, last",485,513,503,18621-18632,tpl_line_em,"str,tuple"
IPython\core\debugger.py,__format_line,"self, tpl_line, filename, lineno, line, arrow=False",439,477,471,17239-17245,marker,"str,int"
IPython\core\debugger.py,__format_line,"self, tpl_line, filename, lineno, line, arrow=False",439,477,472,17280-17288,tpl_line,"str,tuple"
IPython\core\debugger.py,__format_line,"self, tpl_line, filename, lineno, line, arrow=False",439,477,472,17317-17320,num,"str,tuple"
IPython\core\debugger.py,__format_line,"self, tpl_line, filename, lineno, line, arrow=False",439,477,475,17434-17442,tpl_line,"str,tuple"
IPython\core\debugger.py,__format_line,"self, tpl_line, filename, lineno, line, arrow=False",439,477,475,17471-17474,num,"str,tuple"
IPython\core\debugger.py,__format_line,"self, tpl_line, filename, lineno, line, arrow=False",439,477,477,17500-17504,line,"str,tuple,tuple,tuple"
IPython\core\debugger.py,print_list_lines,"self, filename, first, last",485,513,505,18742-18750,tpl_line,"str,tuple"
IPython\core\debugger.py,print_list_lines,"self, filename, first, last",485,513,507,18821-18825,line,"str,tuple,tuple,tuple,tuple"
IPython\core\debugger.py,format_stack_entry,"self, frame_lineno, lprefix=': ', context=None",365,437,400,14678-14686,tpl_link,"str,tuple"
IPython\core\debugger.py,format_stack_entry,"self, frame_lineno, lprefix=': ', context=None",365,437,413,15070-15078,tpl_call,"str,tuple"
IPython\core\debugger.py,format_stack_entry,"self, frame_lineno, lprefix=': ', context=None",365,437,421,15401-15405,link,"None,str,tuple"
IPython\core\debugger.py,format_stack_entry,"self, frame_lineno, lprefix=': ', context=None",365,437,421,15413-15417,call,"str,tuple,tuple"
IPython\core\debugger.py,format_stack_entry,"self, frame_lineno, lprefix=': ', context=None",365,437,432,15825-15836,tpl_line_em,"str,tuple"
IPython\core\debugger.py,format_stack_entry,"self, frame_lineno, lprefix=': ', context=None",365,437,433,15865-15873,tpl_line,"str,tuple"
IPython\core\debugger.py,format_stack_entry,"self, frame_lineno, lprefix=': ', context=None",365,437,434,15917-15924,linetpl,"str,tuple,tuple,bool"
IPython\core\display.py,_repr_javascript_,self,593,601,600,20438-20439,r,"str,int"
IPython\core\display.py,_repr_javascript_,self,593,601,601,20480-20481,r,"str,int"
IPython\core\display.py,__repr__,self,389,395,395,13892-13893,r,"str,tuple,?"
IPython\core\formatters.py,_float_precision_changed,"self, name, old, new",621,664,664,23066-23078,float_format,"str,int"
IPython\core\formatters.py,for_type,"self, typ, func=None",427,464,452,15418-15421,typ,"str,tuple"
IPython\core\formatters.py,for_type,"self, typ, func=None",427,464,453,15476-15479,typ,"str,tuple"
IPython\core\formatters.py,lookup_by_type,"self, typ",393,425,409,13519-13522,typ,"str,tuple"
IPython\core\formatters.py,lookup_by_type,"self, typ",393,425,410,13568-13571,typ,"str,tuple"
IPython\core\formatters.py,lookup_by_type,"self, typ",393,425,420,14064-14067,typ,"str,tuple"
IPython\core\formatters.py,for_type,"self, typ, func=None",427,464,457,15634-15637,typ,"str,tuple"
