file,method,params,startlineno,endlineno
setup.py,initialize_options,self,137,144
setup.py,run,self,146,148
setup.py,main,,290,291
setupbase.py,oscmd,s,43,45
setupbase.py,execfile,"fname, globs, locs=None",53,55
setupbase.py,file_doesnt_endwith,"test, endings",59,67
setupbase.py,find_packages,,99,114
setupbase.py,find_package_data,,120,134
setupbase.py,check_package_data,package_data,137,147
setupbase.py,check_package_data_first,command,150,159
setupbase.py,run,self,156,158
setupbase.py,make_dir_struct,"tag, base, out_base",166,200
setupbase.py,find_data_files,,203,221
setupbase.py,make_man_update_target,manpage,224,246
setupbase.py,target_outdated,"target, deps",251,272
setupbase.py,target_update,"target, deps, cmd",275,284
setupbase.py,find_entry_points,,290,305
setupbase.py,run,self,323,349
setupbase.py,initialize_options,self,356,357
setupbase.py,finalize_options,self,359,361
setupbase.py,run,self,364,373
setupbase.py,run,self,376,382
setupbase.py,run,self,385,391
setupbase.py,finalize_options,self,404,409
setupbase.py,git_prebuild,"pkg_dir, build_cmd=build_py",418,465
setupbase.py,run,self,428,432
setupbase.py,make_release_tree,"self, base_dir, files",434,437
setupbase.py,_record_commit,"self, base_dir",439,463
docs\autogen_config.py,write_doc,"name, title, app, preamble=None",12,22
docs\autogen_magics.py,_strip_underline,line,11,16
docs\autogen_magics.py,format_docstring,func,18,24
docs\autogen_magics.py,sortkey,s,33,33
docs\gh-pages.py,sh,cmd,39,41
docs\gh-pages.py,sh2,cmd,44,54
docs\gh-pages.py,sh3,cmd,57,67
docs\gh-pages.py,init_repo,path,70,76
docs\sphinxext\apigen.py,__init__,"self, **kwargs",30,32
docs\sphinxext\apigen.py,__init__,self,39,43
docs\sphinxext\apigen.py,has_undoc_decorator,node,45,48
docs\sphinxext\apigen.py,visit_If,"self, node",50,56
docs\sphinxext\apigen.py,visit_FunctionDef,"self, node",58,61
docs\sphinxext\apigen.py,visit_ClassDef,"self, node",63,70
docs\sphinxext\apigen.py,scan,"self, mod",72,74
docs\sphinxext\apigen.py,__init__,"self, package_name, rst_extension='.rst', package_skip_patterns=None, module_skip_patterns=None, names_from__all__=None",84,131
docs\sphinxext\apigen.py,get_package_name,self,133,134
docs\sphinxext\apigen.py,set_package_name,"self, package_name",136,152
docs\sphinxext\apigen.py,_uri2path,"self, uri",157,197
docs\sphinxext\apigen.py,_path2uri,"self, dirpath",199,204
docs\sphinxext\apigen.py,_parse_module,"self, uri",206,214
docs\sphinxext\apigen.py,_import_funcs_classes,"self, uri",216,228
docs\sphinxext\apigen.py,find_funcs_classes,"self, uri",230,237
docs\sphinxext\apigen.py,generate_api_doc,"self, uri",239,295
docs\sphinxext\apigen.py,_survives_exclude,"self, matchstr, match_type",297,336
docs\sphinxext\apigen.py,discover_modules,self,338,382
docs\sphinxext\apigen.py,write_modules_api,"self, modules, outdir",384,398
docs\sphinxext\apigen.py,write_api_docs,"self, outdir",400,421
docs\sphinxext\apigen.py,write_index,"self, outdir, path='gen.rst', relative_to=None",423,454
docs\sphinxext\github.py,make_link_node,"rawtext, app, type, slug, options",23,49
docs\sphinxext\github.py,ghissue_role,"name, rawtext, text, lineno, inliner, options={}, content=[]",51,90
docs\sphinxext\github.py,ghuser_role,"name, rawtext, text, lineno, inliner, options={}, content=[]",92,111
docs\sphinxext\github.py,ghcommit_role,"name, rawtext, text, lineno, inliner, options={}, content=[]",113,141
docs\sphinxext\github.py,setup,app,144,157
docs\sphinxext\magics.py,parse_magic,"env, sig, signode",8,14
docs\sphinxext\magics.py,process_link,"self, env, refnode, has_explicit_title, title, target",20,24
docs\sphinxext\magics.py,parse_cell_magic,"env, sig, signode",26,32
docs\sphinxext\magics.py,setup,app,38,45
examples\Embedding\embed_class_long.py,foo,m,101,104
examples\Embedding\embed_class_long.py,bar,n,106,109
examples\Embedding\embed_class_short.py,ipshell,,45,45
examples\IPython Kernel\gui\gui-glut.py,close,,18,19
examples\IPython Kernel\gui\gui-glut.py,display,,21,23
examples\IPython Kernel\gui\gui-glut.py,resize,"width, height",25,30
examples\IPython Kernel\gui\gui-gtk.py,hello_world,"wigdet, data=None",16,17
examples\IPython Kernel\gui\gui-gtk.py,delete_event,"widget, event, data=None",19,20
examples\IPython Kernel\gui\gui-gtk.py,destroy,"widget, data=None",22,23
examples\IPython Kernel\gui\gui-gtk3.py,hello_world,"wigdet, data=None",14,15
examples\IPython Kernel\gui\gui-gtk3.py,delete_event,"widget, event, data=None",17,18
examples\IPython Kernel\gui\gui-gtk3.py,destroy,"widget, data=None",20,21
examples\IPython Kernel\gui\gui-pyglet.py,on_close,,20,22
examples\IPython Kernel\gui\gui-pyglet.py,on_draw,,24,27
examples\IPython Kernel\gui\gui-qt.py,__init__,"self, parent=None",16,26
examples\IPython Kernel\gui\gui-tk.py,__init__,"self, root",18,23
examples\IPython Kernel\gui\gui-tk.py,hello_world,self,25,26
examples\IPython Kernel\gui\gui-wx.py,__init__,"self, parent, title",22,67
examples\IPython Kernel\gui\gui-wx.py,OnTimeToClose,"self, evt",70,73
examples\IPython Kernel\gui\gui-wx.py,OnFunButton,"self, evt",75,77
examples\IPython Kernel\gui\gui-wx.py,OnInit,self,81,88
IPython\paths.py,get_ipython_dir,,16,72
IPython\paths.py,get_ipython_cache_dir,,75,86
IPython\paths.py,get_ipython_package_dir,,89,92
