file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
IPython\external\qt_loaders.py,has_binding,90,131,fd32adb,Thomas Kluyver,2017-01-12 15:16:13,New implementation of has_binding Qt check for Python 3.4+,10080,"53c132361f3ba145f93b9836fa26d328e6f7136e, fd32adbcfa084c0217d5ff7ecd0fea44dce8bdd1, d30f199783d9d959c129b6a2b6affb714173505f, 41801a16fcd8a9cc9ab1d087079405092af818ac",111,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""Dict[str, str]"")"
IPython\external\qt_loaders.py,has_binding,90,131,d30f199,Diego Garcia,2016-10-17 10:45:41,use `import_module` instead of `__import__` ( FIX #10008 ),10008,"53c132361f3ba145f93b9836fa26d328e6f7136e, fd32adbcfa084c0217d5ff7ecd0fea44dce8bdd1, d30f199783d9d959c129b6a2b6affb714173505f, 41801a16fcd8a9cc9ab1d087079405092af818ac",111,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""Dict[str, str]"")"
IPython\external\qt_loaders.py,has_binding,90,131,fd32adb,Thomas Kluyver,2017-01-12 15:16:13,New implementation of has_binding Qt check for Python 3.4+,10080,"53c132361f3ba145f93b9836fa26d328e6f7136e, fd32adbcfa084c0217d5ff7ecd0fea44dce8bdd1, d30f199783d9d959c129b6a2b6affb714173505f, 41801a16fcd8a9cc9ab1d087079405092af818ac",116,argument," Argument 1 to ""__import__"" has incompatible type ""Dict[str, str]""; expected ""str"""
IPython\external\qt_loaders.py,has_binding,90,131,d30f199,Diego Garcia,2016-10-17 10:45:41,use `import_module` instead of `__import__` ( FIX #10008 ),10008,"53c132361f3ba145f93b9836fa26d328e6f7136e, fd32adbcfa084c0217d5ff7ecd0fea44dce8bdd1, d30f199783d9d959c129b6a2b6affb714173505f, 41801a16fcd8a9cc9ab1d087079405092af818ac",116,argument," Argument 1 to ""__import__"" has incompatible type ""Dict[str, str]""; expected ""str"""
IPython\utils\dir2.py,dir2,33,58,872de8a,Paul Ivanov,2016-11-07 10:24:26,restore tab completion behavior,10046,"9ff5c5626ef9b2d191235f74d2659b0e645408f6, 872de8af1f3761d4737672dab2f50a225ab0423e, 9bf4fac39258adc331d864c5f04030accd642719, 1370018ac3f96a5a04d119afa95d482a7504119e, e1ced0b331f898664b33180b6a334869f8c87f37, c1886ee7db49b77bfe8f1fa7c4f1c304058090a7, 0ca701d56a2d12074b725d3fd99cacc30c5c62cb, 433d684a442e9c9014c7d217f8a2db86dd7684aa, 1ff2bdd6e792e3c537c64ec38531c68968719ffa, b9b8f448868b6d7335ecd9bd29d18c660861ab47",57,assignment," Incompatible types in assignment (expression has type ""List[str]"", variable has type ""Set[str]"")"
IPython\core\ultratb.py,format_records,778,951,2db2f37,Thomas Kluyver,2016-01-25 17:00:23,Truncate tracebacks on recursion error,7833,"39c534a7283b3f2d02493521302cda05f0a50daa, 2db2f3778c02083efe89979711e926cfa296019e, e2bdd455e74243848cb58c872d5d6c5f270db7c6, 429008e86322cdb0990bec8628f19b009dbd8ff9",938,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
IPython\core\ultratb.py,format_records,778,951,2db2f37,Thomas Kluyver,2016-01-25 17:00:23,Truncate tracebacks on recursion error,7833,"39c534a7283b3f2d02493521302cda05f0a50daa, 2db2f3778c02083efe89979711e926cfa296019e, e2bdd455e74243848cb58c872d5d6c5f270db7c6, 429008e86322cdb0990bec8628f19b009dbd8ff9",940,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
IPython\core\completerlib.py,try_import,157,179,d30f199,Diego Garcia,2016-10-17 10:45:41,use `import_module` instead of `__import__` ( FIX #10008 ),10008,"9ff5c5626ef9b2d191235f74d2659b0e645408f6, 3754470fe52520c495e8b4b55908dad75f60b067, d30f199783d9d959c129b6a2b6affb714173505f, 12e05563fce19803bd8b146a57505a7120150bb4",176,assignment," Incompatible types in assignment (expression has type ""Set[str]"", variable has type ""List[str]"")"
IPython\core\completerlib.py,try_import,157,179,12e0556,Thomas Kluyver,2016-06-30 10:55:48,Handle bad __all__ for module completions,9678,"9ff5c5626ef9b2d191235f74d2659b0e645408f6, 3754470fe52520c495e8b4b55908dad75f60b067, d30f199783d9d959c129b6a2b6affb714173505f, 12e05563fce19803bd8b146a57505a7120150bb4",176,assignment," Incompatible types in assignment (expression has type ""Set[str]"", variable has type ""List[str]"")"
IPython\core\completer.py,file_matches,667,748,d9cf8f3,Matthias Bussonnier,2016-04-15 11:02:56,Force completion results to be unicode.,9379,"bea40ef5d21467a86df9380c0059ee040e9962ac, d9cf8f3a47f0ba26f713ec04513f75092299572e, bf4a4f42e9dff8163df574a6f7375ae22377aff7, 02eecaf061408f26a3c6029886b8794f73581938, 230f3de3018c290b5f0f77530b06d0eaf7aaee9e, d4964e7ac2e71aaf2ef947d660de5a7dc8218f81, 19d34df68492212621dfd3c1ac8081dfb3eb6982, 8cff4913e012306b4d2472cc5848180c65867878, 10038790e55d5a3df996806d13c3b4746c2437bb, 10038790e55d5a3df996806d13c3b4746c2437bb",705,reference,open_quotes,"str,bool"
IPython\core\completer.py,file_matches,667,748,d9cf8f3,Matthias Bussonnier,2016-04-15 11:02:56,Force completion results to be unicode.,9379,"bea40ef5d21467a86df9380c0059ee040e9962ac, d9cf8f3a47f0ba26f713ec04513f75092299572e, bf4a4f42e9dff8163df574a6f7375ae22377aff7, 02eecaf061408f26a3c6029886b8794f73581938, 230f3de3018c290b5f0f77530b06d0eaf7aaee9e, d4964e7ac2e71aaf2ef947d660de5a7dc8218f81, 19d34df68492212621dfd3c1ac8081dfb3eb6982, 8cff4913e012306b4d2472cc5848180c65867878, 10038790e55d5a3df996806d13c3b4746c2437bb, 10038790e55d5a3df996806d13c3b4746c2437bb",706,reference,open_quotes,"str,bool"
IPython\core\completer.py,file_matches,667,748,d9cf8f3,Matthias Bussonnier,2016-04-15 11:02:56,Force completion results to be unicode.,9379,"bea40ef5d21467a86df9380c0059ee040e9962ac, d9cf8f3a47f0ba26f713ec04513f75092299572e, bf4a4f42e9dff8163df574a6f7375ae22377aff7, 02eecaf061408f26a3c6029886b8794f73581938, 230f3de3018c290b5f0f77530b06d0eaf7aaee9e, d4964e7ac2e71aaf2ef947d660de5a7dc8218f81, 19d34df68492212621dfd3c1ac8081dfb3eb6982, 8cff4913e012306b4d2472cc5848180c65867878, 10038790e55d5a3df996806d13c3b4746c2437bb, 10038790e55d5a3df996806d13c3b4746c2437bb",713,reference,open_quotes,"str,bool"
IPython\core\completer.py,file_matches,667,748,d9cf8f3,Matthias Bussonnier,2016-04-15 11:02:56,Force completion results to be unicode.,9379,"bea40ef5d21467a86df9380c0059ee040e9962ac, d9cf8f3a47f0ba26f713ec04513f75092299572e, bf4a4f42e9dff8163df574a6f7375ae22377aff7, 02eecaf061408f26a3c6029886b8794f73581938, 230f3de3018c290b5f0f77530b06d0eaf7aaee9e, d4964e7ac2e71aaf2ef947d660de5a7dc8218f81, 19d34df68492212621dfd3c1ac8081dfb3eb6982, 8cff4913e012306b4d2472cc5848180c65867878, 10038790e55d5a3df996806d13c3b4746c2437bb, 10038790e55d5a3df996806d13c3b4746c2437bb",735,reference,open_quotes,"str,bool"
IPython\core\completerlib.py,try_import,157,179,d30f199,Diego Garcia,2016-10-17 10:45:41,use `import_module` instead of `__import__` ( FIX #10008 ),10008,"9ff5c5626ef9b2d191235f74d2659b0e645408f6, 3754470fe52520c495e8b4b55908dad75f60b067, d30f199783d9d959c129b6a2b6affb714173505f, 12e05563fce19803bd8b146a57505a7120150bb4",169,reference,m_is_init,"bool,int"
IPython\core\completerlib.py,try_import,157,179,12e0556,Thomas Kluyver,2016-06-30 10:55:48,Handle bad __all__ for module completions,9678,"9ff5c5626ef9b2d191235f74d2659b0e645408f6, 3754470fe52520c495e8b4b55908dad75f60b067, d30f199783d9d959c129b6a2b6affb714173505f, 12e05563fce19803bd8b146a57505a7120150bb4",169,reference,m_is_init,"bool,int"
IPython\core\completerlib.py,try_import,157,179,d30f199,Diego Garcia,2016-10-17 10:45:41,use `import_module` instead of `__import__` ( FIX #10008 ),10008,"9ff5c5626ef9b2d191235f74d2659b0e645408f6, 3754470fe52520c495e8b4b55908dad75f60b067, d30f199783d9d959c129b6a2b6affb714173505f, 12e05563fce19803bd8b146a57505a7120150bb4",174,reference,m_is_init,"bool,int"
IPython\core\completerlib.py,try_import,157,179,12e0556,Thomas Kluyver,2016-06-30 10:55:48,Handle bad __all__ for module completions,9678,"9ff5c5626ef9b2d191235f74d2659b0e645408f6, 3754470fe52520c495e8b4b55908dad75f60b067, d30f199783d9d959c129b6a2b6affb714173505f, 12e05563fce19803bd8b146a57505a7120150bb4",174,reference,m_is_init,"bool,int"
IPython\core\formatters.py,_float_precision_changed,621,664,a902868,Min RK,2016-07-29 14:01:16,fix some deprecations,9823,a9028681dcedb03bf64d263d8f1168545335b0e9,664,reference,float_format,"str,int"
IPython\core\formatters.py,_float_precision_changed,621,664,a902868,Min RK,2016-07-29 14:01:16,fix some deprecations,9823,a9028681dcedb03bf64d263d8f1168545335b0e9,664,reference,fmt,"str,?,int"
