file,pattern,lineno
runtests.py,getattr,439
runtests.py,delname,448,frame
setup.py,delsubscript,257
benchmarks\benchmarks\bench_linalg.py,getattr,45
benchmarks\benchmarks\bench_random.py,getattr,17
benchmarks\benchmarks\bench_ufunc.py,getattr,26
benchmarks\benchmarks\bench_ufunc.py,getattr,47
benchmarks\benchmarks\common.py,getattr,53
doc\summarize.py,delsubscript,111
doc\summarize.py,getattr,132
doc\source\conf.py,getattr,303
numpy\ctypeslib.py,delname,87,nic
numpy\ctypeslib.py,hasattr,431
numpy\_import_tools.py,getattr,97
numpy\_import_tools.py,getattr,100
numpy\_import_tools.py,getattr,112
numpy\_import_tools.py,delsubscript,118
numpy\_import_tools.py,delsubscript,125
numpy\_import_tools.py,getattr,186
numpy\_import_tools.py,getattr,187
numpy\_import_tools.py,getattr,260
numpy\_import_tools.py,getattr,261
numpy\_import_tools.py,getattr,281
numpy\_import_tools.py,getattr,284
numpy\_import_tools.py,getattr,321
numpy\__init__.py,delname,162,_sys
numpy\compat\py3k.py,hasattr,79
numpy\compat\py3k.py,hasattr,85
numpy\core\fromnumeric.py,getattr,48
numpy\core\getlimits.py,getattr,157
numpy\core\getlimits.py,getattr,159
numpy\core\memmap.py,hasattr,213
numpy\core\memmap.py,hasattr,271
numpy\core\memmap.py,hasattr,284
numpy\core\memmap.py,hasattr,310
numpy\core\numeric.py,getattr,367
numpy\core\numeric.py,delname,2481,key
numpy\core\numeric.py,hasattr,2751
numpy\core\numerictypes.py,delsubscript,420
numpy\core\numerictypes.py,delsubscript,421
numpy\core\numerictypes.py,delname,891,_toadd
numpy\core\numerictypes.py,delname,891,name
numpy\core\numerictypes.py,delname,898,key
numpy\core\records.py,getattr,263
numpy\core\records.py,getattr,287
numpy\core\records.py,getattr,849
numpy\core\setup.py,hasattr,502
numpy\core\setup.py,delsubscript,589
numpy\core\setup_common.py,delsubscript,73
numpy\core\_methods.py,hasattr,69
numpy\core\_methods.py,hasattr,115
numpy\core\_methods.py,hasattr,128
numpy\core\__init__.py,delsubscript,16
numpy\core\__init__.py,delname,17,envkey
numpy\core\__init__.py,delname,18,env_added
numpy\core\__init__.py,delname,19,os
numpy\core\__init__.py,delname,42,nt
numpy\core\__init__.py,getattr,72
numpy\core\__init__.py,delname,88,copyreg
numpy\core\__init__.py,delname,89,sys
numpy\core\__init__.py,delname,90,_ufunc_reduce
numpy\core\code_generators\genapi.py,delsubscript,185
numpy\core\code_generators\generate_umath.py,delsubscript,841
numpy\core\tests\test_api.py,getattr,66
numpy\core\tests\test_indexing.py,delsubscript,873
numpy\core\tests\test_item_selection.py,delname,57,a
numpy\core\tests\test_item_selection.py,delname,62,a
numpy\core\tests\test_longdouble.py,delname,19,_o
numpy\core\tests\test_memmap.py,delname,33,fp
numpy\core\tests\test_memmap.py,delname,46,fp
numpy\core\tests\test_memmap.py,delname,51,fp
numpy\core\tests\test_memmap.py,delname,60,fp
numpy\core\tests\test_memmap.py,delname,71,b
numpy\core\tests\test_memmap.py,delname,72,fp
numpy\core\tests\test_memmap.py,delname,94,fp_view
numpy\core\tests\test_multiarray.py,getattr,2324
numpy\core\tests\test_multiarray.py,getattr,2329
numpy\core\tests\test_multiarray.py,getattr,2372
numpy\core\tests\test_multiarray.py,getattr,2384
numpy\core\tests\test_multiarray.py,getattr,2433
numpy\core\tests\test_multiarray.py,getattr,2567
numpy\core\tests\test_multiarray.py,delname,3645,y
numpy\core\tests\test_multiarray.py,getattr,4064
numpy\core\tests\test_multiarray.py,getattr,4723
numpy\core\tests\test_multiarray.py,delname,5427,c
numpy\core\tests\test_multiarray.py,delsubscript,5555
numpy\core\tests\test_multiarray.py,delsubscript,5556
numpy\core\tests\test_multiarray.py,delname,5574,a
numpy\core\tests\test_nditer.py,delname,76,it2
numpy\core\tests\test_nditer.py,delsubscript,2511
