file,method,params,startlineno,endlineno
pavement.py,superpack_name,"pyver, numver",188,190
pavement.py,internal_wininst_name,arch,192,196
pavement.py,wininst_name,pyver,198,201
pavement.py,prepare_nsis_script,"pyver, numver",203,218
pavement.py,bdist_wininst_arch,"pyver, arch",220,225
pavement.py,bdist_superpack,options,227,269
pavement.py,copy_bdist,arch,232,248
pavement.py,bdist_wininst_nosse,options,271,275
pavement.py,bdist_wininst_sse2,options,277,281
pavement.py,bdist_wininst_sse3,options,283,287
pavement.py,bdist_wininst_simple,,289,294
pavement.py,_bdist_wininst,"pyver, cfg_env=None",296,303
pavement.py,bootstrap,options,308,326
pavement.py,clean,,328,338
pavement.py,clean_bootstrap,,340,344
pavement.py,nuke,options,346,352
pavement.py,html,options,357,368
pavement.py,latex,,370,373
pavement.py,pdf,,375,394
pavement.py,build_pdf,,383,384
pavement.py,dmg_name,"fullversion, pyver, osxver=None",399,414
pavement.py,macosx_version,,416,425
pavement.py,mpkg_name,pyver,427,433
pavement.py,_build_mpkg,pyver,435,443
pavement.py,simple_dmg,,445,462
pavement.py,bdist_mpkg,options,464,472
pavement.py,_create_dmg,"pyver, src_dir, volname=None",474,482
pavement.py,dmg,options,484,537
pavement.py,tarball_name,type='gztar',542,548
pavement.py,sdist,options,550,572
pavement.py,compute_md5,idirs,574,581
pavement.py,compute_sha256,idirs,583,592
pavement.py,write_release_task,"options, filename='NOTES.txt'",594,616
pavement.py,write_log_task,"options, filename='Changelog'",618,626
pavement.py,write_release,options,628,630
pavement.py,write_log,options,632,634
pavement.py,write_release_and_log,options,636,640
runtests.py,main,argv,66,299
runtests.py,fix_test_path,x,256,261
runtests.py,test,"*a, **kw",265,270
runtests.py,build_project,args,302,389
runtests.py,gcov_reset_counters,,395,402
runtests.py,lcov_generate,,411,430
runtests.py,exec_,"code, globs=None, locs=None",441,451
setup.py,git_version,,66,87
setup.py,_minimal_ext_cmd,cmd,67,79
setup.py,get_version_info,,100,120
setup.py,write_version_py,filename='numpy/version.py',123,144
setup.py,configuration,"parent_package='', top_path=None",147,160
setup.py,check_submodules,,162,182
setup.py,run,self,187,189
setup.py,generate_cython,,191,199
setup.py,setup_package,,201,259
benchmarks\benchmarks\bench_app.py,setup,"self, update",14,50
benchmarks\benchmarks\bench_app.py,num_update,"u, dx2, dy2",22,25
benchmarks\benchmarks\bench_app.py,num_inplace,"u, dx2, dy2",27,36
benchmarks\benchmarks\bench_app.py,laplace,"N, Niter='100', func=num_update, args=()",38,43
benchmarks\benchmarks\bench_app.py,run,,47,48
benchmarks\benchmarks\bench_app.py,time_it,"self, update",52,53
benchmarks\benchmarks\bench_app.py,setup,self,57,64
benchmarks\benchmarks\bench_app.py,maxes_of_dots,"self, arrays",66,86
benchmarks\benchmarks\bench_app.py,time_it,self,88,89
benchmarks\benchmarks\bench_core.py,setup,self,9,13
benchmarks\benchmarks\bench_core.py,time_array_1,self,15,16
benchmarks\benchmarks\bench_core.py,time_array_empty,self,18,19
benchmarks\benchmarks\bench_core.py,time_array_l1,self,21,22
benchmarks\benchmarks\bench_core.py,time_array_l100,self,24,25
benchmarks\benchmarks\bench_core.py,time_array_l,self,27,28
benchmarks\benchmarks\bench_core.py,time_vstack_l,self,30,31
benchmarks\benchmarks\bench_core.py,time_hstack_l,self,33,34
benchmarks\benchmarks\bench_core.py,time_dstack_l,self,36,37
benchmarks\benchmarks\bench_core.py,time_arange_100,self,39,40
benchmarks\benchmarks\bench_core.py,time_zeros_100,self,42,43
benchmarks\benchmarks\bench_core.py,time_ones_100,self,45,46
benchmarks\benchmarks\bench_core.py,time_empty_100,self,48,49
benchmarks\benchmarks\bench_core.py,time_eye_100,self,51,52
benchmarks\benchmarks\bench_core.py,time_identity_100,self,54,55
benchmarks\benchmarks\bench_core.py,time_eye_3000,self,57,58
benchmarks\benchmarks\bench_core.py,time_identity_3000,self,60,61
benchmarks\benchmarks\bench_core.py,time_diag_l100,self,63,64
benchmarks\benchmarks\bench_core.py,time_diagflat_l100,self,66,67
benchmarks\benchmarks\bench_core.py,time_diagflat_l50_l50,self,69,70
benchmarks\benchmarks\bench_core.py,time_triu_l10x10,self,72,73
benchmarks\benchmarks\bench_core.py,time_tril_l10x10,self,75,76
benchmarks\benchmarks\bench_core.py,setup,self,80,82
benchmarks\benchmarks\bench_core.py,time_masked_array,self,84,85
benchmarks\benchmarks\bench_core.py,time_masked_array_l100,self,87,88
benchmarks\benchmarks\bench_core.py,time_masked_array_l100_t100,self,90,91
benchmarks\benchmarks\bench_function_base.py,setup,self,9,11
benchmarks\benchmarks\bench_function_base.py,time_bincount,self,13,14
benchmarks\benchmarks\bench_function_base.py,time_weights,self,16,17
benchmarks\benchmarks\bench_function_base.py,setup,self,21,23
benchmarks\benchmarks\bench_function_base.py,time_even,self,25,26
benchmarks\benchmarks\bench_function_base.py,time_odd,self,28,29
benchmarks\benchmarks\bench_function_base.py,time_even_inplace,self,31,32
benchmarks\benchmarks\bench_function_base.py,time_odd_inplace,self,34,35
benchmarks\benchmarks\bench_function_base.py,time_even_small,self,37,38
benchmarks\benchmarks\bench_function_base.py,time_odd_small,self,40,41
benchmarks\benchmarks\bench_function_base.py,setup,self,45,47
benchmarks\benchmarks\bench_function_base.py,time_quartile,self,49,50
benchmarks\benchmarks\bench_function_base.py,time_percentile,self,52,53
benchmarks\benchmarks\bench_function_base.py,setup,self,57,61
