file,pattern,lineno
setup.py,hasattr,27
setup.py,hasattr,44
client\powerline.py,delsubscript,35
client\powerline.py,getattr,47
powerline\renderer.py,getattr,124
powerline\renderer.py,delname,362,segments_priority
powerline\segment.py,getattr,87
powerline\segment.py,getattr,336
powerline\segment.py,getattr,403
powerline\segment.py,hasattr,407
powerline\segment.py,hasattr,411
powerline\vim.py,hasattr,61
powerline\vim.py,hasattr,200
powerline\__init__.py,getattr,86
powerline\__init__.py,getattr,254
powerline\__init__.py,getattr,288
powerline\__init__.py,getattr,382
powerline\__init__.py,hasattr,663
powerline\__init__.py,hasattr,675
powerline\__init__.py,hasattr,845
powerline\__init__.py,getattr,930
powerline\__init__.py,getattr,968
powerline\bindings\ipython\pre_0_11.py,hasattr,31
powerline\bindings\ipython\pre_0_11.py,getattr,117
powerline\bindings\pdb\__init__.py,getattr,85
powerline\bindings\pdb\__init__.py,hasattr,153
powerline\bindings\vim\__init__.py,hasattr,16
powerline\bindings\vim\__init__.py,hasattr,17
powerline\bindings\vim\__init__.py,hasattr,26
powerline\bindings\vim\__init__.py,hasattr,109
powerline\bindings\vim\__init__.py,getattr,132
powerline\bindings\vim\__init__.py,hasattr,166
powerline\bindings\vim\__init__.py,hasattr,192
powerline\bindings\vim\__init__.py,getattr,194
powerline\bindings\vim\__init__.py,getattr,199
powerline\bindings\vim\__init__.py,getattr,201
powerline\bindings\vim\__init__.py,hasattr,274
powerline\bindings\vim\__init__.py,hasattr,295
powerline\bindings\zsh\__init__.py,hasattr,104
powerline\bindings\zsh\__init__.py,getattr,104
powerline\bindings\zsh\__init__.py,hasattr,110
powerline\commands\config.py,hasattr,37
powerline\lib\config.py,getattr,49
powerline\lib\debug.py,getattr,46
powerline\lib\debug.py,getattr,47
powerline\lib\debug.py,getattr,48
powerline\lib\dict.py,hasattr,63
powerline\lib\encoding.py,hasattr,110
powerline\lib\inotify.py,hasattr,30
powerline\lib\inotify.py,hasattr,38
powerline\lib\inotify.py,hasattr,45
powerline\lib\inotify.py,hasattr,150
powerline\lib\inotify.py,delattribute,152
powerline\lib\inotify.py,delattribute,153
powerline\lib\inotify.py,delattribute,154
powerline\lib\inotify.py,delattribute,155
powerline\lib\threaded.py,getattr,114
powerline\lib\threaded.py,getattr,154
powerline\lib\threaded.py,getattr,162
powerline\lib\__init__.py,getattr,10
powerline\lib\vcs\__init__.py,getattr,62
powerline\lib\vcs\__init__.py,getattr,76
powerline\lib\vcs\__init__.py,getattr,141
powerline\lib\vcs\__init__.py,getattr,155
powerline\lib\vcs\__init__.py,getattr,170
powerline\lib\vcs\__init__.py,getattr,199
powerline\lib\vcs\__init__.py,getattr,238
powerline\lib\watcher\inotify.py,getattr,62
powerline\lib\watcher\tree.py,delsubscript,69
powerline\lint\checks.py,getattr,66
powerline\lint\checks.py,hasattr,84
powerline\lint\checks.py,hasattr,84
powerline\lint\checks.py,delname,478,hl_group
powerline\lint\checks.py,delname,478,gradient
powerline\lint\checks.py,getattr,815
powerline\lint\checks.py,hasattr,817
powerline\lint\checks.py,hasattr,818
powerline\lint\checks.py,getattr,821
powerline\lint\checks.py,getattr,824
powerline\lint\checks.py,getattr,848
powerline\lint\context.py,delname,43,func
powerline\lint\imp.py,getattr,26
powerline\lint\inspect.py,hasattr,10
powerline\lint\inspect.py,hasattr,32
powerline\lint\inspect.py,hasattr,33
powerline\lint\selfcheck.py,hasattr,10
powerline\lint\spec.py,getattr,682
powerline\lint\__init__.py,hasattr,60
powerline\lint\markedjson\constructor.py,delsubscript,168
powerline\lint\markedjson\events.py,hasattr,14
powerline\lint\markedjson\events.py,getattr,17
powerline\lint\markedjson\reader.py,getattr,45
powerline\lint\markedjson\scanner.py,delsubscript,216
powerline\lint\markedjson\scanner.py,delsubscript,234
powerline\lint\markedjson\scanner.py,delsubscript,313
powerline\lint\markedjson\tokens.py,getattr,17
powerline\renderers\vim.py,hasattr,36
powerline\renderers\vim.py,hasattr,74
powerline\segments\common\bat.py,getattr,26
powerline\segments\common\env.py,delsubscript,81
powerline\segments\common\env.py,getattr,159
powerline\segments\common\net.py,getattr,198
powerline\segments\common\sys.py,hasattr,134
powerline\segments\vim\__init__.py,getattr,76
powerline\segments\vim\__init__.py,hasattr,567
tests\test_cmdline.py,getattr,132
tests\test_configuration.py,delsubscript,260
tests\test_configuration.py,delsubscript,275
tests\test_configuration.py,delsubscript,288
tests\test_configuration.py,delsubscript,305
tests\test_configuration.py,delsubscript,306
tests\test_configuration.py,delsubscript,325
tests\test_configuration.py,delsubscript,326
tests\test_configuration.py,delsubscript,340
tests\test_configuration.py,delsubscript,341
tests\test_configuration.py,delsubscript,359
tests\test_configuration.py,delsubscript,367
tests\test_configuration.py,delsubscript,373
tests\test_configuration.py,delsubscript,385
tests\test_configuration.py,delsubscript,386
tests\test_configuration.py,delsubscript,391
tests\test_configuration.py,delsubscript,392
tests\test_configuration.py,delsubscript,403
tests\test_configuration.py,delsubscript,404
tests\test_configuration.py,delsubscript,415
tests\test_configuration.py,delsubscript,416
tests\test_configuration.py,delsubscript,417
tests\test_lib.py,hasattr,505
tests\test_lib.py,hasattr,512
tests\test_segments.py,getattr,324
tests\test_segments.py,hasattr,501
tests\vim.py,delname,18,_defaultdict
tests\lib\terminal.py,delsubscript,62
tests\lib\vterm.py,getattr,134
tests\lib\__init__.py,getattr,106
tests\lib\__init__.py,delattr,117
