file,method,params,startlineno,endlineno
setup.py,compile_client,,24,35
setup.py,get_version,,61,68
client\powerline.py,eintr_retry_call,"func, *args, **kwargs",42,49
client\powerline.py,tobytes,s,62,66
docs\source\powerline_autodoc.py,formatvalue,val,15,19
docs\source\powerline_autodoc.py,can_document_member,"cls, member, membername, isattr, parent",24,27
docs\source\powerline_autodoc.py,format_args,self,29,31
docs\source\powerline_autodoc.py,__init__,"self, repr_contents",35,36
docs\source\powerline_autodoc.py,__repr__,self,38,39
docs\source\powerline_autodoc.py,can_document_member,"cls, member, membername, isattr, parent",43,48
docs\source\powerline_autodoc.py,import_object,"self, *args, **kwargs",50,58
docs\source\powerline_autodoc.py,setup,app,61,64
docs\source\powerline_automan.py,get_authors,,23,44
docs\source\powerline_automan.py,__init__,self,49,50
docs\source\powerline_automan.py,add_parser,"self, command, *args, **kwargs",52,54
docs\source\powerline_automan.py,parse_argument,"*args, **kwargs",60,79
docs\source\powerline_automan.py,__init__,self,89,91
docs\source\powerline_automan.py,add_argument,"self, *args, **kwargs",93,94
docs\source\powerline_automan.py,add_argument_group,"self, *args, **kwargs",96,98
docs\source\powerline_automan.py,__init__,"self, ret, condition, start=u'[', end=u']'",102,106
docs\source\powerline_automan.py,__enter__,"self, *args",108,110
docs\source\powerline_automan.py,__exit__,"self, *args",112,114
docs\source\powerline_automan.py,insert_separators,"ret, sep",117,120
docs\source\powerline_automan.py,format_usage_arguments,"arguments, base_length=None",123,201
docs\source\powerline_automan.py,parse_argparse_text,text,207,215
docs\source\powerline_automan.py,flatten_groups,arguments,218,224
docs\source\powerline_automan.py,format_arguments,arguments,227,262
docs\source\powerline_automan.py,format_subcommand_usage,"arguments, subcommands, progname, base_length",268,279
docs\source\powerline_automan.py,format_subcommands,subcommands,282,296
docs\source\powerline_automan.py,__init__,"self, description=None, help=None",300,304
docs\source\powerline_automan.py,add_argument,"self, *args, **kwargs",306,307
docs\source\powerline_automan.py,add_subparsers,self,309,311
docs\source\powerline_automan.py,add_mutually_exclusive_group,self,313,315
docs\source\powerline_automan.py,automan_usage,"self, prog",317,327
docs\source\powerline_automan.py,automan_description,self,329,334
docs\source\powerline_automan.py,run,self,343,386
docs\source\powerline_automan.py,setup,app,389,390
powerline\colorscheme.py,get_attrs_flag,attrs,15,24
powerline\colorscheme.py,pick_gradient_value,"grad_list, gradient_level",27,32
powerline\colorscheme.py,__init__,"self, colorscheme_config, colors_config",36,60
powerline\colorscheme.py,get_gradient,"self, gradient, gradient_level",62,66
powerline\colorscheme.py,get_group_props,"self, mode, trans, group, translate_colors=True",68,96
powerline\colorscheme.py,get_highlighting,"self, groups, mode, gradient_level=None",98,115
powerline\ipython.py,__init__,"self, prompt",11,12
powerline\ipython.py,__str__,self,14,15
powerline\ipython.py,__add__,"self, s",17,23
powerline\ipython.py,init,"self, **kwargs",27,31
powerline\ipython.py,get_config_paths,self,34,38
powerline\ipython.py,get_local_themes,"self, local_themes",40,41
powerline\ipython.py,load_main_config,self,43,47
powerline\ipython.py,load_theme_config,"self, name",49,53
powerline\ipython.py,do_setup,"self, wrefs",55,59
powerline\pdb.py,init,"self, **kwargs",16,20
powerline\pdb.py,do_setup,"self, pdb",23,25
powerline\pdb.py,load_main_config,self,27,32
powerline\pdb.py,load_theme_config,"self, name",34,41
powerline\pdb.py,get_config_paths,self,43,45
powerline\renderer.py,construct_returned_value,"rendered_highlighted, segments, width, output_raw, output_width",91,98
powerline\renderer.py,__init__,"self, theme_config, local_themes, theme_kwargs, pl, ambiwidth='1', **options",155,178
powerline\renderer.py,get_theme,"self, matcher_info",197,207
powerline\renderer.py,shutdown,self,209,214
powerline\renderer.py,get_segment_info,"self, segment_info, mode",216,238
powerline\renderer.py,render_above_lines,"self, **kwargs",240,251
powerline\renderer.py,render,"self, mode=None, width=None, side=None, line='0', output_raw=False, output_width=False, segment_info=None, matcher_info=None",253,298
powerline\renderer.py,compute_divider_widths,"self, theme",301,309
powerline\renderer.py,do_render,"self, mode, width, side, line, output_raw, output_width, segment_info, theme",313,385
powerline\renderer.py,_prepare_segments,"self, segments, calculate_contents_len",387,397
powerline\renderer.py,_render_length,"self, theme, segments, divider_widths",399,454
powerline\renderer.py,_render_segments,"self, theme, segments, render_highlighted=True",456,555
powerline\renderer.py,escape,"self, string",557,560
powerline\renderer.py,hlstyle,"fg=None, bg=None, attrs=None",562,569
powerline\renderer.py,hl,"self, contents, fg=None, bg=None, attrs=None",571,577
powerline\segment.py,list_segment_key_values,"segment, theme_configs, segment_data, key, function_name=None, name=None, module=None, default=None",7,41
powerline\segment.py,get_segment_key,"merge, *args, **kwargs",44,58
powerline\segment.py,get_function,"data, segment",61,70
powerline\segment.py,get_string,"data, segment",73,75
powerline\segment.py,get_attr_func,"contents_func, key, args, is_space_func=False",85,100
powerline\segment.py,expand_func,"pl, amount, segment",92,97
powerline\segment.py,process_segment_lister,"pl, segment_info, parsed_segments, side, mode, colorscheme, lister, subsegments, patcher_args",103,135
powerline\segment.py,set_segment_highlighting,"pl, colorscheme, segment, mode",138,164
powerline\segment.py,process_segment,"pl, side, segment_info, parsed_segments, segment, mode, colorscheme",167,222
powerline\segment.py,gen_segment_getter,"pl, ext, common_config, theme_configs, default_module, get_module_attr, top_theme",254,450
powerline\segment.py,get_key,"merge, segment, module, function_name, name, key, default=None",261,262
powerline\segment.py,get_selector,function_name,265,273
powerline\segment.py,get_segment_selector,"segment, selector_type",275,301
powerline\segment.py,gen_display_condition,segment,303,317
powerline\segment.py,get,"segment, side",319,447
powerline\shell.py,init,"self, args, **kwargs",9,11
powerline\shell.py,load_main_config,self,13,17
powerline\shell.py,load_theme_config,"self, name",19,23
powerline\shell.py,get_config_paths,self,25,26
powerline\shell.py,get_local_themes,"self, local_themes",28,34
powerline\shell.py,do_setup,"self, obj",37,38
powerline\theme.py,requires_segment_info,func,10,12
powerline\theme.py,requires_filesystem_watcher,func,15,17
powerline\theme.py,new_empty_segment_line,,20,23
powerline\theme.py,add_spaces_left,"pl, amount, segment",27,28
powerline\theme.py,add_spaces_right,"pl, amount, segment",31,32
powerline\theme.py,add_spaces_center,"pl, amount, segment",35,37
powerline\theme.py,__init__,"self, ext, theme_config, common_config, pl, get_module_attr, top_theme, colorscheme, main_theme_config=None, run_once=False, shutdown_event=None",48,104
powerline\theme.py,shutdown,self,106,113
powerline\theme.py,get_divider,"self, side=u'left', type=u'soft'",115,117
powerline\theme.py,get_spaces,self,119,120
powerline\theme.py,get_line_number,self,122,123
powerline\theme.py,get_segments,"self, side=None, line='0', segment_info=None, mode=None",125,181
powerline\vim.py,_override_from,"config, override_varname, key=None",21,32
powerline\vim.py,__init__,"self, varname",41,46
powerline\vim.py,emit,"self, record",48,52
powerline\vim.py,init,"self, pyeval=u'PowerlinePyeval', **kwargs",56,66
powerline\vim.py,create_window_statusline_constructor,self,69,71
powerline\vim.py,create_window_statusline_constructor,self,73,77
powerline\vim.py,add_local_theme,"self, key, config",94,134
powerline\vim.py,load_main_config,self,138,148
powerline\vim.py,load_theme_config,"self, name",150,154
powerline\vim.py,get_local_themes,"self, local_themes",157,172
powerline\vim.py,get_matcher,"self, match_name",176,181
powerline\vim.py,get_config_paths,self,183,187
powerline\vim.py,do_setup,"self, pyeval=None, pycmd=None, can_replace_pyeval=True, _local_themes=()",189,250
powerline\vim.py,reset_highlight,self,252,261
powerline\vim.py,new_win_idx,"self, window_id",263,279
powerline\vim.py,old_win_idx,"self, window_id",281,296
powerline\vim.py,statusline,"self, window_id",298,302
powerline\vim.py,tabline,self,304,305
powerline\vim.py,new_window,self,307,308
powerline\vim.py,do_pyeval,,310,318
powerline\vim.py,setup_components,"self, components",320,330
powerline\vim.py,set_pycmd,new_pycmd,336,338
powerline\vim.py,get_default_pycmd,,341,342
powerline\vim.py,setup,"*args, **kwargs",345,347
powerline\__init__.py,_config_loader_condition,path,23,26
powerline\__init__.py,_find_config_files,"search_paths, config_file, config_loader=None, loader_callback=None",29,42
powerline\__init__.py,__init__,"self, use_daemon_threads, logger, ext",65,70
powerline\__init__.py,_log,"self, attr, msg, *args, **kwargs",72,87
powerline\__init__.py,critical,"self, msg, *args, **kwargs",89,90
powerline\__init__.py,exception,"self, msg, *args, **kwargs",92,93
powerline\__init__.py,info,"self, msg, *args, **kwargs",95,96
powerline\__init__.py,error,"self, msg, *args, **kwargs",98,99
powerline\__init__.py,warn,"self, msg, *args, **kwargs",101,102
powerline\__init__.py,debug,"self, msg, *args, **kwargs",104,105
powerline\__init__.py,get_fallback_logger,stream=None,111,128
powerline\__init__.py,_generate_change_callback,"lock, key, dictionary",131,135
powerline\__init__.py,on_file_change,path,132,134
powerline\__init__.py,get_config_paths,,138,153
powerline\__init__.py,generate_config_finder,get_config_paths=get_config_paths,156,170
powerline\__init__.py,load_config,"cfg_path, find_config_files, config_loader, loader_callback=None",173,200
powerline\__init__.py,_set_log_handlers,"common_config, logger, get_module_attr, stream=None",203,259
powerline\__init__.py,create_logger,"common_config, use_daemon_threads=True, ext=u'__unknown__', import_paths=None, imported_modules=None, stream=None",262,298
powerline\__init__.py,finish_common_config,"encoding, common_config",301,338
powerline\__init__.py,reraise,exception,352,356
powerline\__init__.py,gen_module_attr_getter,"pl, import_paths, imported_modules",359,389
powerline\__init__.py,get_module_attr,"module, attr, prefix=u'powerline'",360,387
powerline\__init__.py,_get_log_keys,common_config,397,408
powerline\__init__.py,__init__,"self, *args, **kwargs",445,447
powerline\__init__.py,init,"self, ext, renderer_module=None, run_once=False, logger=None, use_daemon_threads=True, shutdown_event=None, config_loader=None",449,506
powerline\__init__.py,create_logger,self,514,531
powerline\__init__.py,create_renderer,"self, load_main=False, load_colors=False, load_colorscheme=False, load_theme=False",534,678
powerline\__init__.py,setup_components,"self, components",688,696
powerline\__init__.py,get_config_paths,,698,707
powerline\__init__.py,load_config,"self, cfg_path, cfg_type",709,725
powerline\__init__.py,_purge_configs,"self, cfg_type",728,731
powerline\__init__.py,load_main_config,self,733,738
powerline\__init__.py,_load_hierarhical_config,"self, cfg_type, levels, ignore_levels",740,779
powerline\__init__.py,load_colorscheme_config,"self, name",781,794
powerline\__init__.py,load_theme_config,"self, name",796,807
powerline\__init__.py,load_colors_config,self,809,814
powerline\__init__.py,get_local_themes,local_themes,816,830
powerline\__init__.py,update_renderer,self,832,852
powerline\__init__.py,render,"self, *args, **kwargs",854,870
powerline\__init__.py,render_above_lines,"self, *args, **kwargs",872,885
powerline\__init__.py,setup,"self, *args, **kwargs",887,896
powerline\__init__.py,do_setup,,898,905
powerline\__init__.py,reload,self,907,934
powerline\__init__.py,shutdown,"self, set_event=True",936,956
powerline\__init__.py,__enter__,self,958,959
powerline\__init__.py,__exit__,"self, *args",961,962
powerline\__init__.py,exception,"self, msg, *args, **kwargs",964,974
powerline\bindings\config.py,list_all_tmux_configs,,35,50
powerline\bindings\config.py,get_tmux_configs,version,55,62
powerline\bindings\config.py,source_tmux_files,"pl, args, tmux_version=None, source_tmux_file=source_tmux_file",65,86
powerline\bindings\config.py,__init__,"self, ext, config_path",90,93
powerline\bindings\config.py,__getattr__,"self, attr",95,96
powerline\bindings\config.py,init_tmux_environment,"pl, args, set_tmux_environment=set_tmux_environment",99,173
powerline\bindings\config.py,get_highlighting,group,109,110
powerline\bindings\config.py,tmux_setup,"pl, args",179,212
powerline\bindings\config.py,set_tmux_environment_nosource,"varname, value, remove=True",183,184
powerline\bindings\config.py,replace_cb,match,186,187
powerline\bindings\config.py,replace_env,s,189,190
powerline\bindings\config.py,source_tmux_file_nosource,fname,192,199
powerline\bindings\config.py,get_main_config,args,215,218
powerline\bindings\config.py,create_powerline_logger,args,221,225
powerline\bindings\config.py,check_command,cmd,228,230
powerline\bindings\config.py,deduce_command,,233,257
powerline\bindings\config.py,shell_command,"pl, args",261,266
powerline\bindings\config.py,uses,"pl, args",269,283
powerline\bindings\awesome\powerline-awesome.py,read_to_log,"pl, client",22,30
powerline\bindings\bar\powerline-bar.py,init,self,18,19
powerline\bindings\bar\powerline-bar.py,render,reschedule=False,34,42
powerline\bindings\bar\powerline-bar.py,update,evt,44,46
powerline\bindings\i3\powerline-i3.py,render,"event=None, data=None, sub=None",32,38
powerline\bindings\ipython\post_0_11.py,__init__,"self, ip, powerline",14,16
powerline\bindings\ipython\post_0_11.py,powerline,"self, line",18,23
powerline\bindings\ipython\post_0_11.py,__init__,"self, shell",27,28
powerline\bindings\ipython\post_0_11.py,prompt_count,self,30,32
powerline\bindings\ipython\post_0_11.py,__init__,"self, powerline, shell",36,39
powerline\bindings\ipython\post_0_11.py,render,"self, name, color=True, *args, **kwargs",41,56
powerline\bindings\ipython\post_0_11.py,__call__,self,62,67
powerline\bindings\ipython\post_0_11.py,init,"self, ip",71,76
powerline\bindings\ipython\post_0_11.py,do_setup,"self, ip, shutdown_hook",78,87
powerline\bindings\ipython\post_0_11.py,load_ipython_extension,ip,93,102
powerline\bindings\ipython\post_0_11.py,unload_ipython_extension,ip,105,106
powerline\bindings\ipython\pre_0_11.py,__init__,"self, cache",17,18
powerline\bindings\ipython\pre_0_11.py,prompt_count,self,20,22
powerline\bindings\ipython\pre_0_11.py,__init__,"self, powerline, powerline_last_in, old_prompt",26,33
powerline\bindings\ipython\pre_0_11.py,__str__,self,35,37
powerline\bindings\ipython\pre_0_11.py,set_p_str,self,39,47
powerline\bindings\ipython\pre_0_11.py,set_colors,,51,53
powerline\bindings\ipython\pre_0_11.py,__str__,self,61,65
powerline\bindings\ipython\pre_0_11.py,set_p_str,self,67,70
powerline\bindings\ipython\pre_0_11.py,auto_rewrite,self,72,77
powerline\bindings\ipython\pre_0_11.py,set_p_str,self,85,89
powerline\bindings\ipython\pre_0_11.py,init,"self, config_overrides=None, theme_overrides={}, config_paths=None",98,102
powerline\bindings\ipython\pre_0_11.py,ipython_magic,"self, ip, parameter_s=u''",104,108
powerline\bindings\ipython\pre_0_11.py,do_setup,"self, ip, shutdown_hook",110,121
powerline\bindings\ipython\pre_0_11.py,__call__,self,127,132
powerline\bindings\ipython\pre_0_11.py,setup,**kwargs,135,146
powerline\bindings\ipython\pre_0_11.py,late_startup_hook,,141,143
powerline\bindings\pdb\__init__.py,__new__,"cls, s, encoding=None",18,24
powerline\bindings\pdb\__init__.py,__len__,self,51,52
powerline\bindings\pdb\__init__.py,__getitem__,"self, *args",54,55
powerline\bindings\pdb\__init__.py,__getslice__,"self, *args",57,58
powerline\bindings\pdb\__init__.py,add,"encoding, *args",60,70
powerline\bindings\pdb\__init__.py,__add__,"self, other",72,73
powerline\bindings\pdb\__init__.py,__radd__,"self, other",75,76
powerline\bindings\pdb\__init__.py,__unicode__,self,78,79
powerline\bindings\pdb\__init__.py,__new__,"cls, s, encoding=None",82,93
powerline\bindings\pdb\__init__.py,__str__,self,95,96
powerline\bindings\pdb\__init__.py,__getitem__,"self, *args",98,99
powerline\bindings\pdb\__init__.py,__getslice__,"self, *args",101,102
powerline\bindings\pdb\__init__.py,add,"encoding, *args",104,111
powerline\bindings\pdb\__init__.py,__add__,"self, other",113,114
powerline\bindings\pdb\__init__.py,__radd__,"self, other",116,117
powerline\bindings\pdb\__init__.py,encode,"self, *args, **kwargs",119,120
powerline\bindings\pdb\__init__.py,use_powerline_prompt,cls,125,165
powerline\bindings\pdb\__init__.py,prompt,self,135,143
powerline\bindings\pdb\__init__.py,prompt,"self, _",145,147
powerline\bindings\pdb\__init__.py,prompt,self,149,151
powerline\bindings\pdb\__init__.py,main,,168,183
powerline\bindings\pdb\__init__.py,__init__,self,178,179
powerline\bindings\qtile\widget.py,do_setup,"self, obj",11,12
powerline\bindings\qtile\widget.py,__init__,"self, timeout='2', text=' ', width=CALCULATED, side=u'right', update_interval=None, **config",18,24
powerline\bindings\qtile\widget.py,update,self,26,31
powerline\bindings\qtile\widget.py,cmd_update,"self, text",33,34
powerline\bindings\qtile\widget.py,cmd_get,self,36,37
powerline\bindings\qtile\widget.py,timer_setup,self,39,42
powerline\bindings\qtile\widget.py,_configure,"self, qtile, bar",44,57
powerline\bindings\tmux\__init__.py,get_tmux_executable_name,,16,23
powerline\bindings\tmux\__init__.py,_run_tmux,"runner, args",26,27
powerline\bindings\tmux\__init__.py,run_tmux_command,*args,30,32
powerline\bindings\tmux\__init__.py,get_tmux_output,"pl, *args",35,37
powerline\bindings\tmux\__init__.py,set_tmux_environment,"varname, value, remove=True",40,58
powerline\bindings\tmux\__init__.py,source_tmux_file,fname,61,67
powerline\bindings\tmux\__init__.py,get_tmux_version,pl,75,82
powerline\bindings\vim\__init__.py,get_vim_encoding,,21,22
powerline\bindings\vim\__init__.py,get_vim_encoding,,24,25
powerline\bindings\vim\__init__.py,get_vim_encoding,,27,28
powerline\bindings\vim\__init__.py,get_vim_encoding,,30,31
powerline\bindings\vim\__init__.py,python_to_vim,o,64,65
powerline\bindings\vim\__init__.py,str_to_bytes,s,69,70
powerline\bindings\vim\__init__.py,unicode_eval,expr,72,74
powerline\bindings\vim\__init__.py,str_to_bytes,s,76,77
powerline\bindings\vim\__init__.py,unicode_eval,expr,79,80
powerline\bindings\vim\__init__.py,safe_bytes_eval,expr,83,90
powerline\bindings\vim\__init__.py,eval_bytes,expr,95,99
powerline\bindings\vim\__init__.py,eval_unicode,expr,102,106
powerline\bindings\vim\__init__.py,vim_get_func,"f, rettype=None",122,129
powerline\bindings\vim\__init__.py,__init__,"self, f, rettype=None",146,148
powerline\bindings\vim\__init__.py,__call__,"self, *args",150,153
powerline\bindings\vim\__init__.py,vim_get_autoload_func,"f, rettype=None",158,163
powerline\bindings\vim\__init__.py,vim_func_exists,f,167,173
powerline\bindings\vim\__init__.py,vim_func_exists,f,175,179
powerline\bindings\vim\__init__.py,vim_getvar,varname,205,206
powerline\bindings\vim\__init__.py,bufvar_exists,"buffer, varname",208,210
powerline\bindings\vim\__init__.py,vim_getwinvar,"segment_info, varname",212,213
powerline\bindings\vim\__init__.py,vim_global_exists,name,215,221
powerline\bindings\vim\__init__.py,vim_getvar,varname,228,233
powerline\bindings\vim\__init__.py,bufvar_exists,"buffer, varname",235,240
powerline\bindings\vim\__init__.py,vim_getwinvar,"segment_info, varname",243,248
powerline\bindings\vim\__init__.py,vim_global_exists,name,250,251
powerline\bindings\vim\__init__.py,vim_command_exists,name,254,255
powerline\bindings\vim\__init__.py,getbufvar,*args,263,264
powerline\bindings\vim\__init__.py,_vim_to_python,value,270,271
powerline\bindings\vim\__init__.py,vim_getbufoption,"info, option",275,276
powerline\bindings\vim\__init__.py,vim_getoption,option,278,279
powerline\bindings\vim\__init__.py,vim_setoption,"option, value",281,282
powerline\bindings\vim\__init__.py,vim_getbufoption,"info, option",284,285
powerline\bindings\vim\__init__.py,vim_getoption,option,287,288
powerline\bindings\vim\__init__.py,vim_setoption,"option, value",290,292
powerline\bindings\vim\__init__.py,list_tabpage_buffers_segment_info,segment_info,299,302
powerline\bindings\vim\__init__.py,__nonzero__,,306,308
powerline\bindings\vim\__init__.py,get_buffer,number,312,316
powerline\bindings\vim\__init__.py,__init__,"self, window",321,323
powerline\bindings\vim\__init__.py,__getitem__,"self, key",325,329
powerline\bindings\vim\__init__.py,get,"self, key, default=None",331,335
powerline\bindings\vim\__init__.py,__init__,"self, tabnr, number",340,343
powerline\bindings\vim\__init__.py,buffer,self,345,347
powerline\bindings\vim\__init__.py,__init__,"self, number",352,353
powerline\bindings\vim\__init__.py,__eq__,"self, tabpage",355,358
powerline\bindings\vim\__init__.py,window,self,360,362
powerline\bindings\vim\__init__.py,_last_tab_nr,,364,365
powerline\bindings\vim\__init__.py,current_tabpage,,367,368
powerline\bindings\vim\__init__.py,list_tabpages,,370,371
powerline\bindings\vim\__init__.py,__getitem__,"self, key",374,383
powerline\bindings\vim\__init__.py,list_tabpage_buffers_segment_info,segment_info,385,388
powerline\bindings\vim\__init__.py,__getitem__,key,393,395
powerline\bindings\vim\__init__.py,get,"key, default=None",397,399
powerline\bindings\vim\__init__.py,__setitem__,"key, value",401,409
powerline\bindings\vim\__init__.py,buffer_name,segment_info,415,416
powerline\bindings\vim\__init__.py,buffer_name,segment_info,420,426
powerline\bindings\vim\__init__.py,powerline_vim_strtrans_error,e,432,436
powerline\bindings\vim\__init__.py,register_buffer_cache,cachedict,446,459
powerline\bindings\vim\__init__.py,on_bwipe,,462,466
powerline\bindings\vim\__init__.py,create_ruby_dpowerline,,472,481
