commit,author,date,title,faultID,file
efd6f1d,Mateusz Kurek,2017-03-28 13:30:50,Bump django-sitetree to 1.7.0 (#2918),2918,src/ralph/settings/dev.py
efd6f1d,Mateusz Kurek,2017-03-28 13:30:50,Bump django-sitetree to 1.7.0 (#2918),2918,src/ralph/urls/base.py
4ac4cc5,Piotr Jarolewski,2017-02-02 15:46:03,Bugifx logger error in hermes subscribers (#2956),2956,src/ralph/assets/subscribers.py
4ac4cc5,Piotr Jarolewski,2017-02-02 15:46:03,Bugifx logger error in hermes subscribers (#2956),2956,src/ralph/assets/tests/test_subscribers.py
25a3eab,Piotr Jarolewski,2016-12-14 12:18:49,Change choices field CharField to TextField in CustomField model (#2897),2897,src/ralph/lib/custom_fields/migrations/0004_auto_20161214_1126.py
25a3eab,Piotr Jarolewski,2016-12-14 12:18:49,Change choices field CharField to TextField in CustomField model (#2897),2897,src/ralph/lib/custom_fields/models.py
46a44bb,Piotr Jarolewski,2016-12-13 12:58:45,Add get_domain recursion from DNSaaS (#2893),2893,src/ralph/dns/dnsaas.py
c039886,Piotr Jarolewski,2016-11-14 09:29:16,Add dhcp_expose field to IPAddress view (#2859),2859,src/ralph/networks/admin.py
4183eb9,Mateusz Kurek,2016-10-27 13:32:38,Fix CloudHost hostnames assignment (#2849),2849,src/ralph/virtual/management/commands/openstack_sync.py
4183eb9,Mateusz Kurek,2016-10-27 13:32:38,Fix CloudHost hostnames assignment (#2849),2849,src/ralph/virtual/models.py
4183eb9,Mateusz Kurek,2016-10-27 13:32:38,Fix CloudHost hostnames assignment (#2849),2849,src/ralph/virtual/tests/test_models.py
fd59b5d,Piotr Jarolewski,2016-10-19 14:13:56,Clean dhcp expose form bugfix (#2843),2843,src/ralph/networks/forms.py
fd59b5d,Piotr Jarolewski,2016-10-19 14:13:56,Clean dhcp expose form bugfix (#2843),2843,src/ralph/networks/tests/test_forms.py
cd5bc61,Mateusz Kurek,2016-10-03 11:30:19,Fix asset model importer (#2813),2813,src/ralph/data_importer/resources.py
2b932d8,Arkadiusz Adamski,2016-09-29 06:45:11,Check next free IP in DNSaaS (if integration is enabled) (#2824),2824,src/ralph/dns/dnsaas.py
2b932d8,Arkadiusz Adamski,2016-09-29 06:45:11,Check next free IP in DNSaaS (if integration is enabled) (#2824),2824,src/ralph/networks/models/networks.py
2b932d8,Arkadiusz Adamski,2016-09-29 06:45:11,Check next free IP in DNSaaS (if integration is enabled) (#2824),2824,src/ralph/networks/tests/test_models.py
076b84a,Piotr Jarolewski,2016-09-28 14:04:07,Bugfix with sending data to DNSSaaS (#2821),2821,src/ralph/dns/dnsaas.py
c6d591f,Mateusz Kurek,2016-09-17 10:57:15,Fix MySQL 5.5 column renaming (#2800),2800,src/ralph/assets/_migration_helpers.py
c6d591f,Mateusz Kurek,2016-09-17 10:57:15,Fix MySQL 5.5 column renaming (#2800),2800,src/ralph/security/tests/factories.py
c6d591f,Mateusz Kurek,2016-09-17 10:57:15,Fix MySQL 5.5 column renaming (#2800),2800,src/ralph/security/tests/test_api.py
879c1fa,Arkadiusz Adamski,2016-09-01 11:58:41,Change top bar color to $primary-color (#2771),2771
fd087ac,Mateusz Kurek,2016-09-01 11:37:51,Fixed grammar error: freezed -> frozen (#2768),2768,src/ralph/deployment/models.py
fd087ac,Mateusz Kurek,2016-09-01 11:37:51,Fixed grammar error: freezed -> frozen (#2768),2768,src/ralph/lib/external_services/migrations/0002_auto_20160804_1001.py
fd087ac,Mateusz Kurek,2016-09-01 11:37:51,Fixed grammar error: freezed -> frozen (#2768),2768,src/ralph/lib/external_services/migrations/0003_auto_20160804_1447.py
fd087ac,Mateusz Kurek,2016-09-01 11:37:51,Fixed grammar error: freezed -> frozen (#2768),2768,src/ralph/lib/external_services/models.py
fd087ac,Mateusz Kurek,2016-09-01 11:37:51,Fixed grammar error: freezed -> frozen (#2768),2768,src/ralph/lib/transitions/tests/test_async.py
18c2de4,Arkadiusz Adamski,2016-08-25 15:22:05,Change serializer for ModelChoiceField in REST API (#2767),2767,src/ralph/lib/transitions/api/views.py
fb8b942,Mateusz Kurek,2016-08-24 10:27:44,Run assign_new_hostname after clean_hostname (#2764),2764,src/ralph/deployment/deployment.py
854c890,Piotr Jarolewski,2016-08-24 10:27:37,DataCenter Asset change list bugfix (#2763),2763,src/ralph/data_center/models/physical.py
5cce583,Mateusz Kurek,2016-08-24 09:11:59,Bumped django-mptt version to 0.8.6 (#2760),2760
6873544,Mateusz Kurek,2016-08-24 09:11:15,Improved cloudhost-list api SQL queries count (#2761),2761,src/ralph/virtual/api.py
6873544,Mateusz Kurek,2016-08-24 09:11:15,Improved cloudhost-list api SQL queries count (#2761),2761,src/ralph/virtual/models.py
6873544,Mateusz Kurek,2016-08-24 09:11:15,Improved cloudhost-list api SQL queries count (#2761),2761,src/ralph/virtual/tests/test_api.py
ffc9460,Mateusz Kurek,2016-08-23 13:03:52,Fix commiting async job to worker (#2703),2703,src/ralph/lib/external_services/models.py
ffc9460,Mateusz Kurek,2016-08-23 13:03:52,Fix commiting async job to worker (#2703),2703,src/ralph/lib/external_services/tests.py
ffc9460,Mateusz Kurek,2016-08-23 13:03:52,Fix commiting async job to worker (#2703),2703,src/ralph/lib/transitions/api/views.py
ffc9460,Mateusz Kurek,2016-08-23 13:03:52,Fix commiting async job to worker (#2703),2703,src/ralph/lib/transitions/apps.py
ffc9460,Mateusz Kurek,2016-08-23 13:03:52,Fix commiting async job to worker (#2703),2703,src/ralph/lib/transitions/models.py
