file,method,params,startLineno,endLineno,affectedLineno,affectedOffsets,affectedVar,affectedTypes
src\ralph\accounts\admin.py,_simplify_permissions,"self, queryset",42,63,49,1646-1648,ct,"str,tuple"
src\ralph\accounts\admin.py,_simplify_permissions,"self, queryset",42,63,50,1708-1710,ct,"str,tuple"
src\ralph\accounts\admin.py,_simplify_permissions,"self, queryset",42,63,49,1639-1641,ct,"str,tuple"
src\ralph\accounts\admin.py,_simplify_permissions,"self, queryset",42,63,54,1823-1828,value,"str,tuple"
src\ralph\accounts\admin.py,_simplify_permissions,"self, queryset",42,63,55,1887-1892,value,"str,tuple"
src\ralph\accounts\management\commands\ldap_sync.py,_get_users,self,161,169,169,6016-6021,query,"str,tuple"
src\ralph\admin\templatetags\admin_change_list.py,admin_paginator_number,"cl, i",11,27,19,464-468,DOTS,"str,int"
src\ralph\data_center\models\networks.py,get_ip_usage_aggregated,self,394,440,424,13557-13567,range_type,"str,int"
src\ralph\reports\views.py,prepare,"self, model, *args, **kwargs",376,453,429,14175-14192,fill_empty_assets,"list,int"
src\ralph\reports\views.py,prepare,"self, model, *args, **kwargs",376,453,429,14195-14214,fill_empty_licences,"list,int"
src\ralph\reports\views.py,prepare,"self, model, *args, **kwargs",376,453,430,14241-14244,row,"list,list,int"
src\ralph\reports\views.py,prepare,"self, model, *args, **kwargs",376,453,444,14803-14822,fill_empty_licences,"list,int"
src\ralph\reports\views.py,prepare,"self, model, *args, **kwargs",376,453,452,15145-15162,fill_empty_assets,"list,int"
