commit,author,date,title,faultID,file
3df4c2e,Arkadiusz Adamski,2018-01-05 15:39:50,Fix ``Graph`` has no attribute ``model_class`` (#3207),3207,src/ralph/dashboards/renderers.py
65ff467,Arkadiusz Adamski,2018-01-05 09:36:42,Add new status for back office (#3205),3205,src/ralph/back_office/migrations/0007_auto_20180105_0910.py
65ff467,Arkadiusz Adamski,2018-01-05 09:36:42,Add new status for back office (#3205),3205,src/ralph/back_office/models.py
65ff467,Arkadiusz Adamski,2018-01-05 09:36:42,Add new status for back office (#3205),3205,src/ralph/data_importer/tests/test_demo_data.py
efc4b37,Arkadiusz Adamski,2018-01-05 08:42:27,Add missing kwargs argument to check_if_network_environment_exists (#3206),3206,src/ralph/deployment/deployment.py
afe1b5f,Arkadiusz Adamski,2018-01-04 14:29:21,"Add new columns (configuration path, service environment) to operation (#3204)",3204,src/ralph/admin/filters.py
afe1b5f,Arkadiusz Adamski,2018-01-04 14:29:21,"Add new columns (configuration path, service environment) to operation (#3204)",3204,src/ralph/operations/admin.py
afe1b5f,Arkadiusz Adamski,2018-01-04 14:29:21,"Add new columns (configuration path, service environment) to operation (#3204)",3204,src/ralph/operations/tests/factories.py
afe1b5f,Arkadiusz Adamski,2018-01-04 14:29:21,"Add new columns (configuration path, service environment) to operation (#3204)",3204,src/ralph/operations/tests/test_admin.py
4130ebd,Arkadiusz Adamski,2018-01-02 17:03:49,Refactor ``graph-query`` in dashboards (#3201),3201,src/ralph/dashboards/admin_filters.py
4130ebd,Arkadiusz Adamski,2018-01-02 17:03:49,Refactor ``graph-query`` in dashboards (#3201),3201,src/ralph/dashboards/helpers.py
4130ebd,Arkadiusz Adamski,2018-01-02 17:03:49,Refactor ``graph-query`` in dashboards (#3201),3201,src/ralph/dashboards/models.py
4130ebd,Arkadiusz Adamski,2018-01-02 17:03:49,Refactor ``graph-query`` in dashboards (#3201),3201,src/ralph/dashboards/renderers.py
4130ebd,Arkadiusz Adamski,2018-01-02 17:03:49,Refactor ``graph-query`` in dashboards (#3201),3201,src/ralph/dashboards/tests/test_models.py
4130ebd,Arkadiusz Adamski,2018-01-02 17:03:49,Refactor ``graph-query`` in dashboards (#3201),3201,src/ralph/dashboards/tests/test_parser.py
4130ebd,Arkadiusz Adamski,2018-01-02 17:03:49,Refactor ``graph-query`` in dashboards (#3201),3201,src/ralph/dashboards/tests/test_renderer.py
49c28ee,Mateusz Kurek,2017-12-22 12:51:40,Allow for additional filters in target in graphs (#3203),3203,src/ralph/dashboards/migrations/0006_auto_20171221_0959.py
49c28ee,Mateusz Kurek,2017-12-22 12:51:40,Allow for additional filters in target in graphs (#3203),3203,src/ralph/dashboards/models.py
49c28ee,Mateusz Kurek,2017-12-22 12:51:40,Allow for additional filters in target in graphs (#3203),3203,src/ralph/dashboards/tests/test_models.py
49c28ee,Mateusz Kurek,2017-12-22 12:51:40,Allow for additional filters in target in graphs (#3203),3203,src/ralph/dashboards/tests/test_parser.py
49c28ee,Mateusz Kurek,2017-12-22 12:51:40,Allow for additional filters in target in graphs (#3203),3203,src/ralph/data_center/tests/factories.py
5d686a7,Mateusz Kurek,2017-12-20 10:31:45,Fix transitions check during migration (#3200),3200,src/ralph/lib/transitions/checks.py
23288d6,Arkadiusz Adamski,2017-12-20 07:52:55,Add acceptance mechanism via transitions (#3199),3199,src/ralph/accounts/views.py
23288d6,Arkadiusz Adamski,2017-12-20 07:52:55,Add acceptance mechanism via transitions (#3199),3199,src/ralph/admin/sites.py
23288d6,Arkadiusz Adamski,2017-12-20 07:52:55,Add acceptance mechanism via transitions (#3199),3199,src/ralph/back_office/models.py
23288d6,Arkadiusz Adamski,2017-12-20 07:52:55,Add acceptance mechanism via transitions (#3199),3199,src/ralph/settings/base.py
b8fcae8,Arkadiusz Adamski,2017-12-19 15:09:58,Remove request argument from transitions' actions (#3197),3197,src/ralph/back_office/models.py
b8fcae8,Arkadiusz Adamski,2017-12-19 15:09:58,Remove request argument from transitions' actions (#3197),3197,src/ralph/back_office/tests/test_models.py
b8fcae8,Arkadiusz Adamski,2017-12-19 15:09:58,Remove request argument from transitions' actions (#3197),3197,src/ralph/data_center/models/physical.py
a093735,Arkadiusz Adamski,2017-12-19 09:57:48,Remove skip_test (#3198),3198,src/ralph/back_office/tests/test_models.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/back_office/models.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/back_office/tests/test_models.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/deployment/deployment.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/lib/external_services/models.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/lib/external_services/tests.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/lib/transitions/api/views.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/lib/transitions/async.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/lib/transitions/decorators.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/lib/transitions/migrations/0008_auto_20171211_1300.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/lib/transitions/models.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/lib/transitions/tests/test_async.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/lib/transitions/tests/test_models.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/lib/transitions/views.py
1e0ee1b,Arkadiusz Adamski,2017-12-18 15:17:20,Change passed arguments to transitions (#3193),3193,src/ralph/tests/models.py
da83add,Arkadiusz Adamski,2017-12-15 10:54:25,Change base image for travis (#3196),3196
90d41d5,Arkadiusz Adamski,2017-12-15 09:04:46,Add new precondition and action to back office asset (#3194),3194,src/ralph/back_office/models.py
90d41d5,Arkadiusz Adamski,2017-12-15 09:04:46,Add new precondition and action to back office asset (#3194),3194,src/ralph/back_office/tests/test_models.py
e827b3e,Charley Sheets,2017-11-30 17:57:54,Changed bulletted list markup to try to be more compatible with readthedocs (#3192),3192
315f8c7,Arkadiusz Adamski,2017-11-24 13:35:40,Custom template for transtions (#3188),3188,src/ralph/lib/transitions/apps.py
315f8c7,Arkadiusz Adamski,2017-11-24 13:35:40,Custom template for transtions (#3188),3188,src/ralph/lib/transitions/checks.py
315f8c7,Arkadiusz Adamski,2017-11-24 13:35:40,Custom template for transtions (#3188),3188,src/ralph/lib/transitions/forms.py
315f8c7,Arkadiusz Adamski,2017-11-24 13:35:40,Custom template for transtions (#3188),3188,src/ralph/lib/transitions/migrations/0007_transition_template_name.py
315f8c7,Arkadiusz Adamski,2017-11-24 13:35:40,Custom template for transtions (#3188),3188,src/ralph/lib/transitions/models.py
315f8c7,Arkadiusz Adamski,2017-11-24 13:35:40,Custom template for transtions (#3188),3188,src/ralph/lib/transitions/tests/test_admin.py
315f8c7,Arkadiusz Adamski,2017-11-24 13:35:40,Custom template for transtions (#3188),3188,src/ralph/lib/transitions/tests/test_checks.py
315f8c7,Arkadiusz Adamski,2017-11-24 13:35:40,Custom template for transtions (#3188),3188,src/ralph/lib/transitions/views.py
315f8c7,Arkadiusz Adamski,2017-11-24 13:35:40,Custom template for transtions (#3188),3188,src/ralph/settings/base.py
543383e,Mateusz Kurek,2017-11-10 11:35:01,Filter network in API by address (#3186),3186,src/ralph/networks/api.py
543383e,Mateusz Kurek,2017-11-10 11:35:01,Filter network in API by address (#3186),3186,src/ralph/networks/tests/test_api.py
8144c55,Arkadiusz Adamski,2017-10-24 08:18:19,Fix syntax error in generated settings file (#3184),3184
93e8ec9,Arkadiusz Adamski,2017-10-13 09:41:58,Add custom target model (#3180),3180,src/ralph/dashboards/admin_filters.py
93e8ec9,Arkadiusz Adamski,2017-10-13 09:41:58,Add custom target model (#3180),3180,src/ralph/dashboards/models.py
93e8ec9,Arkadiusz Adamski,2017-10-13 09:41:58,Add custom target model (#3180),3180,src/ralph/dashboards/renderers.py
f236b60,Arkadiusz Adamski,2017-10-09 10:51:57,Add table with related networks with DNS server group (#3179),3179,src/ralph/dhcp/admin.py
f236b60,Arkadiusz Adamski,2017-10-09 10:51:57,Add table with related networks with DNS server group (#3179),3179,src/ralph/lib/table/table.py
f236b60,Arkadiusz Adamski,2017-10-09 10:51:57,Add table with related networks with DNS server group (#3179),3179,src/ralph/networks/migrations/0014_auto_20171009_1030.py
f236b60,Arkadiusz Adamski,2017-10-09 10:51:57,Add table with related networks with DNS server group (#3179),3179,src/ralph/networks/models/networks.py
3e4ce49,Arkadiusz Adamski,2017-10-09 09:03:20,Add constraint to ``dns_servers_group`` on ``Network`` (#3178),3178,src/ralph/networks/migrations/0013_auto_20171006_0947.py
