commit,author,date,title,faultID,file
1e198f9,Cory Benfield,2016-11-16 18:32:59,Merge pull request #3697 from hussaintamboli/master,3696
248d3e9,Hussain,2016-11-16 22:48:45,Fixed issue #3696. Added a test for it as well.,3696,requests/models.py
248d3e9,Hussain,2016-11-16 22:48:45,Fixed issue #3696. Added a test for it as well.,3696,tests/test_requests.py
022e23c,Cory Benfield,2016-09-29 08:09:22,Merge pull request #3606 from bbamsch/httpbinTestFix,3597
5eabcb7,Cory Benfield,2016-09-28 08:56:38,Merge pull request #3598 from bbamsch/bytestringHostFix,3597
c121229,Cory Benfield,2016-09-17 08:18:59,Merge pull request #3580 from rbcarson/idna-thread-embedded-3578,3578
f5ff345,Ian Cordasco,2016-08-12 06:24:36,Merge pull request #3493 from nateprewitt/3490_drop_headers,3490
4f378b0,Cory Benfield,2016-03-06 18:07:59,Merge pull request #3032 from davidsoncasey/master,3028
f74a670,Casey Davidson,2016-03-05 20:37:56,"Verify that cookie can be properly accessed if domain is specified, and that error is raised otherwise. Refs #3028.",3028,tests/test_requests.py
b9517a5,Casey Davidson,2016-03-04 15:59:13,Assert that both cookies were added in test. Refs #3028.,3028,tests/test_requests.py
d8b36c1,Casey Davidson,2016-03-04 15:52:13,Override __contains__ method of RequestsCookieJar to catch CookieConflictError. Refs #3028,3028,requests/cookies.py
1185d65,Casey Davidson,2016-03-04 15:17:55,Add tests to specify when CookieConflicError should be raised. References #3028.,3028,tests/test_requests.py
fc512d8,Kenneth Reitz,2016-02-05 17:51:09,Don't use redirect_cache if allow_redirects=False,2997,requests/sessions.py
b32c3bc,Ian Cordasco,2015-12-16 09:20:26,Merge pull request #2931 from Lukasa/uploading_bytes,2844
fc8fa1a,Cory Benfield,2015-12-16 14:56:13,Fix regression from #2844 regarding binary bodies.,2844,requests/models.py
fc8fa1a,Cory Benfield,2015-12-16 14:56:13,Fix regression from #2844 regarding binary bodies.,2844,test_requests.py
1dff6c9,Cory Benfield,2015-10-23 13:24:36,Merge pull request #2845 from gagoman/fix-2844,2844
edc68a0,Alex Khomchenko,2015-10-23 15:22:36,fix issue #2844,2844,requests/models.py
edc68a0,Alex Khomchenko,2015-10-23 15:22:36,fix issue #2844,2844,test_requests.py
f6afa71,Cory Benfield,2015-10-05 15:27:53,Merge pull request #2763 from ravipra/json_supersedes,2756
610fbd0,Cory Benfield,2015-10-02 10:08:23,Merge pull request #2797 from sumitbinnani/DocumentationCorrection,2756
3703760,Ravi Prakash Putchala,2015-09-08 14:45:46,Fixed issue #2756,2756,requests/models.py
3703760,Ravi Prakash Putchala,2015-09-08 14:45:46,Fixed issue #2756,2756,test_requests.py
5ec7576,Susan Tan,2015-07-17 01:18:02,Catch and wrap ClosedPoolError,1572,requests/adapters.py
