file,pattern,lineno
test_requests.py,hasattr,642
test_requests.py,delsubscript,1236
test_requests.py,delsubscript,1283
test_requests.py,getattr,1676
test_requests.py,getattr,1676
requests\adapters.py,getattr,106
requests\adapters.py,getattr,218
requests\adapters.py,getattr,221
requests\adapters.py,hasattr,381
requests\auth.py,hasattr,80
requests\cookies.py,hasattr,123
requests\cookies.py,hasattr,302
requests\cookies.py,hasattr,371
requests\exceptions.py,hasattr,25
requests\hooks.py,hasattr,28
requests\models.py,hasattr,85
requests\models.py,hasattr,87
requests\models.py,hasattr,90
requests\models.py,hasattr,120
requests\models.py,hasattr,170
requests\models.py,hasattr,425
requests\models.py,hasattr,451
requests\models.py,hasattr,465
requests\models.py,hasattr,465
requests\models.py,getattr,593
requests\models.py,hasattr,658
requests\sessions.py,delsubscript,69
requests\sessions.py,delsubscript,163
requests\sessions.py,delsubscript,169
requests\sessions.py,delsubscript,219
requests\sessions.py,delsubscript,253
requests\sessions.py,getattr,663
requests\structures.py,delsubscript,57
requests\utils.py,hasattr,44
requests\utils.py,hasattr,54
requests\utils.py,hasattr,57
requests\utils.py,hasattr,60
requests\utils.py,hasattr,64
requests\utils.py,hasattr,85
requests\utils.py,getattr,144
requests\packages\urllib3\connection.py,getattr,155
requests\packages\urllib3\connection.py,getattr,223
requests\packages\urllib3\connectionpool.py,getattr,244
requests\packages\urllib3\connectionpool.py,hasattr,312
requests\packages\urllib3\connectionpool.py,getattr,359
requests\packages\urllib3\connectionpool.py,getattr,384
requests\packages\urllib3\connectionpool.py,getattr,552
requests\packages\urllib3\connectionpool.py,getattr,783
requests\packages\urllib3\response.py,getattr,26
requests\packages\urllib3\response.py,getattr,53
requests\packages\urllib3\response.py,hasattr,123
requests\packages\urllib3\response.py,getattr,367
requests\packages\urllib3\response.py,hasattr,394
requests\packages\urllib3\response.py,hasattr,396
requests\packages\urllib3\response.py,hasattr,404
requests\packages\urllib3\response.py,hasattr,411
requests\packages\urllib3\_collections.py,delsubscript,155
requests\packages\urllib3\_collections.py,hasattr,161
requests\packages\urllib3\_collections.py,delsubscript,199
requests\packages\urllib3\_collections.py,delsubscript,204
requests\packages\urllib3\_collections.py,hasattr,247
requests\packages\urllib3\__init__.py,delname,75,NullHandler
requests\packages\urllib3\contrib\appengine.py,delsubscript,165
requests\packages\urllib3\contrib\pyopenssl.py,hasattr,75
requests\packages\urllib3\contrib\pyopenssl.py,hasattr,75
requests\packages\urllib3\contrib\pyopenssl.py,hasattr,78
requests\packages\urllib3\contrib\pyopenssl.py,hasattr,78
requests\packages\urllib3\packages\ordered_dict.py,delsubscript,83
requests\packages\urllib3\packages\ordered_dict.py,delsubscript,110
requests\packages\urllib3\packages\ordered_dict.py,hasattr,164
requests\packages\urllib3\packages\ordered_dict.py,delsubscript,184
requests\packages\urllib3\packages\ordered_dict.py,delsubscript,208
requests\packages\urllib3\packages\six.py,delname,64,X
requests\packages\urllib3\packages\six.py,delattr,87
requests\packages\urllib3\packages\six.py,getattr,128
requests\packages\urllib3\packages\six.py,delname,184,attr
requests\packages\urllib3\packages\six.py,delattr,197
requests\packages\urllib3\packages\six.py,delsubscript,200
requests\packages\urllib3\packages\six.py,getattr,265
requests\packages\urllib3\packages\six.py,getattr,269
requests\packages\urllib3\packages\six.py,getattr,273
requests\packages\urllib3\packages\six.py,getattr,304
requests\packages\urllib3\packages\six.py,getattr,313
requests\packages\urllib3\packages\six.py,delname,314,builtins
requests\packages\urllib3\packages\six.py,delname,324,frame
requests\packages\urllib3\util\connection.py,getattr,23
requests\packages\urllib3\util\response.py,getattr,51
requests\packages\urllib3\util\response.py,getattr,52
requests\packages\urllib3\util\ssl_.py,getattr,37
requests\packages\urllib3\util\ssl_.py,getattr,177
requests\packages\urllib3\util\ssl_.py,getattr,179
requests\packages\urllib3\util\ssl_.py,getattr,193
requests\packages\urllib3\util\ssl_.py,getattr,195
requests\packages\urllib3\util\ssl_.py,getattr,253
requests\packages\urllib3\util\ssl_.py,getattr,257
