file,lineno,_lineno,kind,message
requests\packages\urllib3\util\connection.py,6,4,assignment," Incompatible types in assignment (expression has type ""bool"", variable has type ""Type[poll]"")"
requests\packages\urllib3\util\retry.py,204,8,assignment," Incompatible types in assignment (expression has type ""List[Any]"", variable has type ""Tuple[Any, Any, Any, Any]"")"
requests\packages\urllib3\connectionpool.py,158,4,assignment," Incompatible types in assignment (expression has type ""str"", base class ""ConnectionPool"" defined the type as ""None"")"
requests\adapters.py,229,12,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""None"")"
test_requests.py,654,8,assignment," Incompatible types in assignment (expression has type ""DummyAuth"", variable has type ""None"")"
test_requests.py,670,8,assignment," Incompatible types in assignment (expression has type ""Dict[str, str]"", variable has type ""CaseInsensitiveDict"")"
test_requests.py,812,8,assignment," Incompatible types in assignment (expression has type ""StringIO"", variable has type ""None"")"
test_requests.py,823,8,assignment," Incompatible types in assignment (expression has type ""bytes"", variable has type ""bool"")"
test_requests.py,824,8,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""None"")"
test_requests.py,831,8,assignment," Incompatible types in assignment (expression has type ""BytesIO"", variable has type ""None"")"
test_requests.py,832,8,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""None"")"
test_requests.py,946,8,assignment," Incompatible types in assignment (expression has type ""Dict[str, HTTPAdapter]"", variable has type ""OrderedDict"")"
test_requests.py,1006,8,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
test_requests.py,1609,12,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""None"")"
test_requests.py,1611,12,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""None"")"
