file,method,params,startLineno,endLineno,affectedLineno,affectedOffsets,affectedVar,affectedTypes
test_requests.py,test_basic_building,self,112,119,118,3125-3128,url,"module,str,tuple,tuple,PreparedRequest"
test_requests.py,test_basic_building,self,112,119,119,3159-3163,body,"str,PreparedRequest"
test_requests.py,test_nonhttp_schemes_dont_check_URLs,self,1020,1029,1029,37057-37060,url,"module,str,tuple,tuple,PreparedRequest"
test_requests.py,test_unicode_multipart_post_fieldnames,"self, httpbin",566,575,574,20506-20510,body,"str,PreparedRequest"
test_requests.py,test_unicode_multipart_post_fieldnames,"self, httpbin",566,575,575,20560-20564,body,"str,PreparedRequest"
test_requests.py,test_params_are_added_before_fragment,self,140,146,143,4190-4193,url,"module,str,tuple,tuple,PreparedRequest"
test_requests.py,test_params_are_added_before_fragment,self,140,146,146,4391-4394,url,"module,str,tuple,tuple,PreparedRequest"
test_requests.py,test_binary_put,self,160,163,163,5296-5300,body,"str,PreparedRequest"
test_requests.py,test_long_authinfo_in_url,self,964,971,971,34733-34736,url,"module,str,tuple,tuple,PreparedRequest"
test_requests.py,test_json_param_post_should_not_override_data_param,"self, httpbin",1108,1113,1113,40210-40214,body,"str,PreparedRequest"
test_requests.py,test_params_bytes_are_encoded,self,155,158,158,5049-5052,url,"module,str,tuple,tuple,PreparedRequest"
requests\adapters.py,__init__,"self, pool_connections=DEFAULT_POOLSIZE, pool_maxsize=DEFAULT_POOLSIZE, max_retries=DEFAULT_RETRIES, pool_block=DEFAULT_POOLBLOCK",87,103,93,3604-3615,max_retries,"Retry,int"
requests\adapters.py,cert_verify,"self, conn, url, verify, cert",164,204,200,7827-7837,basestring,"tuple,function"
requests\auth.py,build_digest_header,"self, method, url",88,172,164,5365-5369,base,"str,tuple"
requests\auth.py,build_digest_header,"self, method, url",88,172,166,5434-5438,base,"str,tuple"
requests\auth.py,build_digest_header,"self, method, url",88,172,168,5506-5510,base,"str,tuple"
requests\auth.py,build_digest_header,"self, method, url",88,172,170,5569-5573,base,"str,tuple,tuple"
requests\auth.py,build_digest_header,"self, method, url",88,172,130,4118-4120,A1,"str,tuple"
requests\auth.py,build_digest_header,"self, method, url",88,172,103,3220-3221,x,"str,tuple"
requests\auth.py,build_digest_header,"self, method, url",88,172,104,3254-3255,x,"str,tuple"
requests\auth.py,build_digest_header,"self, method, url",88,172,105,3308-3309,x,"str,tuple"
requests\auth.py,build_digest_header,"self, method, url",88,172,131,4147-4149,A2,"str,tuple"
requests\auth.py,build_digest_header,"self, method, url",88,172,114,3644-3645,d,"str,tuple"
requests\auth.py,build_digest_header,"self, method, url",88,172,153,4988-4996,noncebit,"str,tuple"
