file,method,params,startlineno,endlineno
test_requests.py,u,s,44,45
test_requests.py,u,s,47,48
test_requests.py,httpbin,httpbin,51,59
test_requests.py,inner,*suffix,56,57
test_requests.py,httpsbin_url,httpbin_secure,62,70
test_requests.py,inner,*suffix,67,68
test_requests.py,setUp,self,81,83
test_requests.py,tearDown,self,85,87
test_requests.py,test_entry_points,self,89,98
test_requests.py,test_invalid_url,self,100,110
test_requests.py,test_basic_building,self,112,119
test_requests.py,test_no_content_length,"self, httpbin",121,125
test_requests.py,test_override_content_length,"self, httpbin",127,133
test_requests.py,test_path_is_not_double_encoded,self,135,138
test_requests.py,test_params_are_added_before_fragment,self,140,146
test_requests.py,test_params_original_order_is_preserved_by_default,self,148,153
test_requests.py,test_params_bytes_are_encoded,self,155,158
test_requests.py,test_binary_put,self,160,163
test_requests.py,test_mixed_case_scheme_acceptable,"self, httpbin",165,174
test_requests.py,test_HTTP_200_OK_GET_ALTERNATIVE,"self, httpbin",176,183
test_requests.py,test_HTTP_302_ALLOW_REDIRECT_GET,"self, httpbin",185,189
test_requests.py,test_HTTP_200_OK_GET_WITH_PARAMS,"self, httpbin",195,201
test_requests.py,test_HTTP_200_OK_GET_WITH_MIXED_PARAMS,"self, httpbin",203,207
test_requests.py,test_set_cookie_on_301,"self, httpbin",209,213
test_requests.py,test_cookie_sent_on_redirect,"self, httpbin",215,219
test_requests.py,test_cookie_removed_on_expire,"self, httpbin",221,232
test_requests.py,test_cookie_quote_wrapped,"self, httpbin",234,237
test_requests.py,test_cookie_persists_via_api,"self, httpbin",239,243
test_requests.py,test_request_cookie_overrides_session_cookie,"self, httpbin",245,251
test_requests.py,test_request_cookies_not_persisted,"self, httpbin",253,257
test_requests.py,test_generic_cookiejar_works,"self, httpbin",259,268
test_requests.py,test_param_cookiejar_works,"self, httpbin",270,276
test_requests.py,test_requests_in_history_are_not_overridden,"self, httpbin",278,282
test_requests.py,test_history_is_always_a_list,"self, httpbin",284,292
test_requests.py,test_headers_on_session_with_None_are_not_sent,"self, httpbin",294,300
test_requests.py,test_user_agent_transfers,"self, httpbin",302,316
test_requests.py,test_HTTP_200_OK_HEAD,"self, httpbin",318,320
test_requests.py,test_HTTP_200_OK_PUT,"self, httpbin",322,324
test_requests.py,test_BASICAUTH_TUPLE_HTTP_200_OK_GET,"self, httpbin",326,339
test_requests.py,test_connection_error_invalid_domain,self,341,344
test_requests.py,test_connection_error_invalid_port,self,346,349
test_requests.py,test_LocationParseError,self,351,354
test_requests.py,test_basicauth_with_netrc,"self, httpbin",356,387
test_requests.py,get_netrc_auth_mock,url,364,365
test_requests.py,test_DIGEST_HTTP_200_OK_GET,"self, httpbin",389,403
test_requests.py,test_DIGEST_AUTH_RETURNS_COOKIE,"self, httpbin",405,412
test_requests.py,test_DIGEST_AUTH_SETS_SESSION_COOKIES,"self, httpbin",414,419
test_requests.py,test_DIGEST_STREAM,"self, httpbin",421,430
test_requests.py,test_DIGESTAUTH_WRONG_HTTP_401_GET,"self, httpbin",432,446
test_requests.py,test_DIGESTAUTH_QUOTES_QOP_VALUE,"self, httpbin",448,454
test_requests.py,test_POSTBIN_GET_POST_FILES,"self, httpbin",456,472
test_requests.py,test_POSTBIN_GET_POST_FILES_WITH_DATA,"self, httpbin",474,491
test_requests.py,test_conflicting_post_params,"self, httpbin",493,497
test_requests.py,test_request_ok_set,"self, httpbin",499,501
test_requests.py,test_status_raising,"self, httpbin",503,509
test_requests.py,test_decompress_gzip,"self, httpbin",511,513
test_requests.py,test_unicode_get,"self, httpbin",515,521
test_requests.py,test_unicode_header_name,"self, httpbin",523,527
test_requests.py,test_pyopenssl_redirect,"self, httpsbin_url, httpbin_ca_bundle",529,530
test_requests.py,test_urlencoded_get_query_multivalued_param,"self, httpbin",532,536
test_requests.py,test_different_encodings_dont_break_post,"self, httpbin",538,543
test_requests.py,test_unicode_multipart_post,"self, httpbin",545,564
test_requests.py,test_unicode_multipart_post_fieldnames,"self, httpbin",566,575
test_requests.py,test_unicode_method_name,"self, httpbin",577,581
test_requests.py,test_unicode_method_name_with_request_object,"self, httpbin",583,592
test_requests.py,test_custom_content_type,"self, httpbin",594,602
test_requests.py,test_hook_receives_request_arguments,"self, httpbin",604,609
test_requests.py,hook,"resp, **kwargs",605,607
test_requests.py,test_session_hooks_are_used_with_no_request_hooks,"self, httpbin",611,618
test_requests.py,test_session_hooks_are_overridden_by_request_hooks,"self, httpbin",620,628
test_requests.py,test_prepared_request_hook,"self, httpbin",630,642
test_requests.py,hook,"resp, **kwargs",631,633
test_requests.py,test_prepared_from_session,"self, httpbin",644,660
test_requests.py,__call__,"self, r",646,648
test_requests.py,test_prepare_request_with_bytestring_url,self,662,666
test_requests.py,test_links,self,668,690
test_requests.py,test_cookie_parameters,self,692,708
test_requests.py,test_cookie_as_dict_keeps_len,self,710,728
test_requests.py,test_cookie_as_dict_keeps_items,self,730,747
test_requests.py,test_cookie_as_dict_keys,self,749,763
test_requests.py,test_cookie_as_dict_values,self,765,779
test_requests.py,test_cookie_as_dict_items,self,781,795
test_requests.py,test_time_elapsed_blank,"self, httpbin",797,802
test_requests.py,test_response_is_iterable,self,804,814
test_requests.py,read_mock,"amt, decode_content=None",809,810
test_requests.py,test_response_decode_unicode,self,816,834
test_requests.py,test_request_and_response_are_pickleable,"self, httpbin",836,846
test_requests.py,test_get_auth_from_url,self,848,850
test_requests.py,test_get_auth_from_url_encoded_spaces,self,852,854
test_requests.py,test_get_auth_from_url_not_encoded_spaces,self,856,858
test_requests.py,test_get_auth_from_url_percent_chars,self,860,862
test_requests.py,test_get_auth_from_url_encoded_hashes,self,864,866
test_requests.py,test_cannot_send_unprepared_requests,"self, httpbin",868,871
test_requests.py,test_http_error,self,873,881
test_requests.py,test_session_pickling,"self, httpbin",883,891
test_requests.py,test_fixes_1329,"self, httpbin",893,904
test_requests.py,test_uppercase_scheme_redirect,"self, httpbin",906,911
test_requests.py,test_transport_adapter_ordering,self,913,949
test_requests.py,test_header_remove_is_case_insensitive,"self, httpbin",951,956
test_requests.py,test_params_are_merged_case_sensitive,"self, httpbin",958,962
test_requests.py,test_long_authinfo_in_url,self,964,971
test_requests.py,test_header_keys_are_native,"self, httpbin",973,981
test_requests.py,test_can_send_nonstring_objects_with_files,"self, httpbin",983,989
test_requests.py,test_can_send_bytes_bytearray_objects_with_files,"self, httpbin",991,1002
test_requests.py,test_can_send_file_object_with_non_string_filename,"self, httpbin",1004,1010
test_requests.py,test_autoset_header_values_are_native,"self, httpbin",1012,1018
test_requests.py,test_nonhttp_schemes_dont_check_URLs,self,1020,1029
test_requests.py,test_auth_is_stripped_on_redirect_off_host,"self, httpbin",1031,1038
test_requests.py,test_auth_is_retained_for_redirect_on_host,"self, httpbin",1040,1045
test_requests.py,test_manual_redirect_with_partial_body_read,"self, httpbin",1047,1064
test_requests.py,_patch_adapter_gzipped_redirect,"self, session, url",1066,1078
test_requests.py,build_response,"*args, **kwargs",1071,1076
test_requests.py,test_redirect_with_wrong_gzipped_header,"self, httpbin",1080,1084
test_requests.py,test_basic_auth_str_is_always_native,self,1086,1089
test_requests.py,test_requests_history_is_saved,"self, httpbin",1091,1097
test_requests.py,test_json_param_post_content_type_works,"self, httpbin",1099,1106
test_requests.py,test_json_param_post_should_not_override_data_param,"self, httpbin",1108,1113
test_requests.py,test_response_iter_lines,"self, httpbin",1115,1121
test_requests.py,test_unconsumed_session_response_closes_connection,"self, httpbin",1123,1130
test_requests.py,test_response_iter_lines_reentrant,"self, httpbin",1132,1139
test_requests.py,test_none,self,1144,1146
test_requests.py,test_html_charset,self,1148,1153
test_requests.py,test_html4_pragma,self,1155,1160
test_requests.py,test_xhtml_pragma,self,1162,1167
test_requests.py,test_xml,self,1169,1174
test_requests.py,test_precedence,self,1176,1183
test_requests.py,test_mapping_init,self,1188,1192
test_requests.py,test_iterable_init,self,1194,1198
test_requests.py,test_kwargs_init,self,1200,1204
test_requests.py,test_docstring_example,self,1206,1210
test_requests.py,test_len,self,1212,1215
test_requests.py,test_getitem,self,1217,1220
test_requests.py,test_fixes_649,self,1222,1231
test_requests.py,test_delitem,self,1233,1238
test_requests.py,test_contains,self,1240,1247
test_requests.py,test_get,self,1249,1256
test_requests.py,test_update,self,1258,1267
test_requests.py,test_update_retains_unchanged,self,1269,1272
test_requests.py,test_iter,self,1274,1277
test_requests.py,test_equality,self,1279,1286
test_requests.py,test_setdefault,self,1288,1291
test_requests.py,test_lower_items,self,1293,1300
test_requests.py,test_preserve_key_case,self,1302,1310
test_requests.py,test_preserve_last_key_case,self,1312,1322
test_requests.py,test_copy,self,1324,1332
test_requests.py,test_super_len_io_streams,self,1337,1357
test_requests.py,test_super_len_correctly_calculates_len_of_partially_read_file,self,1359,1364
test_requests.py,test_get_environ_proxies_ip_ranges,self,1366,1376
test_requests.py,test_get_environ_proxies,self,1378,1385
test_requests.py,test_select_proxies,self,1387,1394
test_requests.py,test_guess_filename_when_int,self,1396,1398
test_requests.py,test_guess_filename_when_filename_is_an_int,self,1400,1403
test_requests.py,test_guess_filename_with_file_like_obj,self,1405,1411
test_requests.py,test_guess_filename_with_unicode_name,self,1413,1420
test_requests.py,test_is_ipv4_address,self,1422,1426
test_requests.py,test_is_valid_cidr,self,1428,1431
test_requests.py,test_dotted_netmask,self,1433,1437
test_requests.py,test_address_in_network,self,1439,1442
test_requests.py,test_get_auth_from_url,self,1444,1456
test_requests.py,test_requote_uri_with_unquoted_percents,self,1458,1466
test_requests.py,test_requote_uri_properly_requotes,self,1468,1472
test_requests.py,test_expires_valid_str,self,1479,1485
test_requests.py,test_expires_invalid_int,self,1487,1493
test_requests.py,test_expires_invalid_str,self,1495,1501
test_requests.py,test_expires_none,self,1503,1509
test_requests.py,test_max_age_valid_int,self,1516,1522
test_requests.py,test_max_age_invalid_str,self,1524,1530
test_requests.py,test_stream_timeout,"self, httpbin",1534,1538
test_requests.py,test_invalid_timeout,"self, httpbin",1540,1547
test_requests.py,test_none_timeout,"self, httpbin",1549,1559
test_requests.py,test_read_timeout,"self, httpbin",1561,1566
test_requests.py,test_connect_timeout,self,1568,1574
test_requests.py,test_total_timeout_connect,self,1576,1581
test_requests.py,test_encoded_methods,"self, httpbin",1583,1586
test_requests.py,__init__,"self, order_of_redirects",1593,1598
test_requests.py,send,"self, *args, **kwargs",1600,1602
test_requests.py,build_response,self,1604,1616
test_requests.py,_build_raw,self,1618,1621
test_requests.py,test_requests_are_updated_each_time,"self, httpbin",1634,1645
test_requests.py,list_of_tuples,,1649,1654
test_requests.py,test_data_argument_accepts_tuples,list_of_tuples,1658,1671
test_requests.py,assert_copy,"p, p_copy",1674,1676
test_requests.py,test_prepared_request_empty_copy,,1679,1681
test_requests.py,test_prepared_request_no_cookies_copy,,1684,1692
test_requests.py,test_prepared_request_complete_copy,,1695,1704
test_requests.py,test_prepare_unicode_url,,1707,1713
test_requests.py,test_urllib3_retries,httpbin,1716,1724
test_requests.py,test_urllib3_pool_connection_closed,httpbin,1727,1734
test_requests.py,test_vendor_aliases,,1737,1742
requests\adapters.py,__init__,self,48,49
requests\adapters.py,send,self,51,52
requests\adapters.py,close,self,54,55
requests\adapters.py,__init__,"self, pool_connections=DEFAULT_POOLSIZE, pool_maxsize=DEFAULT_POOLSIZE, max_retries=DEFAULT_RETRIES, pool_block=DEFAULT_POOLBLOCK",87,103
requests\adapters.py,__getstate__,self,105,107
