file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
requests\adapters.py,cert_verify,164,204,c86b09b,Arthur Vigil,2017-11-05 10:50:35,support extraction of certificate bundle from a zip archive,4371,"c86b09b3c67a437f8851d3be9232b0a1c8585e20, 00c6ad58b765032276f479a6336ad3a2c0ff025a, af66521381d9e6806ca80b7e297b704e6a4966c9, 4207867aaf917ed8d223064cc5c163dfe027dc00, 42ec8b08f2446d0d69cb0c71816f6105dddc814d, 7d8b87c37f3a5fb993fd83eda6888ac217cd108e, 0352ec0bd3aabb131b0cbb649f2062d59fc8f4a1, 5e94f38001fdaccda924aab9e5f0ffc064492129, c73f65335268da9b7ee9a793d8923ab8ce710457, f1ba27faa2b9b1a26e6c935c18acd6fcd9e7e164, 1e64fbcb559d3ca51790ec1e04385c5bfb625dc9, 5ce4b69c9f96dd0fc142e7d058c55eaae49c5afd",200,reference,basestring,"tuple,function"
requests\adapters.py,cert_verify,164,204,00c6ad5,Jonas Laursen,2017-05-17 11:27:15,Simplify fix for #4025,4025,"c86b09b3c67a437f8851d3be9232b0a1c8585e20, 00c6ad58b765032276f479a6336ad3a2c0ff025a, af66521381d9e6806ca80b7e297b704e6a4966c9, 4207867aaf917ed8d223064cc5c163dfe027dc00, 42ec8b08f2446d0d69cb0c71816f6105dddc814d, 7d8b87c37f3a5fb993fd83eda6888ac217cd108e, 0352ec0bd3aabb131b0cbb649f2062d59fc8f4a1, 5e94f38001fdaccda924aab9e5f0ffc064492129, c73f65335268da9b7ee9a793d8923ab8ce710457, f1ba27faa2b9b1a26e6c935c18acd6fcd9e7e164, 1e64fbcb559d3ca51790ec1e04385c5bfb625dc9, 5ce4b69c9f96dd0fc142e7d058c55eaae49c5afd",200,reference,basestring,"tuple,function"
requests\adapters.py,cert_verify,164,204,af66521,Jonas Laursen,2017-05-17 07:29:21,Fix #4025,4025,"c86b09b3c67a437f8851d3be9232b0a1c8585e20, 00c6ad58b765032276f479a6336ad3a2c0ff025a, af66521381d9e6806ca80b7e297b704e6a4966c9, 4207867aaf917ed8d223064cc5c163dfe027dc00, 42ec8b08f2446d0d69cb0c71816f6105dddc814d, 7d8b87c37f3a5fb993fd83eda6888ac217cd108e, 0352ec0bd3aabb131b0cbb649f2062d59fc8f4a1, 5e94f38001fdaccda924aab9e5f0ffc064492129, c73f65335268da9b7ee9a793d8923ab8ce710457, f1ba27faa2b9b1a26e6c935c18acd6fcd9e7e164, 1e64fbcb559d3ca51790ec1e04385c5bfb625dc9, 5ce4b69c9f96dd0fc142e7d058c55eaae49c5afd",200,reference,basestring,"tuple,function"
requests\adapters.py,cert_verify,164,204,42ec8b0,Bastien Gérard,2017-03-19 23:04:41,#3927 fixes based on review,3927,"c86b09b3c67a437f8851d3be9232b0a1c8585e20, 00c6ad58b765032276f479a6336ad3a2c0ff025a, af66521381d9e6806ca80b7e297b704e6a4966c9, 4207867aaf917ed8d223064cc5c163dfe027dc00, 42ec8b08f2446d0d69cb0c71816f6105dddc814d, 7d8b87c37f3a5fb993fd83eda6888ac217cd108e, 0352ec0bd3aabb131b0cbb649f2062d59fc8f4a1, 5e94f38001fdaccda924aab9e5f0ffc064492129, c73f65335268da9b7ee9a793d8923ab8ce710457, f1ba27faa2b9b1a26e6c935c18acd6fcd9e7e164, 1e64fbcb559d3ca51790ec1e04385c5bfb625dc9, 5ce4b69c9f96dd0fc142e7d058c55eaae49c5afd",200,reference,basestring,"tuple,function"
requests\adapters.py,cert_verify,164,204,7d8b87c,Bastien Gérard,2017-03-17 22:59:47,#3926 raise IOError when providing an invalid path to a CA bundle or certificate files,3926,"c86b09b3c67a437f8851d3be9232b0a1c8585e20, 00c6ad58b765032276f479a6336ad3a2c0ff025a, af66521381d9e6806ca80b7e297b704e6a4966c9, 4207867aaf917ed8d223064cc5c163dfe027dc00, 42ec8b08f2446d0d69cb0c71816f6105dddc814d, 7d8b87c37f3a5fb993fd83eda6888ac217cd108e, 0352ec0bd3aabb131b0cbb649f2062d59fc8f4a1, 5e94f38001fdaccda924aab9e5f0ffc064492129, c73f65335268da9b7ee9a793d8923ab8ce710457, f1ba27faa2b9b1a26e6c935c18acd6fcd9e7e164, 1e64fbcb559d3ca51790ec1e04385c5bfb625dc9, 5ce4b69c9f96dd0fc142e7d058c55eaae49c5afd",200,reference,basestring,"tuple,function"
requests\auth.py,build_digest_header,88,172,abe02ed,Mark Shannon,2016-04-29 16:49:24,"Initialize hash_utf8 to None, preventing NameError. Fixes #3138.",3138,"542fbbc67fd07819551012295ff5468eb2714f62, abe02ed89fa7f575877a882cb5ba337290eb27d1, 5a69137ac871c38f4597b574e93de07d9ff9655f, e8d9bc55bc9fae82e3ba934d3f7a93e94a72d094, fb1971778f0a199e65193af4bbd0a040fd3808f8, 373166d833aa5e89d38859f11be59ad3aaba5a1d, 3501ea463432400c77479dddedab3b7af967b618, 6931bd67153f92246c2fdd69d2c0ec29c13bb885, 22e31b4b737c2a3b61b3ab4fccd534b2eee65a87, a6360ca134623a9faecfe64b51e86f42bffb4dd9",164,reference,base,"str,tuple"
requests\auth.py,build_digest_header,88,172,abe02ed,Mark Shannon,2016-04-29 16:49:24,"Initialize hash_utf8 to None, preventing NameError. Fixes #3138.",3138,"542fbbc67fd07819551012295ff5468eb2714f62, abe02ed89fa7f575877a882cb5ba337290eb27d1, 5a69137ac871c38f4597b574e93de07d9ff9655f, e8d9bc55bc9fae82e3ba934d3f7a93e94a72d094, fb1971778f0a199e65193af4bbd0a040fd3808f8, 373166d833aa5e89d38859f11be59ad3aaba5a1d, 3501ea463432400c77479dddedab3b7af967b618, 6931bd67153f92246c2fdd69d2c0ec29c13bb885, 22e31b4b737c2a3b61b3ab4fccd534b2eee65a87, a6360ca134623a9faecfe64b51e86f42bffb4dd9",166,reference,base,"str,tuple"
requests\auth.py,build_digest_header,88,172,abe02ed,Mark Shannon,2016-04-29 16:49:24,"Initialize hash_utf8 to None, preventing NameError. Fixes #3138.",3138,"542fbbc67fd07819551012295ff5468eb2714f62, abe02ed89fa7f575877a882cb5ba337290eb27d1, 5a69137ac871c38f4597b574e93de07d9ff9655f, e8d9bc55bc9fae82e3ba934d3f7a93e94a72d094, fb1971778f0a199e65193af4bbd0a040fd3808f8, 373166d833aa5e89d38859f11be59ad3aaba5a1d, 3501ea463432400c77479dddedab3b7af967b618, 6931bd67153f92246c2fdd69d2c0ec29c13bb885, 22e31b4b737c2a3b61b3ab4fccd534b2eee65a87, a6360ca134623a9faecfe64b51e86f42bffb4dd9",168,reference,base,"str,tuple"
requests\auth.py,build_digest_header,88,172,abe02ed,Mark Shannon,2016-04-29 16:49:24,"Initialize hash_utf8 to None, preventing NameError. Fixes #3138.",3138,"542fbbc67fd07819551012295ff5468eb2714f62, abe02ed89fa7f575877a882cb5ba337290eb27d1, 5a69137ac871c38f4597b574e93de07d9ff9655f, e8d9bc55bc9fae82e3ba934d3f7a93e94a72d094, fb1971778f0a199e65193af4bbd0a040fd3808f8, 373166d833aa5e89d38859f11be59ad3aaba5a1d, 3501ea463432400c77479dddedab3b7af967b618, 6931bd67153f92246c2fdd69d2c0ec29c13bb885, 22e31b4b737c2a3b61b3ab4fccd534b2eee65a87, a6360ca134623a9faecfe64b51e86f42bffb4dd9",170,reference,base,"str,tuple,tuple"
requests\auth.py,build_digest_header,88,172,abe02ed,Mark Shannon,2016-04-29 16:49:24,"Initialize hash_utf8 to None, preventing NameError. Fixes #3138.",3138,"542fbbc67fd07819551012295ff5468eb2714f62, abe02ed89fa7f575877a882cb5ba337290eb27d1, 5a69137ac871c38f4597b574e93de07d9ff9655f, e8d9bc55bc9fae82e3ba934d3f7a93e94a72d094, fb1971778f0a199e65193af4bbd0a040fd3808f8, 373166d833aa5e89d38859f11be59ad3aaba5a1d, 3501ea463432400c77479dddedab3b7af967b618, 6931bd67153f92246c2fdd69d2c0ec29c13bb885, 22e31b4b737c2a3b61b3ab4fccd534b2eee65a87, a6360ca134623a9faecfe64b51e86f42bffb4dd9",130,reference,A1,"str,tuple"
