commit,author,date,title,faultID,file
57bcd07,Matthias Feurer,2017-11-29 12:10:28,DOC add docs about sgd and warmstarting (#10011) (#10087),10011,sklearn/linear_model/passive_aggressive.py
57bcd07,Matthias Feurer,2017-11-29 12:10:28,DOC add docs about sgd and warmstarting (#10011) (#10087),10011,sklearn/linear_model/stochastic_gradient.py
c6005e1,Jörg Döpfert,2017-11-10 20:40:47,[MRG + 1] Fix BayesianRidge() and ARDRegression() for constant target vectors  (#10095),10092,sklearn/linear_model/bayes.py
c6005e1,Jörg Döpfert,2017-11-10 20:40:47,[MRG + 1] Fix BayesianRidge() and ARDRegression() for constant target vectors  (#10095),10092,sklearn/linear_model/tests/test_bayes.py
102620f,Joel Nothman,2017-10-26 00:23:41,[MRG] FIX bug in nested set_params usage (#9999),9999,sklearn/base.py
102620f,Joel Nothman,2017-10-26 00:23:41,[MRG] FIX bug in nested set_params usage (#9999),9999,sklearn/tests/test_base.py
ebc8730,Reiichiro Nakano,2017-10-20 06:05:43,[MRG+1] Fix cross_val_predict behavior for binary classification in decision_function (Fixes #9589) (#9593),9589,sklearn/model_selection/_validation.py
ebc8730,Reiichiro Nakano,2017-10-20 06:05:43,[MRG+1] Fix cross_val_predict behavior for binary classification in decision_function (Fixes #9589) (#9593),9589,sklearn/model_selection/tests/test_validation.py
ceaa09b,goncalo-rodrigues,2017-10-09 14:54:57,FIX Error in manifold.t_sne._kl_divergence for n_components > 2 (#9712),9712,sklearn/manifold/t_sne.py
3a48f0a,nielsenmarkus11,2017-10-06 09:00:39,[MRG+1] Raise error when SparseSeries is passed into classification metrics (#7373),7373,sklearn/metrics/ranking.py
3a48f0a,nielsenmarkus11,2017-10-06 09:00:39,[MRG+1] Raise error when SparseSeries is passed into classification metrics (#7373),7373,sklearn/metrics/tests/test_ranking.py
3a48f0a,nielsenmarkus11,2017-10-06 09:00:39,[MRG+1] Raise error when SparseSeries is passed into classification metrics (#7373),7373,sklearn/utils/multiclass.py
3a48f0a,nielsenmarkus11,2017-10-06 09:00:39,[MRG+1] Raise error when SparseSeries is passed into classification metrics (#7373),7373,sklearn/utils/tests/test_multiclass.py
1701fcf,oliblum90,2017-10-02 23:39:25,[MRG + 1] enable metric = 'cosine' for tsne computation (#9623),9623,sklearn/manifold/t_sne.py
1701fcf,oliblum90,2017-10-02 23:39:25,[MRG + 1] enable metric = 'cosine' for tsne computation (#9623),9623,sklearn/manifold/tests/test_t_sne.py
4c61e8b,Sam Steingold,2017-09-11 16:06:01,[MRG+1] avoid integer overflow by using floats for matthews_corrcoef (#9693),9622,sklearn/metrics/classification.py
4c61e8b,Sam Steingold,2017-09-11 16:06:01,[MRG+1] avoid integer overflow by using floats for matthews_corrcoef (#9693),9622,sklearn/metrics/tests/test_classification.py
