file,pattern,lineno
benchmarks\bench_multilabel_metrics.py,getattr,162
benchmarks\bench_multilabel_metrics.py,getattr,187
benchmarks\bench_plot_randomized_svd.py,delname,148,X1
benchmarks\bench_plot_randomized_svd.py,delname,155,X1
benchmarks\bench_plot_randomized_svd.py,delname,156,X2
benchmarks\bench_plot_randomized_svd.py,delname,173,data
benchmarks\bench_plot_randomized_svd.py,delname,174,row
benchmarks\bench_plot_randomized_svd.py,delname,175,col
doc\sphinxext\gen_rst.py,hasattr,194
doc\sphinxext\gen_rst.py,hasattr,289
doc\sphinxext\gen_rst.py,hasattr,304
doc\sphinxext\gen_rst.py,hasattr,309
doc\sphinxext\gen_rst.py,getattr,897
doc\sphinxext\numpy_ext\docscrape.py,delsubscript,223
doc\sphinxext\numpy_ext\docscrape.py,getattr,447
doc\sphinxext\numpy_ext\docscrape.py,getattr,449
doc\sphinxext\numpy_ext\docscrape_sphinx.py,hasattr,57
doc\sphinxext\numpy_ext\docscrape_sphinx.py,hasattr,59
doc\sphinxext\numpy_ext\docscrape_sphinx.py,getattr,72
doc\sphinxext\numpy_ext\docscrape_sphinx.py,hasattr,81
doc\sphinxext\numpy_ext\numpydoc.py,hasattr,49
doc\sphinxext\numpy_ext\numpydoc.py,hasattr,51
doc\sphinxext\numpy_ext\numpydoc.py,hasattr,88
doc\sphinxext\numpy_ext\numpydoc.py,hasattr,92
doc\sphinxext\numpy_ext\numpydoc.py,hasattr,94
doc\tutorial\machine_learning_map\pyparsing.py,delsubscript,289
doc\tutorial\machine_learning_map\pyparsing.py,delsubscript,306
doc\tutorial\machine_learning_map\pyparsing.py,delsubscript,324
doc\tutorial\machine_learning_map\pyparsing.py,delname,381,other
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,657
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,687
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,704
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,715
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,722
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,2194
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,2249
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,2307
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,2387
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,2515
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,2549
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,2584
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,2625
doc\tutorial\machine_learning_map\pyparsing.py,hasattr,2728
doc\tutorial\machine_learning_map\pyparsing.py,delsubscript,2793
doc\tutorial\machine_learning_map\pyparsing.py,delsubscript,2832
doc\tutorial\machine_learning_map\pyparsing.py,delsubscript,3019
doc\tutorial\machine_learning_map\pyparsing.py,delsubscript,3022
doc\tutorial\machine_learning_map\pyparsing.py,delsubscript,3131
doc\tutorial\machine_learning_map\pyparsing.py,delname,3149,fstack
doc\tutorial\text_analytics\data\languages\fetch_data.py,hasattr,65
examples\plot_johnson_lindenstrauss_bound.py,hasattr,168
examples\applications\plot_out_of_core_classification.py,getattr,73
examples\applications\plot_out_of_core_classification.py,getattr,77
examples\applications\svm_gui.py,hasattr,103
examples\applications\wikipedia_principal_eigenvector.py,delname,165,links
examples\calibration\plot_calibration_curve.py,hasattr,94
examples\calibration\plot_compare_calibration.py,hasattr,97
examples\classification\plot_classifier_comparison.py,hasattr,115
examples\cluster\plot_cluster_comparison.py,hasattr,99
examples\cluster\plot_cluster_comparison.py,hasattr,110
examples\decomposition\plot_faces_decomposition.py,hasattr,121
examples\decomposition\plot_faces_decomposition.py,hasattr,125
examples\ensemble\plot_forest_iris.py,hasattr,100
examples\manifold\plot_lle_digits.py,hasattr,55
examples\neural_networks\plot_mlp_alpha.py,hasattr,88
examples\text\document_classification_20newsgroups.py,hasattr,215
examples\text\mlcomp_sparse_document_classification.py,hasattr,105
sklearn\base.py,hasattr,47
sklearn\base.py,getattr,184
sklearn\base.py,getattr,229
sklearn\base.py,hasattr,237
sklearn\base.py,getattr,478
sklearn\base.py,getattr,483
sklearn\calibration.py,hasattr,132
sklearn\calibration.py,hasattr,275
sklearn\calibration.py,hasattr,279
sklearn\cross_validation.py,hasattr,1577
sklearn\cross_validation.py,hasattr,1583
sklearn\cross_validation.py,getattr,1584
sklearn\cross_validation.py,getattr,1589
sklearn\dummy.py,hasattr,171
sklearn\dummy.py,hasattr,252
sklearn\dummy.py,hasattr,468
sklearn\grid_search.py,hasattr,229
sklearn\grid_search.py,hasattr,253
sklearn\grid_search.py,hasattr,325
sklearn\grid_search.py,hasattr,420
sklearn\learning_curve.py,hasattr,122
sklearn\multiclass.py,hasattr,79
sklearn\multiclass.py,hasattr,99
sklearn\multiclass.py,hasattr,100
sklearn\multiclass.py,hasattr,273
sklearn\multiclass.py,hasattr,352
sklearn\multiclass.py,hasattr,370
sklearn\multiclass.py,hasattr,381
sklearn\multiclass.py,hasattr,714
sklearn\pipeline.py,hasattr,100
sklearn\pipeline.py,hasattr,100
sklearn\pipeline.py,hasattr,101
sklearn\pipeline.py,hasattr,106
sklearn\pipeline.py,hasattr,144
sklearn\pipeline.py,hasattr,184
sklearn\pipeline.py,getattr,344
sklearn\pipeline.py,delsubscript,357
sklearn\pipeline.py,hasattr,406
sklearn\pipeline.py,hasattr,412
sklearn\pipeline.py,hasattr,458
sklearn\cluster\affinity_propagation_.py,hasattr,320
sklearn\cluster\birch.py,getattr,438
sklearn\cluster\birch.py,getattr,439
sklearn\cluster\birch.py,getattr,440
sklearn\cluster\birch.py,delattribute,464
sklearn\cluster\birch.py,hasattr,514
sklearn\cluster\birch.py,hasattr,517
sklearn\cluster\birch.py,hasattr,588
sklearn\cluster\hierarchical.py,delname,427,diag_mask
sklearn\cluster\hierarchical.py,delname,463,connectivity
sklearn\cluster\k_means_.py,hasattr,294
sklearn\cluster\k_means_.py,hasattr,300
sklearn\cluster\k_means_.py,hasattr,644
sklearn\cluster\k_means_.py,hasattr,1242
sklearn\cluster\k_means_.py,hasattr,1399
sklearn\cluster\k_means_.py,getattr,1406
sklearn\cluster\k_means_.py,hasattr,1408
sklearn\cluster\k_means_.py,hasattr,1409
sklearn\cluster\tests\test_mean_shift.py,hasattr,79
sklearn\cluster\tests\test_mean_shift.py,hasattr,80
sklearn\datasets\mldata.py,delsubscript,195
sklearn\datasets\mldata.py,delsubscript,198
sklearn\datasets\mldata.py,delsubscript,202
sklearn\datasets\mldata.py,delsubscript,205
sklearn\datasets\olivetti_faces.py,delname,121,mfile
sklearn\datasets\samples_generator.py,hasattr,1603
sklearn\datasets\svmlight_format.py,hasattr,154
sklearn\datasets\svmlight_format.py,hasattr,279
sklearn\datasets\svmlight_format.py,hasattr,401
sklearn\datasets\svmlight_format.py,hasattr,405
sklearn\datasets\svmlight_format.py,hasattr,416
sklearn\decomposition\dict_learning.py,hasattr,1266
sklearn\decomposition\dict_learning.py,hasattr,1269
sklearn\decomposition\dict_learning.py,getattr,1273
sklearn\decomposition\dict_learning.py,getattr,1275
sklearn\decomposition\factor_analysis.py,delname,207,V
sklearn\decomposition\fastica_.py,delname,103,w_init
sklearn\decomposition\fastica_.py,delname,109,gwtx
sklearn\decomposition\fastica_.py,delname,109,g_wtx
sklearn\decomposition\fastica_.py,delname,306,_
sklearn\decomposition\fastica_.py,delname,308,u
sklearn\decomposition\fastica_.py,delname,308,d
sklearn\decomposition\fastica_.py,delname,341,X1
sklearn\decomposition\incremental_pca.py,hasattr,201
sklearn\decomposition\incremental_pca.py,hasattr,221
sklearn\decomposition\kernel_pca.py,hasattr,190
sklearn\decomposition\online_lda.py,hasattr,462
sklearn\decomposition\online_lda.py,hasattr,550
sklearn\decomposition\online_lda.py,hasattr,682
sklearn\decomposition\tests\test_factor_analysis.py,getattr,65
sklearn\decomposition\tests\test_fastica.py,hasattr,142
sklearn\decomposition\tests\test_pca.py,hasattr,85
sklearn\decomposition\tests\test_truncated_svd.py,getattr,55
sklearn\ensemble\bagging.py,hasattr,134
sklearn\ensemble\bagging.py,hasattr,322
sklearn\ensemble\bagging.py,delattribute,323
sklearn\ensemble\bagging.py,hasattr,550
sklearn\ensemble\bagging.py,hasattr,675
sklearn\ensemble\base.py,getattr,77
sklearn\ensemble\forest.py,getattr,126
sklearn\ensemble\forest.py,getattr,272
sklearn\ensemble\forest.py,hasattr,334
sklearn\ensemble\gradient_boosting.py,hasattr,837
sklearn\ensemble\gradient_boosting.py,hasattr,838
