file,lineno,_lineno,kind,message
sklearn\utils\_scipy_sparse_lsqr_backport.py,362,12,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\utils\_scipy_sparse_lsqr_backport.py,405,8,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\utils\_scipy_sparse_lsqr_backport.py,415,8,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\externals\joblib\format_stack.py,316,12,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
sklearn\externals\joblib\format_stack.py,318,12,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
sklearn\externals\joblib\func_inspect.py,288,4,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[Any]"")"
sklearn\externals\joblib\memory.py,192,36,argument," Argument 1 to ""load"" has incompatible type ""BinaryIO""; expected ""IO[str]"""
sklearn\externals\joblib\memory.py,632,16,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
sklearn\utils\__init__.py,195,4,assignment," Incompatible types in assignment (expression has type ""List[Any]"", variable has type ""Tuple[Any, ...]"")"
sklearn\metrics\pairwise.py,1206,8,assignment," Incompatible types in assignment (expression has type ""partial"", variable has type ""function"")"
sklearn\metrics\pairwise.py,1215,8,assignment," Incompatible types in assignment (expression has type ""partial"", variable has type ""function"")"
sklearn\metrics\classification.py,97,8,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""Set[Any]"")"
sklearn\multiclass.py,277,12,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\__init__.py,83,4,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
setup.py,155,8,assignment," Incompatible types in assignment (expression has type ""str"", target has type ""bool"")"
setup.py,174,8,assignment," Incompatible types in assignment (expression has type ""str"", target has type ""bool"")"
sklearn\utils\graph.py,61,8,assignment," Incompatible types in assignment (expression has type ""Set[<nothing>]"", variable has type ""List[Any]"")"
sklearn\model_selection\_split.py,1145,8,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\feature_selection\univariate_selection.py,93,4,assignment," Incompatible types in assignment (expression has type ""List[Any]"", variable has type ""Tuple[Any, ...]"")"
sklearn\feature_selection\from_model.py,53,12,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""str"")"
sklearn\datasets\species_distributions.py,72,4,assignment," Incompatible types in assignment (expression has type ""Dict[Any, float]"", variable has type ""List[Any]"")"
sklearn\model_selection\_search.py,577,16,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\model_selection\_search.py,579,16,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\datasets\rcv1.py,174,16,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
sklearn\datasets\rcv1.py,176,20,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""int"")"
sklearn\ensemble\gradient_boosting.py,821,12,assignment," Incompatible types in assignment (expression has type ""type"", variable has type ""Type[object]"")"
sklearn\feature_selection\rfe.py,418,12,assignment," Incompatible types in assignment (expression has type ""Parallel"", variable has type ""Type[List[Any]]"")"
sklearn\linear_model\least_angle.py,1421,12,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\manifold\t_sne.py,812,12,assignment," Incompatible types in assignment (expression has type ""float"", target has type ""List[Any]"")"
sklearn\manifold\t_sne.py,813,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""List[Any]"")"
sklearn\manifold\t_sne.py,823,12,assignment," Incompatible types in assignment (expression has type ""float"", target has type ""List[Any]"")"
sklearn\manifold\t_sne.py,824,12,assignment," Incompatible types in assignment (expression has type ""float"", target has type ""List[Any]"")"
sklearn\manifold\t_sne.py,829,8,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""List[Any]"")"
sklearn\manifold\t_sne.py,830,8,assignment," Incompatible types in assignment (expression has type ""float"", target has type ""List[Any]"")"
sklearn\cluster\birch.py,455,12,assignment," Incompatible types in assignment (expression has type ""Callable[[Any], Any]"", variable has type overloaded function)"
sklearn\cluster\birch.py,58,4,assignment," Incompatible types in assignment (expression has type ""_CFNode"", variable has type ""None"")"
sklearn\cluster\birch.py,59,4,assignment," Incompatible types in assignment (expression has type ""_CFNode"", variable has type ""None"")"
sklearn\cluster\birch.py,65,8,assignment," Incompatible types in assignment (expression has type ""_CFNode"", variable has type ""None"")"
sklearn\cluster\birch.py,66,8,assignment," Incompatible types in assignment (expression has type ""_CFNode"", variable has type ""None"")"
sklearn\utils\testing.py,611,17,argument," Argument 2 to ""__import__"" has incompatible type ""str""; expected ""List[str]"""
sklearn\utils\testing.py,615,4,assignment," Incompatible types in assignment (expression has type ""Set[Tuple[str, Any]]"", variable has type ""List[Tuple[str, Any]]"")"
sklearn\utils\testing.py,712,20,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""Tuple[str, str, str]"")"
sklearn\cross_validation.py,882,8,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
doc\sphinxext\gen_rst.py,442,41,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""Tuple[int, int]"")"
doc\sphinxext\gen_rst.py,442,45,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""Tuple[int, int]"")"
doc\sphinxext\gen_rst.py,443,8,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""int"")"
doc\sphinxext\gen_rst.py,541,21,assignment," Incompatible types in assignment (expression has type ""Tuple[int, int]"", variable has type ""str"")"
doc\sphinxext\gen_rst.py,541,31,assignment," Incompatible types in assignment (expression has type ""int"", variable has type ""str"")"
doc\sphinxext\gen_rst.py,542,8,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""int"")"
doc\sphinxext\gen_rst.py,845,12,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
doc\sphinxext\gen_rst.py,862,16,assignment," Incompatible types in assignment (expression has type ""Tee"", variable has type ""TextIO"")"
doc\sphinxext\gen_rst.py,865,16,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
doc\sphinxext\github_link.py,66,8,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""int"")"
doc\sphinxext\numpy_ext\docscrape.py,439,16,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""ArgSpec"")"
examples\missing_values.py,66,0,assignment," Incompatible types in assignment (expression has type ""Pipeline"", variable has type ""RandomForestRegressor"")"
examples\plot_kernel_ridge_regression.py,154,0,assignment," Incompatible types in assignment (expression has type ""KernelRidge"", variable has type ""GridSearchCV"")"
sklearn\calibration.py,321,16,assignment," Incompatible types in assignment (expression has type ""_SigmoidCalibration"", variable has type ""IsotonicRegression"")"
examples\cluster\plot_cluster_comparison.py,59,0,assignment," Incompatible types in assignment (expression has type ""List[Any]"", variable has type Module)"
examples\ensemble\plot_gradient_boosting_regularization.py,60,4,argument," Argument 1 to ""update"" of ""dict"" has incompatible type ""Dict[str, float]""; expected ""Mapping[str, int]"""
examples\linear_model\lasso_dense_vs_sparse_data.py,53,0,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
examples\manifold\plot_lle_digits.py,185,0,assignment," Incompatible types in assignment (expression has type ""MDS"", variable has type ""LocallyLinearEmbedding"")"
sklearn\grid_search.py,581,16,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\grid_search.py,583,16,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\datasets\tests\test_samples_generator.py,72,20,argument," Argument 1 to ""len"" has incompatible type ""object""; expected ""Sized"""
sklearn\ensemble\tests\test_forest.py,90,0,argument," Argument 1 to ""update"" of ""dict"" has incompatible type ""Dict[str, Type[object]]""; expected ""Mapping[str, Type[object]]"""
sklearn\ensemble\tests\test_forest.py,91,0,argument," Argument 1 to ""update"" of ""dict"" has incompatible type ""Dict[str, Type[RandomTreesEmbedding]]""; expected ""Mapping[str, Type[object]]"""
sklearn\ensemble\tests\test_forest.py,101,21,argument," Argument 1 to ""len"" has incompatible type ""object""; expected ""Sized"""
sklearn\ensemble\tests\test_forest.py,106,21,argument," Argument 1 to ""len"" has incompatible type ""object""; expected ""Sized"""
sklearn\ensemble\tests\test_forest.py,441,17,argument," Argument 1 to ""len"" has incompatible type ""object""; expected ""Sized"""
sklearn\ensemble\tests\test_forest.py,661,4,assignment," Incompatible types in assignment (expression has type ""defaultdict[<nothing>, int]"", variable has type ""List[Tuple[Any, Any]]"")"
sklearn\ensemble\tests\test_forest.py,1025,21,argument," Argument 1 to ""len"" has incompatible type ""object""; expected ""Sized"""
