file,method,params,startLineno,endLineno,affectedLineno,affectedOffsets,affectedVar,affectedTypes
benchmarks\bench_multilabel_metrics.py,_tabulate,"results, metrics, formats",98,111,107,3637-3645,head_fmt,"str,int"
benchmarks\bench_multilabel_metrics.py,_tabulate,"results, metrics, formats",98,111,110,3814-3821,row_fmt,"str,int"
benchmarks\bench_plot_neighbors.py,barplot_neighbors,"Nrange=('2' ** np.arange('1', '11')), Drange=('2' ** np.arange('7')), krange=('2' ** np.arange('10')), N='1000', D='64', k='5', leaf_size='30', dataset='digits'",26,180,165,5915-5927,descr_string,"str,tuple"
benchmarks\bench_plot_neighbors.py,barplot_neighbors,"Nrange=('2' ** np.arange('1', '11')), Drange=('2' ** np.arange('7')), krange=('2' ** np.arange('10')), N='1000', D='64', k='5', leaf_size='30', dataset='digits'",26,180,167,5995-6007,descr_string,"str,tuple"
benchmarks\bench_plot_neighbors.py,barplot_neighbors,"Nrange=('2' ** np.arange('1', '11')), Drange=('2' ** np.arange('7')), krange=('2' ** np.arange('10')), N='1000', D='64', k='5', leaf_size='30', dataset='digits'",26,180,173,6196-6208,descr_string,"str,list"
benchmarks\bench_plot_randomized_svd.py,unpickle,file_name,120,122,121,4720-4729,file_name,"str,tuple"
benchmarks\bench_plot_randomized_svd.py,bench_b,power_list,343,377,362,14203-14208,label,"str,tuple"
benchmarks\bench_plot_randomized_svd.py,bench_b,power_list,343,377,368,14525-14530,label,"str,tuple"
benchmarks\bench_plot_randomized_svd.py,bench_b,power_list,343,377,371,14731-14736,label,"str,tuple"
benchmarks\bench_plot_randomized_svd.py,bench_b,power_list,343,377,374,14859-14871,dataset_name,"str,tuple"
benchmarks\bench_plot_randomized_svd.py,bench_b,power_list,343,377,375,14929-14934,title,"str,tuple"
benchmarks\bench_plot_randomized_svd.py,plot_power_iter_vs_s,"power_iter, s, title",226,233,231,9198-9203,title,"str,tuple"
benchmarks\bench_plot_randomized_svd.py,bench_b,power_list,343,377,376,14999-15011,dataset_name,"str,tuple"
benchmarks\bench_plot_randomized_svd.py,bench_b,power_list,343,377,377,15066-15071,title,"str,tuple"
doc\sphinxext\gen_rst.py,generate_file_rst,"fname, target_dir, src_dir, root_dir, plot_gallery",799,980,847,28564-28580,first_image_file,"str,int"
doc\sphinxext\gen_rst.py,generate_file_rst,"fname, target_dir, src_dir, root_dir, plot_gallery",799,980,848,28607-28623,first_image_file,"str,int"
doc\sphinxext\gen_rst.py,generate_file_rst,"fname, target_dir, src_dir, root_dir, plot_gallery",799,980,936,33463-33479,first_image_file,"str,int"
doc\sphinxext\gen_rst.py,generate_file_rst,"fname, target_dir, src_dir, root_dir, plot_gallery",799,980,940,33702-33711,first_img,"str,int"
doc\sphinxext\gen_rst.py,generate_file_rst,"fname, target_dir, src_dir, root_dir, plot_gallery",799,980,941,33794-33803,first_img,"str,int"
doc\sphinxext\gen_rst.py,generate_file_rst,"fname, target_dir, src_dir, root_dir, plot_gallery",799,980,942,33874-33883,first_img,"str,int"
doc\sphinxext\gen_rst.py,make_thumbnail,"in_fname, out_fname, width, height",668,705,677,22594-22602,in_fname,"str,int"
doc\sphinxext\gen_rst.py,generate_file_rst,"fname, target_dir, src_dir, root_dir, plot_gallery",799,980,943,33922-33938,first_image_file,"str,int"
doc\sphinxext\gen_rst.py,extract_docstring,"filename, ignore_heading=False",427,468,468,15113-15122,first_par,"str,list,None"
doc\sphinxext\gen_rst.py,generate_dir_rst,"directory, fhindex, example_dir, root_dir, plot_gallery, seen_backrefs",604,662,635,21043-21050,snippet,"str,list,None"
doc\sphinxext\gen_rst.py,_thumbnail_div,"subdir, full_dir, fname, snippet, is_backref=False",567,601,581,19158-19165,snippet,"str,list,None"
doc\sphinxext\gen_rst.py,generate_dir_rst,"directory, fhindex, example_dir, root_dir, plot_gallery, seen_backrefs",604,662,656,21940-21947,snippet,"str,list,None"
doc\sphinxext\gen_rst.py,_get_link,"self, cobj",265,318,314,10204-10207,url,"bool,str"
doc\sphinxext\gen_rst.py,_get_link,"self, cobj",265,318,318,10267-10271,link,"bool,str"
doc\sphinxext\gen_rst.py,resolve,"self, cobj, this_url",320,361,346,11314-11318,link,"bool,str"
doc\sphinxext\gen_rst.py,resolve,"self, cobj, this_url",320,361,348,11333-11337,link,"bool,str,?"
doc\sphinxext\gen_rst.py,resolve,"self, cobj, this_url",320,361,348,11350-11354,link,"bool,str,?"
doc\sphinxext\gen_rst.py,resolve,"self, cobj, this_url",320,361,353,11487-11491,link,"bool,str,?"
doc\sphinxext\gen_rst.py,resolve,"self, cobj, this_url",320,361,361,11778-11782,link,"bool,str,?"
doc\sphinxext\gen_rst.py,embed_code_links,"app, exception",983,1079,1076,39698-39702,line,"str,list"
doc\sphinxext\numpy_ext\docscrape.py,_parse_index,"self, section, content",252,269,259,7331-7332,s,"str,list"
doc\sphinxext\numpy_ext\docscrape.py,__str__,self,454,470,466,14228-14231,out,"str,tuple"
doc\sphinxext\numpy_ext\docscrape.py,__str__,self,454,470,469,14356-14359,out,"str,tuple"
doc\sphinxext\numpy_ext\docscrape.py,_str_see_also,"self, func_role",353,377,368,10975-10979,link,"str,tuple"
doc\sphinxext\numpy_ext\docscrape.py,_str_see_also,"self, func_role",353,377,370,11037-11041,link,"str,tuple"
doc\sphinxext\numpy_ext\docscrape.py,_parse_param_list,"self, content",177,192,190,5080-5088,arg_name,"str,list"
doc\sphinxext\numpy_ext\docscrape.py,_parse_param_list,"self, content",177,192,190,5090-5098,arg_type,"str,list"
doc\sphinxext\numpy_ext\docscrape.py,_parse_index,"self, section, content",252,269,259,7317-7318,s,"str,list"
doc\sphinxext\numpy_ext\docscrape.py,__init__,"self, func, role='func', doc=None, config={}",424,444,444,13569-13578,signature,"str,tuple"
doc\sphinxext\numpy_ext\docscrape.py,__str__,self,454,470,470,14434-14437,out,"str,tuple"
doc\sphinxext\numpy_ext\docscrape.py,indent,"str, indent='4'",406,411,409,12356-12366,indent_str,"str,int"
doc\sphinxext\numpy_ext\docscrape.py,indent,"str, indent='4'",406,411,411,12418-12428,indent_str,"str,int"
doc\sphinxext\numpy_ext\docscrape_sphinx.py,_str_member_list,"self, name",63,105,99,3199-3202,hdr,"str,int"
