file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
sklearn\utils\_scipy_sparse_lsqr_backport.py,lsqr,98,508,,,,,,"bdb00d17b9b82601c2c6865c2df6de1f5ce357bb, 6a7eae5a97b6eba270abaaf17bc82ad56db4290e, 2f099334f956e91d8ac1ae8f5f9c852488de1da8, 53a119af2aa35ae4b3274d6f984923179debc657, cd2ee7e454f9bedceb04ba8613a4e52d1d9a76bf, 9f50699c21ca6a2cbc3583e9824b8ec2d632e5c0, d2f3a8a3dac90bd99009eada33b11282407c2522, d8be1c34efbb005aed058afe5e1a308c63837712, c583e39242964596d6c50d1dcf167553beac267d, 4ffe0a8cb17889886ab5ec7aba6d3944314a12b9, 3fdd1e35af9e9dfd47050aa2e51610003e4b22fa, c6d92aa16035105246f6c4a51d119706fd337d69, 7b34256672697dbd2e43131471aa0fb636432893, 2e5f874f127d8837645a1b97f16fd58f3f909786, c12fa6b9cea73e02fd6be4c564fb8bd09ded2524, 71d524396c11274b1187871b15bebacf6af2781e",362,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\utils\_scipy_sparse_lsqr_backport.py,lsqr,98,508,,,,,,"bdb00d17b9b82601c2c6865c2df6de1f5ce357bb, 6a7eae5a97b6eba270abaaf17bc82ad56db4290e, 2f099334f956e91d8ac1ae8f5f9c852488de1da8, 53a119af2aa35ae4b3274d6f984923179debc657, cd2ee7e454f9bedceb04ba8613a4e52d1d9a76bf, 9f50699c21ca6a2cbc3583e9824b8ec2d632e5c0, d2f3a8a3dac90bd99009eada33b11282407c2522, d8be1c34efbb005aed058afe5e1a308c63837712, c583e39242964596d6c50d1dcf167553beac267d, 4ffe0a8cb17889886ab5ec7aba6d3944314a12b9, 3fdd1e35af9e9dfd47050aa2e51610003e4b22fa, c6d92aa16035105246f6c4a51d119706fd337d69, 7b34256672697dbd2e43131471aa0fb636432893, 2e5f874f127d8837645a1b97f16fd58f3f909786, c12fa6b9cea73e02fd6be4c564fb8bd09ded2524, 71d524396c11274b1187871b15bebacf6af2781e",405,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\utils\_scipy_sparse_lsqr_backport.py,lsqr,98,508,,,,,,"bdb00d17b9b82601c2c6865c2df6de1f5ce357bb, 6a7eae5a97b6eba270abaaf17bc82ad56db4290e, 2f099334f956e91d8ac1ae8f5f9c852488de1da8, 53a119af2aa35ae4b3274d6f984923179debc657, cd2ee7e454f9bedceb04ba8613a4e52d1d9a76bf, 9f50699c21ca6a2cbc3583e9824b8ec2d632e5c0, d2f3a8a3dac90bd99009eada33b11282407c2522, d8be1c34efbb005aed058afe5e1a308c63837712, c583e39242964596d6c50d1dcf167553beac267d, 4ffe0a8cb17889886ab5ec7aba6d3944314a12b9, 3fdd1e35af9e9dfd47050aa2e51610003e4b22fa, c6d92aa16035105246f6c4a51d119706fd337d69, 7b34256672697dbd2e43131471aa0fb636432893, 2e5f874f127d8837645a1b97f16fd58f3f909786, c12fa6b9cea73e02fd6be4c564fb8bd09ded2524, 71d524396c11274b1187871b15bebacf6af2781e",415,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\externals\joblib\format_stack.py,format_records,186,328,,,,,,"bdb00d17b9b82601c2c6865c2df6de1f5ce357bb, 6a7eae5a97b6eba270abaaf17bc82ad56db4290e, 2f099334f956e91d8ac1ae8f5f9c852488de1da8, 53a119af2aa35ae4b3274d6f984923179debc657, cd2ee7e454f9bedceb04ba8613a4e52d1d9a76bf, 9f50699c21ca6a2cbc3583e9824b8ec2d632e5c0, d2f3a8a3dac90bd99009eada33b11282407c2522, d8be1c34efbb005aed058afe5e1a308c63837712, c583e39242964596d6c50d1dcf167553beac267d, 4ffe0a8cb17889886ab5ec7aba6d3944314a12b9, 3fdd1e35af9e9dfd47050aa2e51610003e4b22fa, c6d92aa16035105246f6c4a51d119706fd337d69, 7b34256672697dbd2e43131471aa0fb636432893, 2e5f874f127d8837645a1b97f16fd58f3f909786, c12fa6b9cea73e02fd6be4c564fb8bd09ded2524, 71d524396c11274b1187871b15bebacf6af2781e",316,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
sklearn\externals\joblib\format_stack.py,format_records,186,328,,,,,,"bdb00d17b9b82601c2c6865c2df6de1f5ce357bb, 6a7eae5a97b6eba270abaaf17bc82ad56db4290e, 2f099334f956e91d8ac1ae8f5f9c852488de1da8, 53a119af2aa35ae4b3274d6f984923179debc657, cd2ee7e454f9bedceb04ba8613a4e52d1d9a76bf, 9f50699c21ca6a2cbc3583e9824b8ec2d632e5c0, d2f3a8a3dac90bd99009eada33b11282407c2522, d8be1c34efbb005aed058afe5e1a308c63837712, c583e39242964596d6c50d1dcf167553beac267d, 4ffe0a8cb17889886ab5ec7aba6d3944314a12b9, 3fdd1e35af9e9dfd47050aa2e51610003e4b22fa, c6d92aa16035105246f6c4a51d119706fd337d69, 7b34256672697dbd2e43131471aa0fb636432893, 2e5f874f127d8837645a1b97f16fd58f3f909786, c12fa6b9cea73e02fd6be4c564fb8bd09ded2524, 71d524396c11274b1187871b15bebacf6af2781e",318,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
sklearn\externals\joblib\func_inspect.py,format_signature,268,291,,,,,,"bdb00d17b9b82601c2c6865c2df6de1f5ce357bb, 6a7eae5a97b6eba270abaaf17bc82ad56db4290e, 2f099334f956e91d8ac1ae8f5f9c852488de1da8, 53a119af2aa35ae4b3274d6f984923179debc657, cd2ee7e454f9bedceb04ba8613a4e52d1d9a76bf, 9f50699c21ca6a2cbc3583e9824b8ec2d632e5c0, d2f3a8a3dac90bd99009eada33b11282407c2522, d8be1c34efbb005aed058afe5e1a308c63837712, c583e39242964596d6c50d1dcf167553beac267d, 4ffe0a8cb17889886ab5ec7aba6d3944314a12b9, 3fdd1e35af9e9dfd47050aa2e51610003e4b22fa, c6d92aa16035105246f6c4a51d119706fd337d69, 7b34256672697dbd2e43131471aa0fb636432893, 2e5f874f127d8837645a1b97f16fd58f3f909786, c12fa6b9cea73e02fd6be4c564fb8bd09ded2524, 71d524396c11274b1187871b15bebacf6af2781e",288,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[Any]"")"
sklearn\externals\joblib\memory.py,__init__,170,198,,,,,,"bdb00d17b9b82601c2c6865c2df6de1f5ce357bb, 6a7eae5a97b6eba270abaaf17bc82ad56db4290e, 2f099334f956e91d8ac1ae8f5f9c852488de1da8, 53a119af2aa35ae4b3274d6f984923179debc657, cd2ee7e454f9bedceb04ba8613a4e52d1d9a76bf, 9f50699c21ca6a2cbc3583e9824b8ec2d632e5c0, d2f3a8a3dac90bd99009eada33b11282407c2522, d8be1c34efbb005aed058afe5e1a308c63837712, c583e39242964596d6c50d1dcf167553beac267d, 4ffe0a8cb17889886ab5ec7aba6d3944314a12b9, 3fdd1e35af9e9dfd47050aa2e51610003e4b22fa, c6d92aa16035105246f6c4a51d119706fd337d69, 7b34256672697dbd2e43131471aa0fb636432893, 2e5f874f127d8837645a1b97f16fd58f3f909786, c12fa6b9cea73e02fd6be4c564fb8bd09ded2524, 71d524396c11274b1187871b15bebacf6af2781e",192,argument," Argument 1 to ""load"" has incompatible type ""BinaryIO""; expected ""IO[str]"""
sklearn\externals\joblib\memory.py,_check_previous_func_code,566,652,,,,,,"bdb00d17b9b82601c2c6865c2df6de1f5ce357bb, 6a7eae5a97b6eba270abaaf17bc82ad56db4290e, 2f099334f956e91d8ac1ae8f5f9c852488de1da8, 53a119af2aa35ae4b3274d6f984923179debc657, cd2ee7e454f9bedceb04ba8613a4e52d1d9a76bf, 9f50699c21ca6a2cbc3583e9824b8ec2d632e5c0, d2f3a8a3dac90bd99009eada33b11282407c2522, d8be1c34efbb005aed058afe5e1a308c63837712, c583e39242964596d6c50d1dcf167553beac267d, 4ffe0a8cb17889886ab5ec7aba6d3944314a12b9, 3fdd1e35af9e9dfd47050aa2e51610003e4b22fa, c6d92aa16035105246f6c4a51d119706fd337d69, 7b34256672697dbd2e43131471aa0fb636432893, 2e5f874f127d8837645a1b97f16fd58f3f909786, c12fa6b9cea73e02fd6be4c564fb8bd09ded2524, 71d524396c11274b1187871b15bebacf6af2781e",632,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[str]"")"
sklearn\utils\__init__.py,resample,100,201,,,,,,"bdb00d17b9b82601c2c6865c2df6de1f5ce357bb, 6a7eae5a97b6eba270abaaf17bc82ad56db4290e, 2f099334f956e91d8ac1ae8f5f9c852488de1da8, 53a119af2aa35ae4b3274d6f984923179debc657, cd2ee7e454f9bedceb04ba8613a4e52d1d9a76bf, 9f50699c21ca6a2cbc3583e9824b8ec2d632e5c0, d2f3a8a3dac90bd99009eada33b11282407c2522, d8be1c34efbb005aed058afe5e1a308c63837712, c583e39242964596d6c50d1dcf167553beac267d, 4ffe0a8cb17889886ab5ec7aba6d3944314a12b9, 3fdd1e35af9e9dfd47050aa2e51610003e4b22fa, c6d92aa16035105246f6c4a51d119706fd337d69, 7b34256672697dbd2e43131471aa0fb636432893, 2e5f874f127d8837645a1b97f16fd58f3f909786, c12fa6b9cea73e02fd6be4c564fb8bd09ded2524, 71d524396c11274b1187871b15bebacf6af2781e",195,assignment," Incompatible types in assignment (expression has type ""List[Any]"", variable has type ""Tuple[Any, ...]"")"
sklearn\metrics\pairwise.py,pairwise_distances,1115,1217,,,,,,"bdb00d17b9b82601c2c6865c2df6de1f5ce357bb, 6a7eae5a97b6eba270abaaf17bc82ad56db4290e, 2f099334f956e91d8ac1ae8f5f9c852488de1da8, 53a119af2aa35ae4b3274d6f984923179debc657, cd2ee7e454f9bedceb04ba8613a4e52d1d9a76bf, 9f50699c21ca6a2cbc3583e9824b8ec2d632e5c0, d2f3a8a3dac90bd99009eada33b11282407c2522, d8be1c34efbb005aed058afe5e1a308c63837712, c583e39242964596d6c50d1dcf167553beac267d, 4ffe0a8cb17889886ab5ec7aba6d3944314a12b9, 3fdd1e35af9e9dfd47050aa2e51610003e4b22fa, c6d92aa16035105246f6c4a51d119706fd337d69, 7b34256672697dbd2e43131471aa0fb636432893, 2e5f874f127d8837645a1b97f16fd58f3f909786, c12fa6b9cea73e02fd6be4c564fb8bd09ded2524, 71d524396c11274b1187871b15bebacf6af2781e",1206,assignment," Incompatible types in assignment (expression has type ""partial"", variable has type ""function"")"
