file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
sklearn\externals\joblib\func_inspect.py,format_signature,268,291,cee5a38,Loïc Estève,2017-03-07 11:20:08,[MRG] Update joblib to 0.11 (#8492),8492,cee5a383bb7bed814ccff77697d0330fe6b309be,288,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""List[Any]"")"
sklearn\externals\joblib\memory.py,__init__,170,198,cee5a38,Loïc Estève,2017-03-07 11:20:08,[MRG] Update joblib to 0.11 (#8492),8492,"cee5a383bb7bed814ccff77697d0330fe6b309be, 181ffb87ff87ed9098b7f711041dd9f5643e9a31, 8615684f511a39ed50f088f752aee094db11277a, 8615684f511a39ed50f088f752aee094db11277a, 107a0c8b374c1370c1af37d02ae50ecb1d6f2226, 107a0c8b374c1370c1af37d02ae50ecb1d6f2226, 67ece78da4f8cd60582a83f075b04dc32e33d6ad, 67ece78da4f8cd60582a83f075b04dc32e33d6ad, 7719b37eb86ca188e015d4be2920b755968039db, 7719b37eb86ca188e015d4be2920b755968039db",192,argument," Argument 1 to ""load"" has incompatible type ""BinaryIO""; expected ""IO[str]"""
sklearn\utils\__init__.py,resample,100,201,47cf43d,Angus Williams,2017-11-17 16:22:05,[MRG+1] DOC Fix utils.resample and utils.shuffle docstrings: 'views' -> 'copies' (#10162),10162,"47cf43d44a15f2b392a817c5d0ad995671246049, e3c9ae204ffb152c151e9b61306ff8f16a2c1e0a, 6ce198c78f44ef51514494b69b9ffac6e48943a2, e12863f103f1a500d0a28722dda300311bc4b5ed, c0bdb51daa15eaf2f2bb78b6526272667650e97d, e1af92b640e53be2707413f6f24c1bb73a34444d, b3fbccca3824e58f10ff48ed619ad5e07577bba3, c235c3b566787f2589389aaa01a8459f24acb9ae, 6e2a83b4e184f0e51aead75d5c82fc0284fa6233, 06d3fd1026a8567eb79324d53f6661138b62e0c5, ccb7493e87aa547c506e0083208132826600b799, 1a78610a56f2311d33e39384d2fc72df65521c51, 106648f2811b909faf5b25c793330c32240c58b6, ca48f82ab8357f07932928ab1e94cfcce0562c72",195,assignment," Incompatible types in assignment (expression has type ""List[Any]"", variable has type ""Tuple[Any, ...]"")"
sklearn\utils\__init__.py,resample,100,201,e3c9ae2,Guillaume Lemaitre,2017-04-06 02:43:21,[MRG+1] DOC improve description and consistency of random_state (#8689),8689,"47cf43d44a15f2b392a817c5d0ad995671246049, e3c9ae204ffb152c151e9b61306ff8f16a2c1e0a, 6ce198c78f44ef51514494b69b9ffac6e48943a2, e12863f103f1a500d0a28722dda300311bc4b5ed, c0bdb51daa15eaf2f2bb78b6526272667650e97d, e1af92b640e53be2707413f6f24c1bb73a34444d, b3fbccca3824e58f10ff48ed619ad5e07577bba3, c235c3b566787f2589389aaa01a8459f24acb9ae, 6e2a83b4e184f0e51aead75d5c82fc0284fa6233, 06d3fd1026a8567eb79324d53f6661138b62e0c5, ccb7493e87aa547c506e0083208132826600b799, 1a78610a56f2311d33e39384d2fc72df65521c51, 106648f2811b909faf5b25c793330c32240c58b6, ca48f82ab8357f07932928ab1e94cfcce0562c72",195,assignment," Incompatible types in assignment (expression has type ""List[Any]"", variable has type ""Tuple[Any, ...]"")"
sklearn\utils\__init__.py,resample,100,201,6ce198c,ningchi,2016-04-02 14:58:40,[MRG] #6581 n_samples of utils.resample can be more when replace is True,6581,"47cf43d44a15f2b392a817c5d0ad995671246049, e3c9ae204ffb152c151e9b61306ff8f16a2c1e0a, 6ce198c78f44ef51514494b69b9ffac6e48943a2, e12863f103f1a500d0a28722dda300311bc4b5ed, c0bdb51daa15eaf2f2bb78b6526272667650e97d, e1af92b640e53be2707413f6f24c1bb73a34444d, b3fbccca3824e58f10ff48ed619ad5e07577bba3, c235c3b566787f2589389aaa01a8459f24acb9ae, 6e2a83b4e184f0e51aead75d5c82fc0284fa6233, 06d3fd1026a8567eb79324d53f6661138b62e0c5, ccb7493e87aa547c506e0083208132826600b799, 1a78610a56f2311d33e39384d2fc72df65521c51, 106648f2811b909faf5b25c793330c32240c58b6, ca48f82ab8357f07932928ab1e94cfcce0562c72",195,assignment," Incompatible types in assignment (expression has type ""List[Any]"", variable has type ""Tuple[Any, ...]"")"
sklearn\metrics\pairwise.py,pairwise_distances,1115,1217,0a85111,Vrishank Bhardwaj,2017-12-16 17:35:23,DOC Add paired_distances in pairwise_distances docstring (#10304),10304,"0a85111fbd5f6703a56ca8dad3c11cdcd38653cb, a78b66f9f385a46e75463448b6d3f57ea3a020f9, 6f771d51866972e1c8989ec33e02e984ca7b1ebb, 2245790c7b7833e7c359e3ff74cea8deebe5f35e, 0650d5502e01e6b4245ce99729fc8e7a71aacff3, d62971d4d348299c7aa39c1870c75783af2af9d6, f96331717a5cf04b7b53851b70312c59e7594834, fe768182ef45893bbcdde7663ffb860b3ac3ffa0, 2ee7315ab6e0ee8d5710d0bdb55f1009bf324b03, d3eb06d79d247c24a8deae7360d67c66d12b635d, 8861833ec9ee67656670af66605991c44207ff81, 67ece78da4f8cd60582a83f075b04dc32e33d6ad, 829d3fcf9e12fca7bb754939d65df93b16124e74, faea50db2f508fbe8138072d61958b09652768c5, 00eff77a975596011dbbf0139608bcfc6e6157e1, 3a5e1813b540407865b8a3f242167b4e5d316dd7, 3b8f54e58667be80af6c099bfda40c7fe6579712, 56c9dc8881c5f1bedc1724fcad429f4ca31f44cb, 1e3824b82073d922c8aa86ad8ae83bb6b81847bf, b60f7d851946318b7a0b8813c04b10d6442e0edf, e3a83de322b77116e4e3247efb039712165a3f7c, 6a3103ff697e15ccf851c9f9c0f7568ee5a2b8d2, b5b9f8e6d4acb05c447224d85097a9f72c3bde2c, 7eae6a90f84d1cd2f24934af25e179f4f6dce0d9, e271afd6e12f12f46609914c3c1a79278ccb8923, b592902039e42558219f1495a7921085098205f4, 1215c0e97cf49b93b272da475d0f83453618123a, ad79b4d2cd1083bf9ba9989792b419fa6d34e6e6, fc428b1a928e61052482958bbf8cd688cd7c6cc9",1206,assignment," Incompatible types in assignment (expression has type ""partial"", variable has type ""function"")"
sklearn\metrics\pairwise.py,pairwise_distances,1115,1217,a78b66f,Osaid Rehman Nasir,2017-09-21 13:23:41,[MRG+1] remove 'matching' metric from docstrings (#9727),9727,"0a85111fbd5f6703a56ca8dad3c11cdcd38653cb, a78b66f9f385a46e75463448b6d3f57ea3a020f9, 6f771d51866972e1c8989ec33e02e984ca7b1ebb, 2245790c7b7833e7c359e3ff74cea8deebe5f35e, 0650d5502e01e6b4245ce99729fc8e7a71aacff3, d62971d4d348299c7aa39c1870c75783af2af9d6, f96331717a5cf04b7b53851b70312c59e7594834, fe768182ef45893bbcdde7663ffb860b3ac3ffa0, 2ee7315ab6e0ee8d5710d0bdb55f1009bf324b03, d3eb06d79d247c24a8deae7360d67c66d12b635d, 8861833ec9ee67656670af66605991c44207ff81, 67ece78da4f8cd60582a83f075b04dc32e33d6ad, 829d3fcf9e12fca7bb754939d65df93b16124e74, faea50db2f508fbe8138072d61958b09652768c5, 00eff77a975596011dbbf0139608bcfc6e6157e1, 3a5e1813b540407865b8a3f242167b4e5d316dd7, 3b8f54e58667be80af6c099bfda40c7fe6579712, 56c9dc8881c5f1bedc1724fcad429f4ca31f44cb, 1e3824b82073d922c8aa86ad8ae83bb6b81847bf, b60f7d851946318b7a0b8813c04b10d6442e0edf, e3a83de322b77116e4e3247efb039712165a3f7c, 6a3103ff697e15ccf851c9f9c0f7568ee5a2b8d2, b5b9f8e6d4acb05c447224d85097a9f72c3bde2c, 7eae6a90f84d1cd2f24934af25e179f4f6dce0d9, e271afd6e12f12f46609914c3c1a79278ccb8923, b592902039e42558219f1495a7921085098205f4, 1215c0e97cf49b93b272da475d0f83453618123a, ad79b4d2cd1083bf9ba9989792b419fa6d34e6e6, fc428b1a928e61052482958bbf8cd688cd7c6cc9",1206,assignment," Incompatible types in assignment (expression has type ""partial"", variable has type ""function"")"
sklearn\metrics\pairwise.py,pairwise_distances,1115,1217,6f771d5,Tahar,2017-02-22 18:17:04,[MRG] Remove unnecessary backticks around parameter name in docstrings (#8432),8432,"0a85111fbd5f6703a56ca8dad3c11cdcd38653cb, a78b66f9f385a46e75463448b6d3f57ea3a020f9, 6f771d51866972e1c8989ec33e02e984ca7b1ebb, 2245790c7b7833e7c359e3ff74cea8deebe5f35e, 0650d5502e01e6b4245ce99729fc8e7a71aacff3, d62971d4d348299c7aa39c1870c75783af2af9d6, f96331717a5cf04b7b53851b70312c59e7594834, fe768182ef45893bbcdde7663ffb860b3ac3ffa0, 2ee7315ab6e0ee8d5710d0bdb55f1009bf324b03, d3eb06d79d247c24a8deae7360d67c66d12b635d, 8861833ec9ee67656670af66605991c44207ff81, 67ece78da4f8cd60582a83f075b04dc32e33d6ad, 829d3fcf9e12fca7bb754939d65df93b16124e74, faea50db2f508fbe8138072d61958b09652768c5, 00eff77a975596011dbbf0139608bcfc6e6157e1, 3a5e1813b540407865b8a3f242167b4e5d316dd7, 3b8f54e58667be80af6c099bfda40c7fe6579712, 56c9dc8881c5f1bedc1724fcad429f4ca31f44cb, 1e3824b82073d922c8aa86ad8ae83bb6b81847bf, b60f7d851946318b7a0b8813c04b10d6442e0edf, e3a83de322b77116e4e3247efb039712165a3f7c, 6a3103ff697e15ccf851c9f9c0f7568ee5a2b8d2, b5b9f8e6d4acb05c447224d85097a9f72c3bde2c, 7eae6a90f84d1cd2f24934af25e179f4f6dce0d9, e271afd6e12f12f46609914c3c1a79278ccb8923, b592902039e42558219f1495a7921085098205f4, 1215c0e97cf49b93b272da475d0f83453618123a, ad79b4d2cd1083bf9ba9989792b419fa6d34e6e6, fc428b1a928e61052482958bbf8cd688cd7c6cc9",1206,assignment," Incompatible types in assignment (expression has type ""partial"", variable has type ""function"")"
sklearn\metrics\pairwise.py,pairwise_distances,1115,1217,0a85111,Vrishank Bhardwaj,2017-12-16 17:35:23,DOC Add paired_distances in pairwise_distances docstring (#10304),10304,"0a85111fbd5f6703a56ca8dad3c11cdcd38653cb, a78b66f9f385a46e75463448b6d3f57ea3a020f9, 6f771d51866972e1c8989ec33e02e984ca7b1ebb, 2245790c7b7833e7c359e3ff74cea8deebe5f35e, 0650d5502e01e6b4245ce99729fc8e7a71aacff3, d62971d4d348299c7aa39c1870c75783af2af9d6, f96331717a5cf04b7b53851b70312c59e7594834, fe768182ef45893bbcdde7663ffb860b3ac3ffa0, 2ee7315ab6e0ee8d5710d0bdb55f1009bf324b03, d3eb06d79d247c24a8deae7360d67c66d12b635d, 8861833ec9ee67656670af66605991c44207ff81, 67ece78da4f8cd60582a83f075b04dc32e33d6ad, 829d3fcf9e12fca7bb754939d65df93b16124e74, faea50db2f508fbe8138072d61958b09652768c5, 00eff77a975596011dbbf0139608bcfc6e6157e1, 3a5e1813b540407865b8a3f242167b4e5d316dd7, 3b8f54e58667be80af6c099bfda40c7fe6579712, 56c9dc8881c5f1bedc1724fcad429f4ca31f44cb, 1e3824b82073d922c8aa86ad8ae83bb6b81847bf, b60f7d851946318b7a0b8813c04b10d6442e0edf, e3a83de322b77116e4e3247efb039712165a3f7c, 6a3103ff697e15ccf851c9f9c0f7568ee5a2b8d2, b5b9f8e6d4acb05c447224d85097a9f72c3bde2c, 7eae6a90f84d1cd2f24934af25e179f4f6dce0d9, e271afd6e12f12f46609914c3c1a79278ccb8923, b592902039e42558219f1495a7921085098205f4, 1215c0e97cf49b93b272da475d0f83453618123a, ad79b4d2cd1083bf9ba9989792b419fa6d34e6e6, fc428b1a928e61052482958bbf8cd688cd7c6cc9",1215,assignment," Incompatible types in assignment (expression has type ""partial"", variable has type ""function"")"
sklearn\metrics\pairwise.py,pairwise_distances,1115,1217,a78b66f,Osaid Rehman Nasir,2017-09-21 13:23:41,[MRG+1] remove 'matching' metric from docstrings (#9727),9727,"0a85111fbd5f6703a56ca8dad3c11cdcd38653cb, a78b66f9f385a46e75463448b6d3f57ea3a020f9, 6f771d51866972e1c8989ec33e02e984ca7b1ebb, 2245790c7b7833e7c359e3ff74cea8deebe5f35e, 0650d5502e01e6b4245ce99729fc8e7a71aacff3, d62971d4d348299c7aa39c1870c75783af2af9d6, f96331717a5cf04b7b53851b70312c59e7594834, fe768182ef45893bbcdde7663ffb860b3ac3ffa0, 2ee7315ab6e0ee8d5710d0bdb55f1009bf324b03, d3eb06d79d247c24a8deae7360d67c66d12b635d, 8861833ec9ee67656670af66605991c44207ff81, 67ece78da4f8cd60582a83f075b04dc32e33d6ad, 829d3fcf9e12fca7bb754939d65df93b16124e74, faea50db2f508fbe8138072d61958b09652768c5, 00eff77a975596011dbbf0139608bcfc6e6157e1, 3a5e1813b540407865b8a3f242167b4e5d316dd7, 3b8f54e58667be80af6c099bfda40c7fe6579712, 56c9dc8881c5f1bedc1724fcad429f4ca31f44cb, 1e3824b82073d922c8aa86ad8ae83bb6b81847bf, b60f7d851946318b7a0b8813c04b10d6442e0edf, e3a83de322b77116e4e3247efb039712165a3f7c, 6a3103ff697e15ccf851c9f9c0f7568ee5a2b8d2, b5b9f8e6d4acb05c447224d85097a9f72c3bde2c, 7eae6a90f84d1cd2f24934af25e179f4f6dce0d9, e271afd6e12f12f46609914c3c1a79278ccb8923, b592902039e42558219f1495a7921085098205f4, 1215c0e97cf49b93b272da475d0f83453618123a, ad79b4d2cd1083bf9ba9989792b419fa6d34e6e6, fc428b1a928e61052482958bbf8cd688cd7c6cc9",1215,assignment," Incompatible types in assignment (expression has type ""partial"", variable has type ""function"")"
