commit,author,date,title,faultID,file
a03fd3f,chrisb83,2018-01-11 20:43:58,BUG fixed printing of convergence message in minimize_scalar in scipy/optimize (#8273),8273,scipy/optimize/_minimize.py
a03fd3f,chrisb83,2018-01-11 20:43:58,BUG fixed printing of convergence message in minimize_scalar in scipy/optimize (#8273),8273,scipy/optimize/optimize.py
06062a5,Martin Ø. Christensen,2017-12-20 11:31:11,BUG: Fix runtime warning in scipy.integrate.solve_ivp,8238,scipy/integrate/_ivp/rk.py
bdc562f,Jacques Gaudin,2017-12-20 03:34:55,FIX: Stats: multinomial.pmf return NaN when p involves 0. (#8236),8236,scipy/stats/_multivariate.py
bdc562f,Jacques Gaudin,2017-12-20 03:34:55,FIX: Stats: multinomial.pmf return NaN when p involves 0. (#8236),8236,scipy/stats/tests/test_multivariate.py
6f729bd,Ralf Gommers,2017-12-10 19:08:58,Merge pull request #8198 from andyfaff/triang,6036
5f41f93,Ilhan Polat,2017-11-23 12:32:26,FIX: linalg._qz String formatter syntax error (#8178),8178,scipy/linalg/_decomp_qz.py
ede5590,Josh Wilson,2017-10-07 20:39:42,BUG: special: fix ufunc results for `nan` arguments,7988,scipy/special/tests/test_nan_inputs.py
8a994ca,Noel Kippers,2017-10-19 11:21:10,Unhelpful error message when calling scipy.sparse.save_npz on a dok_matrix (#8049),8049,scipy/sparse/_matrix_io.py
8a994ca,Noel Kippers,2017-10-19 11:21:10,Unhelpful error message when calling scipy.sparse.save_npz on a dok_matrix (#8049),8049,scipy/sparse/tests/test_matrix_io.py
b6f57f4,Josh Wilson,2017-10-11 07:32:00,DOC: special: remove `jn` from the refguide (again),7741,scipy/special/__init__.py
b6f57f4,Josh Wilson,2017-10-11 07:32:00,DOC: special: remove `jn` from the refguide (again),7741,tools/refguide_check.py
7e6ff23,Josh Wilson,2017-10-06 08:14:13,BUG: special: make `kv` return `inf` at a zero real argument,7909,scipy/special/tests/test_basic.py
f639d29,Warren Weckesser,2017-09-26 00:06:41,MAINT: special: Mark a test that fails on i686 as a known failure.,7919,scipy/special/tests/test_basic.py
60c1188,Warren Weckesser,2017-09-24 15:20:42,"BUG: special: Allow dfn and dfd down to 0 in fdtr, fdtrc, and fdtri.",2958,scipy/special/tests/test_basic.py
4836516,Ralf Gommers,2017-09-16 19:30:47,"DEP: deprecate all misc.pilutil functions, and ndimage.imread.",2300,scipy/misc/pilutil.py
4836516,Ralf Gommers,2017-09-16 19:30:47,"DEP: deprecate all misc.pilutil functions, and ndimage.imread.",2300,scipy/misc/tests/test_pilutil.py
4836516,Ralf Gommers,2017-09-16 19:30:47,"DEP: deprecate all misc.pilutil functions, and ndimage.imread.",2300,scipy/ndimage/io.py
4836516,Ralf Gommers,2017-09-16 19:30:47,"DEP: deprecate all misc.pilutil functions, and ndimage.imread.",2300,scipy/ndimage/tests/test_io.py
4224aec,CJ Carey,2017-09-15 15:23:42,MAINT: sparse: Simplify sputils.isintlike,7860,scipy/sparse/sputils.py
5ced684,Ralf Gommers,2017-08-19 15:33:35,Merge pull request #7698 from asnelt/master,7669
4136dd8,Philipp Rentzsch,2017-08-15 18:14:47,Prevent integer overflow in concatenated index pointer,7735,scipy/sparse/construct.py
5ce91f1,Aleksandar Trifunovic,2017-08-13 02:36:06,dok_matrix updates (#7673),1188,scipy/sparse/coo.py
5ce91f1,Aleksandar Trifunovic,2017-08-13 02:36:06,dok_matrix updates (#7673),1188,scipy/sparse/dok.py
5ce91f1,Aleksandar Trifunovic,2017-08-13 02:36:06,dok_matrix updates (#7673),1188,scipy/sparse/tests/test_base.py
49fb9e1,Warren Weckesser,2017-08-02 15:47:18,DOC: special: Update the docstrings for noncentral F functions.,7693,scipy/special/add_newdocs.py
49fb9e1,Warren Weckesser,2017-08-02 15:47:18,DOC: special: Update the docstrings for noncentral F functions.,7693,scipy/special/tests/test_basic.py
4394187,Arno Onken,2017-08-01 18:57:00,BUG: stats: fix nan result from multivariate_normal.cdf (#7669),7669,scipy/stats/_multivariate.py
4394187,Arno Onken,2017-08-01 18:57:00,BUG: stats: fix nan result from multivariate_normal.cdf (#7669),7669,scipy/stats/tests/test_multivariate.py
b31450a,Pauli Virtanen,2017-07-27 21:19:29,Merge pull request #7649 from mruffalo/fix-gh7636,7636
8e9805e,Cathy Douglass,2017-07-19 22:18:36,MAINT: splprep: Better invalid input error (fixes gh-7589),7589,scipy/interpolate/tests/test_bsplines.py
d94af99,Pauli Virtanen,2017-07-26 20:29:50,Merge pull request #7659 from rgommers/fix-benchglobal,7658
f236fa9,Ralf Gommers,2017-07-27 04:11:55,BENCH: fix optimize.BenchGlobal.  Closes gh-7658.,7658,benchmarks/benchmarks/optimize.py
24156f1,Ralf Gommers,2017-07-16 10:46:50,Merge pull request #7611 from daxlab/issue_7220,7220
91fa3e6,Ralf Gommers,2017-07-14 22:17:23,TST: fix test failures in trimmed statistics tests with numpy master.,7598,scipy/stats/tests/test_stats.py
8eba483,Cathy Douglass,2017-06-15 19:54:31,BUG: sparse: pass assumeSortedIndices option to scikit.umfpack,7387,scipy/sparse/linalg/dsolve/linsolve.py
df0c7c2,Ralf Gommers,2017-06-23 14:12:44,BUG: fix issue when using ``python setup.py somecommand --force``. (#7509),7509,setup.py
69977b0,Jaime Fernandez,2017-06-21 22:49:06,BUG: Fix roundoff errors in ndimage.uniform_filter1d.,6930,scipy/ndimage/tests/test_filters.py
c77e97e,Ralf Gommers,2017-06-18 20:45:37,TST: skip signal test that fails irregularly.  Closes gh-5823.,5823,scipy/signal/tests/test_dltisys.py
c77e97e,Ralf Gommers,2017-06-18 20:45:37,TST: skip signal test that fails irregularly.  Closes gh-5823.,5823,scipy/signal/tests/test_filter_design.py
a33f31a,e-q,2017-04-24 15:42:34,BUG: Fix signal.dfreqresp for SS systems,7335,scipy/signal/ltisys.py
a33f31a,e-q,2017-04-24 15:42:34,BUG: Fix signal.dfreqresp for SS systems,7335,scipy/signal/tests/test_dltisys.py
69abd4d,Cathy Douglass,2017-06-05 19:08:03,BUG: endianness fix with non-native dtype param,7388,scipy/ndimage/interpolation.py
