file,pattern,lineno
pavement.py,hasattr,719
runtests.py,getattr,441
runtests.py,delname,450,frame
benchmarks\benchmarks\io_matlab.py,delname,68,x
benchmarks\benchmarks\lsq_problems.py,hasattr,483
benchmarks\benchmarks\optimize.py,hasattr,53
benchmarks\benchmarks\optimize.py,hasattr,55
benchmarks\benchmarks\optimize.py,getattr,156
benchmarks\benchmarks\optimize.py,getattr,161
benchmarks\benchmarks\sparse.py,getattr,74
benchmarks\benchmarks\sparse.py,getattr,224
benchmarks\benchmarks\sparse.py,getattr,227
doc\source\conf.py,getattr,330
doc\source\scipyoptdoc.py,getattr,60
doc\source\scipyoptdoc.py,delsubscript,105
doc\source\scipyoptdoc.py,delsubscript,107
doc\source\scipyoptdoc.py,delsubscript,108
scipy\__init__.py,delname,78,_num
scipy\__init__.py,delname,81,linalg
scipy\__init__.py,delname,95,_sys
scipy\__init__.py,delname,113,_NumpyVersion
scipy\cluster\tests\test_hierarchy.py,getattr,81
scipy\cluster\tests\test_hierarchy.py,getattr,91
scipy\cluster\tests\test_hierarchy.py,getattr,165
scipy\cluster\tests\test_hierarchy.py,getattr,180
scipy\constants\codata.py,delsubscript,1356
scipy\constants\__init__.py,delname,336,_constant_names
scipy\fftpack\basic.py,delname,21,atexit
scipy\fftpack\basic.py,hasattr,36
scipy\fftpack\basic.py,hasattr,127
scipy\fftpack\pseudo_diffs.py,delname,20,atexit
scipy\fftpack\pseudo_diffs.py,delname,81,_cache
scipy\fftpack\pseudo_diffs.py,delname,149,_cache
scipy\fftpack\pseudo_diffs.py,delname,189,_cache
scipy\fftpack\pseudo_diffs.py,delname,249,_cache
scipy\fftpack\pseudo_diffs.py,delname,321,_cache
scipy\fftpack\pseudo_diffs.py,delname,375,_cache
scipy\fftpack\pseudo_diffs.py,delname,428,_cache
scipy\fftpack\pseudo_diffs.py,delname,483,_cache
scipy\fftpack\pseudo_diffs.py,delname,535,_cache
scipy\fftpack\realtransforms.py,getattr,211
scipy\fftpack\realtransforms.py,getattr,444
scipy\fftpack\__init__.py,delname,102,k
scipy\fftpack\__init__.py,delname,102,register_func
scipy\integrate\quadrature.py,getattr,121
scipy\integrate\_ode.py,getattr,533
scipy\integrate\_ode.py,getattr,534
scipy\integrate\_ode.py,getattr,696
scipy\integrate\_ode.py,getattr,895
scipy\integrate\_ode.py,getattr,968
scipy\integrate\_ode.py,getattr,1053
scipy\integrate\_ode.py,getattr,1104
scipy\integrate\tests\test_integrate.py,hasattr,47
scipy\integrate\tests\test_integrate.py,hasattr,108
scipy\integrate\tests\test_integrate.py,hasattr,120
scipy\integrate\tests\test_integrate.py,hasattr,199
scipy\integrate\tests\test_integrate.py,hasattr,209
scipy\integrate\tests\test_quadpack.py,getattr,56
scipy\integrate\tests\test_quadpack.py,getattr,92
scipy\interpolate\interpolate.py,hasattr,1694
scipy\interpolate\interpolate.py,hasattr,1702
scipy\interpolate\interpolate.py,hasattr,1702
scipy\interpolate\interpolate.py,hasattr,1709
scipy\interpolate\interpolate.py,hasattr,1877
scipy\interpolate\polyint.py,hasattr,19
scipy\interpolate\rbf.py,hasattr,152
scipy\interpolate\rbf.py,getattr,153
scipy\interpolate\rbf.py,getattr,158
scipy\interpolate\rbf.py,hasattr,161
scipy\interpolate\rbf.py,hasattr,162
scipy\interpolate\rbf.py,hasattr,165
scipy\interpolate\rbf.py,hasattr,167
scipy\interpolate\tests\test_fitpack.py,hasattr,63
scipy\interpolate\tests\test_interpolate.py,delname,406,interp
scipy\io\mmio.py,hasattr,627
scipy\io\netcdf.py,hasattr,225
scipy\io\netcdf.py,hasattr,230
scipy\io\netcdf.py,hasattr,388
scipy\io\netcdf.py,hasattr,531
scipy\io\netcdf.py,getattr,966
