file,method,params,startlineno,endlineno
pavement.py,parse_numpy_version,pyexec,203,221
pavement.py,bootstrap,,223,240
pavement.py,clean,,242,252
pavement.py,clean_bootstrap,,254,258
pavement.py,nuke,,260,266
pavement.py,html,options,272,279
pavement.py,latex,,281,284
pavement.py,pdf,,286,301
pavement.py,build_pdf,,292,293
pavement.py,tarball_name,type='gztar',303,313
pavement.py,sdist,,315,351
pavement.py,release,options,353,368
pavement.py,superpack_name,"pyver, numver",375,377
pavement.py,internal_wininst_name,arch,379,383
pavement.py,wininst_name,pyver,385,388
pavement.py,bdist_wininst_arch,"pyver, arch",390,394
pavement.py,prepare_nsis_script,"pyver, numver",396,410
pavement.py,bdist_wininst_nosse,options,412,415
pavement.py,bdist_wininst_sse2,options,417,420
pavement.py,bdist_wininst_sse3,options,422,425
pavement.py,bdist_superpack,options,427,469
pavement.py,copy_bdist,arch,432,448
pavement.py,bdist_wininst_simple,,471,479
pavement.py,_bdist_wininst,"pyver, cfg_env=None",481,493
pavement.py,dmg_name,"fullversion, pyver, osxver=None",500,515
pavement.py,macosx_version,,517,526
pavement.py,mpkg_name,pyver,528,530
pavement.py,prepare_static_gfortran_runtime,d,532,535
pavement.py,bdist_mpkg,,537,547
pavement.py,_build_mpkg,pyver,549,570
pavement.py,dmg,,573,628
pavement.py,simple_dmg,,631,653
pavement.py,_create_dmg,"pyver, src_dir, volname=None",655,663
pavement.py,compute_md5,idirs,670,677
pavement.py,compute_sha256,idirs,679,688
pavement.py,write_release_task,"options, filename='NOTES.txt'",690,724
pavement.py,write_log_task,filename='Changelog',727,735
pavement.py,write_release,options,737,740
pavement.py,write_log,,742,744
pavement.py,write_release_and_log,options,746,750
runtests.py,main,argv,65,301
runtests.py,fix_test_path,x,253,258
runtests.py,test,"*a, **kw",262,267
runtests.py,build_project,args,304,391
runtests.py,gcov_reset_counters,,397,404
runtests.py,lcov_generate,,413,432
runtests.py,exec_,"code, globs=None, locs=None",443,453
setup.py,git_version,,66,87
setup.py,_minimal_ext_cmd,cmd,67,79
setup.py,get_version_info,,102,121
setup.py,write_version_py,filename='scipy/version.py',124,145
setup.py,run,self,156,160
setup.py,generate_cython,,163,171
setup.py,configuration,"parent_package='', top_path=None",174,187
setup.py,setup_package,,190,262
benchmarks\run.py,main,,26,42
benchmarks\run.py,__call__,"self, parser, namespace, values, option_string=None",29,30
benchmarks\run.py,run_asv,"args, current_repo=False",45,105
benchmarks\run.py,is_git_repo_root,path,108,117
benchmarks\run.py,drop_bad_flags,flags,120,128
benchmarks\benchmarks\common.py,run_monitored,code,20,63
