file,pattern,lineno
demos\benchmark\benchmark.py,delattribute,83
demos\twitter\twitterdemo.py,delsubscript,65
tornado\auth.py,getattr,358
tornado\auth.py,getattr,362
tornado\auth.py,getattr,423
tornado\auth.py,getattr,471
tornado\auth.py,getattr,550
tornado\autoreload.py,delsubscript,81
tornado\autoreload.py,getattr,185
tornado\autoreload.py,hasattr,213
tornado\autoreload.py,delsubscript,277
tornado\autoreload.py,delname,301,__package__
tornado\concurrent.py,getattr,278
tornado\concurrent.py,getattr,389
tornado\concurrent.py,getattr,391
tornado\curl_httpclient.py,delsubscript,95
tornado\gen.py,hasattr,254
tornado\gen.py,getattr,454
tornado\gen.py,hasattr,1156
tornado\http1connection.py,delsubscript,621
tornado\httpclient.py,hasattr,155
tornado\httpclient.py,getattr,157
tornado\httpclient.py,delsubscript,204
tornado\httpclient.py,getattr,626
tornado\httputil.py,delsubscript,95
tornado\httputil.py,delsubscript,213
tornado\httputil.py,delsubscript,214
tornado\httputil.py,getattr,336
tornado\httputil.py,getattr,337
tornado\httputil.py,getattr,338
tornado\httputil.py,hasattr,364
tornado\httputil.py,getattr,443
tornado\ioloop.py,hasattr,157
tornado\ioloop.py,hasattr,159
tornado\ioloop.py,hasattr,167
tornado\ioloop.py,hasattr,185
tornado\ioloop.py,delattribute,186
tornado\ioloop.py,getattr,207
tornado\ioloop.py,hasattr,237
tornado\ioloop.py,hasattr,240
tornado\ioloop.py,hasattr,683
tornado\ioloop.py,hasattr,737
tornado\ioloop.py,getattr,753
tornado\ioloop.py,hasattr,775
tornado\iostream.py,hasattr,60
tornado\iostream.py,hasattr,68
tornado\iostream.py,hasattr,82
tornado\locale.py,hasattr,260
tornado\log.py,hasattr,53
tornado\log.py,getattr,191
tornado\netutil.py,hasattr,42
tornado\netutil.py,hasattr,52
tornado\netutil.py,hasattr,52
tornado\netutil.py,hasattr,62
tornado\netutil.py,hasattr,63
tornado\netutil.py,hasattr,77
tornado\netutil.py,hasattr,106
tornado\netutil.py,hasattr,138
tornado\netutil.py,hasattr,186
tornado\netutil.py,hasattr,202
tornado\netutil.py,hasattr,481
tornado\netutil.py,hasattr,494
tornado\netutil.py,hasattr,511
tornado\netutil.py,getattr,512
tornado\options.py,getattr,402
tornado\options.py,getattr,406
tornado\process.py,hasattr,248
tornado\process.py,getattr,249
tornado\queues.py,getattr,283
tornado\simple_httpclient.py,delsubscript,160
tornado\simple_httpclient.py,delsubscript,168
tornado\simple_httpclient.py,delsubscript,177
tornado\simple_httpclient.py,hasattr,254
tornado\simple_httpclient.py,getattr,317
tornado\simple_httpclient.py,hasattr,440
tornado\simple_httpclient.py,getattr,489
tornado\simple_httpclient.py,delsubscript,497
tornado\simple_httpclient.py,delsubscript,511
tornado\simple_httpclient.py,getattr,526
tornado\stack_context.py,hasattr,262
tornado\testing.py,getattr,146
tornado\testing.py,getattr,223
tornado\util.py,getattr,125
tornado\util.py,hasattr,168
tornado\util.py,hasattr,312
tornado\util.py,hasattr,373
tornado\web.py,delsubscript,346
tornado\web.py,hasattr,521
tornado\web.py,delsubscript,524
tornado\web.py,getattr,708
tornado\web.py,hasattr,880
tornado\web.py,hasattr,925
tornado\web.py,hasattr,1017
tornado\web.py,hasattr,1094
tornado\web.py,hasattr,1153
tornado\web.py,hasattr,1187
tornado\web.py,getattr,1313
tornado\web.py,getattr,1442
tornado\web.py,hasattr,1528
tornado\web.py,getattr,1658
tornado\web.py,getattr,1877
tornado\web.py,hasattr,1884
tornado\web.py,getattr,1890
tornado\web.py,delname,2262,path
tornado\web.py,hasattr,2517
tornado\web.py,delsubscript,2758
tornado\web.py,hasattr,3052
tornado\websocket.py,getattr,397
tornado\websocket.py,delsubscript,577
tornado\wsgi.py,hasattr,282
tornado\platform\asyncio.py,delsubscript,110
tornado\platform\asyncio.py,hasattr,215
tornado\platform\caresresolver.py,delsubscript,35
tornado\platform\common.py,hasattr,47
tornado\platform\kqueue.py,hasattr,23
tornado\platform\twisted.py,delsubscript,162
tornado\platform\twisted.py,delsubscript,260
tornado\platform\twisted.py,delsubscript,276
tornado\platform\twisted.py,delsubscript,469
tornado\platform\twisted.py,hasattr,572
tornado\test\httpserver_test.py,getattr,77
tornado\test\httpserver_test.py,hasattr,152
tornado\test\httpserver_test.py,getattr,306
tornado\test\httpserver_test.py,hasattr,544
tornado\test\httpserver_test.py,hasattr,640
tornado\test\httpserver_test.py,delattribute,667
tornado\test\iostream_test.py,hasattr,245
tornado\test\iostream_test.py,hasattr,837
tornado\test\iostream_test.py,hasattr,941
tornado\test\locale_test.py,hasattr,19
tornado\test\locale_test.py,delattribute,20
tornado\test\locale_test.py,getattr,25
tornado\test\netutil_test.py,getattr,167
tornado\test\netutil_test.py,hasattr,204
tornado\test\runtests.py,getattr,138
tornado\test\simple_httpclient_test.py,hasattr,339
tornado\test\simple_httpclient_test.py,hasattr,491
tornado\test\simple_httpclient_test.py,hasattr,505
tornado\test\stack_context_test.py,delattribute,237
tornado\test\testing_test.py,delsubscript,24
tornado\test\twisted_test.py,hasattr,187
tornado\test\twisted_test.py,hasattr,439
tornado\test\twisted_test.py,delsubscript,607
tornado\test\twisted_test.py,hasattr,614
