file,lineno,_lineno,kind,message
setup.py,111,4,assignment," Incompatible types in assignment (expression has type ""List[Extension]"", target has type ""str"")"
setup.py,119,8,assignment," Incompatible types in assignment (expression has type ""Dict[str, Type[custom_build_ext]]"", target has type ""str"")"
tornado\template.py,914,16,assignment," Incompatible types in assignment (expression has type ""_Statement"", variable has type ""_ExtendsBlock"")"
tornado\template.py,919,16,assignment," Incompatible types in assignment (expression has type ""_IncludeBlock"", variable has type ""_ExtendsBlock"")"
tornado\template.py,923,16,assignment," Incompatible types in assignment (expression has type ""_Statement"", variable has type ""_ExtendsBlock"")"
tornado\template.py,937,16,assignment," Incompatible types in assignment (expression has type ""_Expression"", variable has type ""_ExtendsBlock"")"
tornado\template.py,939,16,assignment," Incompatible types in assignment (expression has type ""_Module"", variable has type ""_ExtendsBlock"")"
tornado\template.py,957,16,assignment," Incompatible types in assignment (expression has type ""_ApplyBlock"", variable has type ""_ExtendsBlock"")"
tornado\template.py,961,16,assignment," Incompatible types in assignment (expression has type ""_NamedBlock"", variable has type ""_ExtendsBlock"")"
tornado\template.py,963,16,assignment," Incompatible types in assignment (expression has type ""_ControlBlock"", variable has type ""_ExtendsBlock"")"
tornado\locale.py,268,16,assignment," Incompatible types in assignment (expression has type ""GettextLocale"", variable has type ""CSVLocale"")"
tornado\locale.py,321,19,argument," Argument 1 to ""utcfromtimestamp"" of ""datetime"" has incompatible type ""Real""; expected ""float"""
tornado\concurrent.py,343,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[Future[Any]], Type[Future]]"", variable has type ""Type[Future]"")"
tornado\gen.py,402,12,assignment," Incompatible types in assignment (expression has type ""Tuple[Any, ...]"", variable has type ""List[Any]"")"
tornado\netutil.py,60,4,assignment," Incompatible types in assignment (expression has type ""Type[backports.ssl_match_hostname.CertificateError]"", variable has type ""Type[ssl.CertificateError]"")"
tornado\netutil.py,85,4,assignment," Incompatible types in assignment (expression has type ""Dict[str, object]"", variable has type ""SSLContext"")"
tornado\netutil.py,87,4,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", variable has type ""SSLContext"")"
tornado\netutil.py,90,4,assignment," Incompatible types in assignment (expression has type ""Dict[str, None]"", variable has type ""SSLContext"")"
tornado\netutil.py,92,4,assignment," Incompatible types in assignment (expression has type ""Dict[<nothing>, <nothing>]"", variable has type ""SSLContext"")"
tornado\netutil.py,195,8,argument," Argument 1 to ""setblocking"" of ""socket"" has incompatible type ""int""; expected ""bool"""
tornado\netutil.py,216,8,argument," Argument 1 to ""setblocking"" of ""socket"" has incompatible type ""int""; expected ""bool"""
demos\appengine\blog.py,126,12,assignment," Incompatible types in assignment (expression has type ""object"", variable has type ""bytes"")"
demos\appengine\blog.py,164,0,assignment," Incompatible types in assignment (expression has type ""WSGIAdapter"", variable has type ""Application"")"
tornado\simple_httpclient.py,278,16,assignment," Incompatible types in assignment (expression has type ""str"", target has type ""int"")"
demos\s3server\s3server.py,74,4,assignment," Incompatible types in assignment (expression has type ""Tuple[str, str, str]"", base class ""RequestHandler"" defined the type as ""Tuple[str, str, str, str, str, str, str]"")"
tornado\websocket.py,632,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""bool"")"
tornado\websocket.py,634,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""bool"")"
tornado\websocket.py,1055,4,assignment," Incompatible types in assignment (expression has type ""_RequestProxy"", variable has type ""HTTPRequest"")"
maint\test\redbot\red_test.py,77,16,argument," Argument 1 to ""warning"" has incompatible type ""Tuple[Any, Dict[str, Any], Any]""; expected ""str"""
tornado\test\httpclient_test.py,109,4,assignment," Incompatible types in assignment (expression has type ""Tuple[str, ...]"", base class ""RequestHandler"" defined the type as ""Tuple[str, str, str, str, str, str, str]"")"
tornado\test\iostream_test.py,119,12,argument," Argument 1 to ""debug"" has incompatible type ""Tuple[List[bool], List[bool]]""; expected ""str"""
tornado\test\iostream_test.py,261,36,argument," Argument 1 to ""gaierror"" has incompatible type ""str""; expected ""int"""
tornado\test\netutil_test.py,73,10,argument," Argument 1 to ""gaierror"" has incompatible type ""str""; expected ""int"""
tornado\test\runtests.py,166,4,assignment," Incompatible types in assignment (expression has type ""Type[TornadoTextTestRunner]"", target has type ""bool"")"
tornado\test\web_test.py,1912,8,assignment," Incompatible types in assignment (expression has type ""Tuple[str, ...]"", base class ""RequestHandler"" defined the type as ""Tuple[str, str, str, str, str, str, str]"")"
