file,method,params,startLineno,endLineno,affectedLineno,affectedOffsets,affectedVar,affectedTypes
maint\test\websocket\client.py,run_tests,,13,36,25,808-811,url,"str,tuple"
tornado\curl_httpclient.py,_curl_setup_request,"self, curl, request, buffer, headers",283,462,344,15297-15308,credentials,"str,tuple"
tornado\curl_httpclient.py,_curl_setup_request,"self, curl, request, buffer, headers",283,462,435,19802-19809,userpwd,"str,tuple"
tornado\escape.py,url_escape,"value, plus=True",101,113,113,3793-3798,value,"str,tuple"
tornado\http1connection.py,write_headers,"self, start_line, headers, chunk=None, callback=None",331,394,391,17014-17018,data,"int,str"
tornado\http1connection.py,write_headers,"self, start_line, headers, chunk=None, callback=None",331,394,392,17101-17105,data,"int,str"
tornado\httpclient.py,fetch,"self, request, callback=None, raise_error=True, **kwargs",206,258,233,9732-9739,request,"str,HTTPRequest"
tornado\httpclient.py,fetch,"self, request, callback=None, raise_error=True, **kwargs",206,258,233,9740-9747,headers,"None,function,HTTPHeaders"
tornado\httpclient.py,fetch,"self, request, callback=None, raise_error=True, **kwargs",206,258,233,9693-9700,request,"str,HTTPRequest"
tornado\httpclient.py,fetch,"self, request, callback=None, raise_error=True, **kwargs",206,258,233,9701-9708,headers,"None,function,HTTPHeaders"
tornado\httpclient.py,fetch,"self, request, callback=None, raise_error=True, **kwargs",206,258,234,9782-9789,request,"str,HTTPRequest"
tornado\httpclient.py,__init__,"self, request, defaults",621,623,622,26153-26160,request,"str,HTTPRequest"
tornado\httpclient.py,__init__,"self, request, code, headers=None, buffer=None, effective_url=None, error=None, request_time=None, time_info=None, reason=None",542,570,546,23632-23639,request,"str,HTTPRequest"
tornado\httpclient.py,__init__,"self, request, code, headers=None, buffer=None, effective_url=None, error=None, request_time=None, time_info=None, reason=None",542,570,548,23673-23680,request,"str,HTTPRequest"
tornado\locale.py,pgettext,"self, context, message, plural_message=None, count=None",484,520,516,20624-20637,msg_with_ctxt,"str,tuple"
tornado\locale.py,format_date,"self, date, gmt_offset='0', relative=True, shorter=False, full_format=False",307,390,390,15801-15809,str_time,"str,tuple,tuple,tuple"
tornado\locks.py,__repr__,self,110,114,113,3513-3519,result,"int,str,tuple"
tornado\locks.py,__repr__,self,110,114,114,3575-3581,result,"int,str,tuple"
tornado\process.py,fork_processes,"num_processes, max_restarts='100'",103,184,141,4612-4615,pid,"int,file"
tornado\process.py,fork_processes,"num_processes, max_restarts='100'",103,184,148,4795-4798,pid,"int,file"
tornado\queues.py,_format,self,281,291,284,8632-8638,result,"str,tuple"
tornado\queues.py,_format,self,281,291,286,8708-8714,result,"int,str,tuple"
tornado\queues.py,_format,self,281,291,288,8794-8800,result,"int,str,tuple"
tornado\queues.py,_format,self,281,291,290,8889-8895,result,"int,str,tuple"
tornado\queues.py,_format,self,281,291,291,8952-8958,result,"int,str,tuple"
tornado\template.py,write_line,"self, line, line_number, indent=None",717,725,724,26625-26637,line_comment,"str,tuple"
tornado\template.py,write_line,"self, line, line_number, indent=None",717,725,725,26726-26738,line_comment,"str,tuple"
tornado\template.py,_format_code,code,788,791,791,28611-28617,format,"int,str"
tornado\template.py,generate,"self, **kwargs",320,345,345,13385-13392,execute,"ObjectDict,module,function,function,function,function,function,function,tuple"
tornado\web.py,__str__,self,2092,2099,2097,87025-87032,message,"str,tuple"
tornado\web.py,__str__,self,2092,2099,2099,87114-87121,message,"str,tuple"
tornado\websocket.py,websocket_connect,"url, io_loop=None, callback=None, connect_timeout=None, on_message_callback=None, compression_options=None",1014,1062,1047,41054-41057,url,"str,tuple"
tornado\websocket.py,websocket_connect,"url, io_loop=None, callback=None, connect_timeout=None, on_message_callback=None, compression_options=None",1014,1062,1049,41143-41146,url,"str,tuple"
tornado\websocket.py,websocket_connect,"url, io_loop=None, callback=None, connect_timeout=None, on_message_callback=None, compression_options=None",1014,1062,1052,41298-41305,request,"str,tuple"
tornado\websocket.py,websocket_connect,"url, io_loop=None, callback=None, connect_timeout=None, on_message_callback=None, compression_options=None",1014,1062,1052,41259-41266,request,"str,tuple"
tornado\websocket.py,websocket_connect,"url, io_loop=None, callback=None, connect_timeout=None, on_message_callback=None, compression_options=None",1014,1062,1054,41368-41371,url,"str,tuple"
tornado\websocket.py,websocket_connect,"url, io_loop=None, callback=None, connect_timeout=None, on_message_callback=None, compression_options=None",1014,1062,1056,41456-41463,request,"str,tuple,HTTPRequest"
tornado\platform\posix.py,set_close_exec,fd,27,29,29,939-944,flags,"int,str"
tornado\platform\posix.py,_set_nonblocking,fd,32,34,34,1076-1081,flags,"int,str"
tornado\test\gen_test.py,test_stack_context_leak,self,467,494,474,15899-15903,head,"tuple,ExceptionStackContext"
tornado\test\gen_test.py,test_stack_context_leak,self,467,494,476,15970-15974,head,"tuple,ExceptionStackContext"
tornado\test\httpclient_test.py,test_reuse_request_from_response,self,448,459,455,18019-18022,url,"str,tuple"
tornado\test\httpclient_test.py,test_reuse_request_from_response,self,448,459,456,18072-18075,url,"str,tuple"
tornado\test\httpclient_test.py,test_header_types,self,360,373,368,14006-14013,headers,"dict,HTTPHeaders"
